λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3810.941	Ag	I	90	-	4d10.5p	2P°3/2	30472.66516	4d10.7d	2D5/2	56705.467
3811.773	Ag	I	5	-	4d10.5p	2P°3/2	30472.66516	4d10.7d	2D3/2	56699.832
3840.75	Ag	I	20	-	4d10.5p	2P°1/2	29552.05741	4d10.8s	2S1/2	55581.246
3907.41	Ag	I	2	-	4d9.5s.(3D).5p	4D°7/2	61773.12	4d9.5s.(3D).5d	4F9/2	87357.3
3942.9	Ag	I	7	-	4d9.5s.(3D).5p	2D°3/2	63531.35	4d9.5s.(3D).5d	2F5/2	88886.1
3949.4347	Ag	II	6	-	4d9.(2D5/2).5p	2[3/2]°1	83625.5147	4d8.5s2	3P1	108938.4282
3981.58	Ag	I	35	-	4d10.5p	2P°3/2	30472.66516	4d10.8s	2S1/2	55581.246
3985.1904	Ag	II	25	-	4d9.(2D5/2).5p	2[3/2]°2	80176.4601	4d8.5s2	3P2	105262.2691
4085.9155	Ag	II	20	1	4d9.(2D3/2).5p	2[5/2]°3	89134.724	4d8.5s2	1G4	113602.1364
4185.4749	Ag	II	435	105	4d9.(2D3/2).5p	2[5/2]°2	86888.099	4d8.5s2	1D2	110773.5186
4210.96	Ag	I	330	102	4d10.5p	2P°3/2	30472.66516	4d10.6d	2D5/2	54213.564
4212.814	Ag	I	240	75	4d10.5p	2P°3/2	30472.66516	4d10.6d	2D3/2	54203.119
4311.074	Ag	I	120	58	4d9.5s.(3D).5p	4P°5/2	56223.489	4d9.5s.(3D).6s	4D7/2	79413.0
4313.51	Ag	II	1	1	4d9.(2D3/2).6p	2[5/2]°2	136518.895	4d9.(2D3/2).8s	2[3/2]1	159695.21
4319.59	Ag	II	3	1	4d9.(2D5/2).6p	2[7/2]°3	132017.588	4d9.(2D5/2).8s	2[5/2]2	155161.42
4385.0519	Ag	II	15	8	4d9.(2D3/2).5p	2[1/2]°0	86140.0853	4d8.5s2	3P1	108938.4282
4396.23	Ag	I	90	42	4d9.5s.(3D).5p	4F°3/2	61242.25	4d9.5s.(3D).6s	4D1/2	83983.0
4449.19	Ag	II	2	1	4d9.(2D3/2).6p	2[3/2]°1	137225.409	4d9.(2D3/2).8s	2[3/2]1	159695.21
4476.04	Ag	I	420	205	4d10.5p	2P°1/2	29552.05741	4d10.7s	2S1/2	51886.965
