λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3805.81	Al	IV	45	-	2s2.2p5.(2P°3/2).4p	2[3/2]2	825739.6	2s2.2p5.(2P°3/2).4d	2[1/2]°1	852007.5
3842.037	Al	II	45	-	3s.4d	3D3	121483.5	3s.10f	3F°4	147504.12
3842.213	Al	II	20	-	3s.4d	3D2	121483.92	3s.10f	3F°3	147503.27
3842.317	Al	II	9	-	3s.4d	3D1	121484.252	3s.10f	3F°2	147502.76
3859.33	Al	II	40	-	3s.5s	1S0	121366.725	3s.11p	1P°1	147270.82
3866.16	Al	II	20	-	3s.4p	1P°1	106920.56	3s.6s	1S0	132778.633
3888.0	Al	IX	3	-	2s.2p.(3P°).4p	2D5/2	2239880.0	2s.2p.(3P°).4d	2F°7/2	2265590.0
3895.3	Al	VI	2	-	2s2.2p3.(2D°).3s	3D°1	961100.0	2s2.2p3.(4S°).3p	3P0	986765.0
3896.0	Al	IX	2	-	2s.2p.(3P°).4p	2D3/2	2236940.0	2s.2p.(3P°).4d	2F°5/2	2262600.0
3900.675	Al	II	480	1	3s.3p	1P°1	59852.02	3p2	1D2	85481.35
3904.2	Al	VI	3	-	2s2.2p3.(2D°).3s	3D°2	961100.0	2s2.2p3.(4S°).3p	3P2	986706.0
3913.9	Al	VI	3	-	2s2.2p3.(2D°).3s	3D°1	961100.0	2s2.2p3.(4S°).3p	3P1	986643.0
3931.996	Al	I	25	-	3s2.4d	2D5/2	42237.783	3s.3p.(3P°).3d	2D°5/2	67662.959
3935.677	Al	I	20	-	3s2.4d	2D3/2	42233.742	3s.3p.(3P°).3d	2D°3/2	67635.128
3944.0058	Al	I	7000	32	3s2.3p	2P°1/2	0.0	3s2.4s	2S1/2	25347.756
3961.52	Al	I	7500	45	3s2.3p	2P°3/2	112.061	3s2.4s	2S1/2	25347.756
3979.988	Al	II	2	-	3s.4d	3D3	121483.5	3s.10p	3P°2	146602.1
3980.097	Al	III	2	-	2p6.5d	2D5/2	188877.57	2p6.8f	2F°5/2	213995.48
3980.14	Al	III	10	-	2p6.5d	2D3/2	188878.22	2p6.8f	2F°5/2	213995.48
3980.871	Al	II	2	-	3s.4d	3D2	121483.92	3s.10p	3P°1	146596.95
3981.256	Al	II	2	-	3s.4d	3D1	121484.252	3s.10p	3P°0	146594.85
3988.249	Al	II	2	-	3s.5s	3S1	120092.919	3s.9p	3P°2	145159.49
3989.591	Al	II	2	-	3s.5s	3S1	120092.919	3s.9p	3P°1	145151.06
3990.422	Al	II	2	-	3s.5s	3S1	120092.919	3s.9p	3P°0	145145.84
3995.838	Al	II	60	1	3s.4d	3D3	121483.5	3s.9f	3F°4	146502.47
3996.075	Al	II	4	-	3s.4d	3D3	121483.5	3s.9f	3F°3	146500.99
3996.143	Al	II	15	-	3s.4d	3D2	121483.92	3s.9f	3F°3	146500.99
3996.182	Al	II	4	-	3s.4d	3D1	121484.252	3s.9f	3F°3	146500.99
3996.248	Al	II	2	-	3s.4d	3D3	121483.5	3s.9f	3F°2	146499.9
3996.323	Al	II	4	-	3s.4d	3D2	121483.92	3s.9f	3F°2	146499.9
3996.37	Al	II	20	-	3s.4d	3D1	121484.252	3s.9f	3F°2	146499.9
3998.164	Al	III	4	-	2p6.5s	2S1/2	170637.35	2p6.6p	2P°3/2	195641.74
4001.376	Al	III	2	-	2p6.5s	2S1/2	170637.35	2p6.6p	2P°1/2	195621.72
4005.7	Al	II	5	-	3s.4d	1D2	124794.13	3s.16p	1P°1	149751.2
4009.58	Al	II	8	-	3s.5s	1S0	121366.725	3s.10p	1P°1	146299.92
4026.5	Al	II	95	2	3s.3d	1D2	110089.83	3s.6p	1P°1	134919.4
4056.8	Al	II	9	-	3s.4d	1D2	124794.13	3s.15p	1P°1	149437.17
4082.45	Al	III	35	1	2p6.5p	2P°1/2	178433.43	2p6.7s	2S1/2	202921.6
4084.141	Al	II	7	-	3s.4d	3D3	121483.5	3p.4s	3P°2	145961.54
