λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3926.25	Am	II	5000	21						
3952.58	Am	II	1000	5						
4020.25	Am	I	105	1						
4035.81	Am	I	105	2						
4036.37	Am	II	495	10						
4089.29	Am	II	5000	237						
4089.32	Am	II	105	5						
4140.96	Am	I	105	11						
4188.12	Am	II	1000	242						
4265.55	Am	I	1000	431						
4289.26	Am	I	5000	2251						
4309.65	Am	II	195	92						
4324.57	Am	II	2000	930						
4441.36	Am	II	2000	955						
4509.45	Am	II	5000	2450						
4575.59	Am	II	5000	2557						
4593.31	Am	II	1000	516						
4649.12	Am	I	105	55						
4653.45	Am	I	105	55						
4662.79	Am	I	5000	2793						
4681.65	Am	I	2000	1143						
4699.7	Am	II	2000	1169						
4706.8	Am	I	1000	591						
4872.22	Am	II	2000	1398						
4990.79	Am	I	195	155						
5000.21	Am	I	105	78						
5020.96	Am	II	1000	794						
5215.99	Am	II	195	181						
5402.62	Am	I	1000	980						
5424.7	Am	I	1000	985						
5584.21	Am	II	1000	999						
5598.13	Am	I	1000	997						
6054.64	Am	I	10000	7468						
6405.11	Am	I	1000	398						
6544.16	Am	I	495	143						
6955.58	Am	I	495	32						
