λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.25	Ar	III	3	-	3s2.3p3.(2D°).3d	3P°2	213951.7743	3s2.3p3.(2P°).4p	3D2	240258.453
3803.172	Ar	II	10	-	3s2.3p4.(1D).4p	2D°5/2	173393.4658	3s2.3p4.(1D).4d	2D5/2	199679.844
3808.5745	Ar	II	7	-	3s2.3p4.(3P).3d	4D5/2	132481.2068	3s2.3p4.(3P).4p	2D°5/2	158730.2995
3809.4558	Ar	II	15	-	3s2.3p4.(3P).4p	4P°3/2	155351.1206	3s2.3p4.(3P).5s	4P5/2	181594.1404
3819.015	Ar	II	3	-	3s2.3p4.(1D).4p	2D°3/2	173347.9158	3s2.3p4.(1D).4d	2P3/2	199525.2465
3823.254	Ar	II	1	-	3s2.3p4.(1D).3d	2F7/2	163506.5368	3s2.3p4.(3P).5p	4D°5/2	189654.8487
3825.6723	Ar	II	4	-	3s2.3p4.(1D).4p	2D°5/2	173393.4658	3s2.3p4.(1D).4d	2P3/2	199525.2465
3826.8067	Ar	II	7	-	3s2.3p4.(3P).4p	4D°5/2	157673.4134	3s2.3p4.(3P).4d	4D5/2	183797.4473
3830.3951	Ar	II	4	-	3s2.3p4.(3P).3d	4D3/2	132630.7277	3s2.3p4.(3P).4p	2D°5/2	158730.2995
3830.5209	Ar	II	3	-	3s2.3p4.(1D).4p	2D°3/2	173347.9158	3s2.3p4.(1D).4d	2P1/2	199446.6269
3834.679	Ar	I	285	-	3s2.3p5.(2P°1/2).4s	2[1/2]°1	95399.8276	3s2.3p5.(2P°3/2).6p	2[1/2]0	121470.238
3841.5186	Ar	II	2	-	3s2.3p4.(3P).4p	4D°3/2	158167.7999	3s2.3p4.(3P).4d	4D1/2	184191.7917
3844.5622	Ar	II	1	-	3s2.3p4.(3P).4s	4P3/2	135085.9958	3s2.3p4.(3P).4p	2S°1/2	161089.3846
3844.7306	Ar	II	1	-	3s2.3p4.(3P).4p	4D°5/2	157673.4134	3s2.3p4.(3P).4d	4D7/2	183675.6614
3845.4049	Ar	II	3	-	3s2.3p4.(3P).4s	4P5/2	134241.7389	3s2.3p4.(3P).4p	2P°3/2	160239.428
3850.5808	Ar	II	105	-	3s2.3p4.(3P).4s	4P3/2	135085.9958	3s2.3p4.(3P).4p	4S°3/2	161048.7411
3855.1603	Ar	II	1	-	3s2.3p4.(3P).4p	2P°3/2	160239.428	3s2.3p4.(3P).4d	4P1/2	186171.333
3856.1374	Ar	II	1	-	3s2.3p4.(3P).4p	4D°3/2	158167.7999	3s2.3p4.(1D).3d	2S1/2	184093.1337
3858.2923	Ar	III	1	-	3s2.3p3.(2D°).3d	3P°1	214347.599	3s2.3p3.(2P°).4p	3D2	240258.453
3868.5281	Ar	II	10	-	3s2.3p4.(3P).4p	4S°3/2	161048.7411	3s2.3p4.(3P).4d	4P5/2	186891.0393
3872.1361	Ar	II	2	-	3s2.3p4.(3P).4p	4D°3/2	158167.7999	3s2.3p4.(3P).4d	4D3/2	183986.0137
3875.2641	Ar	II	5	-	3s2.3p4.(3P).3d	4D3/2	132630.7277	3s2.3p4.(3P).4p	4D°1/2	158428.1087
3891.4011	Ar	II	2	-	3s2.3p4.(3P).3d	4D1/2	132737.7039	3s2.3p4.(3P).4p	4D°1/2	158428.1087
3891.9787	Ar	II	4	-	3s2.3p4.(3P).3d	4D5/2	132481.2068	3s2.3p4.(3P).4p	4D°3/2	158167.7999
3894.66	Ar	I	45	-	3s2.3p5.(2P°1/2).4s	2[1/2]°1	95399.8276	3s2.3p5.(2P°3/2).6p	2[1/2]1	121068.736
3900.6251	Ar	II	1	-	3s2.3p4.(3P).4p	4D°3/2	158167.7999	3s2.3p4.(3P).4d	4D5/2	183797.4473
3907.84	Ar	III	1	-	3s2.3p3.(2D°).3d	3P°0	214569.5	3s2.3p3.(2P°).4p	3D1	240151.99
3911.5759	Ar	II	1	-	3s2.3p4.(3P).4p	4D°1/2	158428.1087	3s2.3p4.(3P).4d	4D3/2	183986.0137
3914.7674	Ar	II	3	-	3s2.3p4.(3P).3d	4D3/2	132630.7277	3s2.3p4.(3P).4p	4D°3/2	158167.7999
3926.0451	Ar	II	1	-	3s2.3p4.(1D).4p	2F°5/2	170401.017	3s2.3p4.(1D).5s	2D5/2	195864.7296
3928.6227	Ar	II	10	-	3s2.3p4.(3P).4s	4P1/2	135601.7336	3s2.3p4.(3P).4p	4S°3/2	161048.7411
3931.2353	Ar	II	1	-	3s2.3p4.(3P).3d	4D1/2	132737.7039	3s2.3p4.(3P).4p	4D°3/2	158167.7999
3932.5463	Ar	II	2	-	3s2.3p4.(3P).4p	4S°3/2	161048.7411	3s2.3p4.(3P).4d	4P3/2	186470.3603
3944.2712	Ar	II	3	-	3s2.3p4.(3P).3d	4D7/2	132327.3616	3s2.3p4.(3P).4p	4D°5/2	157673.4134
3946.0969	Ar	II	2	-	3s2.3p4.(1D).4p	2F°7/2	170530.404	3s2.3p4.(1D).5s	2D5/2	195864.7296
3947.505	Ar	I	65	-	3s2.3p5.(2P°3/2).4s	2[3/2]°2	93143.76	3s2.3p5.(2P°1/2).5p	2[3/2]2	118469.0508
3948.979	Ar	I	120	1	3s2.3p5.(2P°3/2).4s	2[3/2]°2	93143.76	3s2.3p5.(2P°1/2).5p	2[1/2]1	118459.5975
3968.3589	Ar	II	10	-	3s2.3p4.(3P).3d	4D5/2	132481.2068	3s2.3p4.(3P).4p	4D°5/2	157673.4134
3979.3554	Ar	II	1	-	3s2.3p4.(3P).4p	4S°3/2	161048.7411	3s2.3p4.(3P).4d	4P1/2	186171.333
3992.0531	Ar	II	1	-	3s2.3p4.(3P).3d	4D3/2	132630.7277	3s2.3p4.(3P).4p	4D°5/2	157673.4134
4013.8561	Ar	II	10	-	3s2.3p4.(3P).3d	4D7/2	132327.3616	3s2.3p4.(3P).4p	4D°7/2	157234.0196
4033.809	Ar	II	2	-	3s2.3p4.(3P).4p	4D°3/2	158167.7999	3s2.3p4.(3P).5s	4P1/2	182951.2609
4035.4595	Ar	II	2	-	3s2.3p4.(1D).4s	2D3/2	148620.1414	3s2.3p4.(1D).4p	2D°5/2	173393.4658
4038.8039	Ar	II	3	-	3s2.3p4.(3P).3d	4D5/2	132481.2068	3s2.3p4.(3P).4p	4D°7/2	157234.0196
4042.8934	Ar	II	6	-	3s2.3p4.(1D).4s	2D3/2	148620.1414	3s2.3p4.(1D).4p	2D°3/2	173347.9158
4044.418	Ar	I	90	2	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°1/2).5p	2[3/2]2	118469.0508
4045.965	Ar	I	10	-	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°1/2).5p	2[1/2]1	118459.5975
4052.9206	Ar	II	2	-	3s2.3p4.(1S).4s	2S1/2	167307.9822	3s2.3p4.(1S).4p	2P°3/2	191974.58
4054.526	Ar	I	7	-	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°1/2).5p	2[3/2]1	118407.4303
4072.0043	Ar	II	15	-	3s2.3p4.(1D).4s	2D5/2	148842.4674	3s2.3p4.(1D).4p	2D°5/2	173393.4658
4072.3843	Ar	II	4	-	3s2.3p4.(3P).4p	4D°5/2	157673.4134	3s2.3p4.(3P).5s	4P3/2	182222.1209
4076.6282	Ar	II	2	-	3s2.3p4.(3P).4p	4D°1/2	158428.1087	3s2.3p4.(3P).5s	4P1/2	182951.2609
4079.5734	Ar	II	2	-	3s2.3p4.(1D).4s	2D5/2	148842.4674	3s2.3p4.(1D).4p	2D°3/2	173347.9158
4080.6359	Ar	II	3	-	3s2.3p4.(1D).3d	2S1/2	184093.1337	3s2.3p4.(1D2).4f	2[1]°3/2	208592.2016
4082.3868	Ar	II	3	-	3s2.3p4.(3P).4s	4P5/2	134241.7389	3s2.3p4.(3P).4p	2D°5/2	158730.2995
4103.8323	Ar	II	10	1	3s2.3p4.(3P).4p	2D°5/2	158730.2995	3s2.3p4.(3P).5s	2P3/2	183090.8927
4103.9118	Ar	II	20	1	3s2.3p4.(3P).4p	4D°7/2	157234.0196	3s2.3p4.(3P).5s	4P5/2	181594.1404
4112.8151	Ar	II	2	-	3s2.3p4.(3P).4s	4P3/2	135085.9958	3s2.3p4.(3P).4p	2D°3/2	159393.385
4116.3756	Ar	II	1	-	3s2.3p4.(1D).3d	2D5/2	172335.5985	3s2.3p4.(3P0).4f	2[3]°7/2	196621.9658
4128.6399	Ar	II	2	-	3s2.3p4.(3P).3d	2F7/2	149179.2444	3s2.3p4.(1D).4p	2D°5/2	173393.4658
4129.682	Ar	II	1	-	3s2.3p4.(3P).4p	2P°1/2	159706.5337	3s2.3p4.(3P).5s	2P1/2	183914.644
4131.7232	Ar	II	9	1	3s2.3p4.(1D).4s	2D3/2	148620.1414	3s2.3p4.(1D).4p	2P°1/2	172816.2926
4156.0854	Ar	II	2	-	3s2.3p4.(3P).4p	4D°3/2	158167.7999	3s2.3p4.(3P).5s	4P3/2	182222.1209
4158.59	Ar	I	135	21	3s2.3p5.(2P°3/2).4s	2[3/2]°2	93143.76	3s2.3p5.(2P°3/2).5p	2[3/2]2	117183.5901
4164.18	Ar	I	105	17	3s2.3p5.(2P°3/2).4s	2[3/2]°2	93143.76	3s2.3p5.(2P°3/2).5p	2[3/2]1	117151.3264
4178.365	Ar	II	2	-	3s2.3p4.(3P).4s	4P5/2	134241.7389	3s2.3p4.(3P).4p	4D°3/2	158167.7999
4179.2972	Ar	II	2	-	3s2.3p4.(3P).4p	4D°5/2	157673.4134	3s2.3p4.(3P).5s	4P5/2	181594.1404
4181.884	Ar	I	105	23	3s2.3p5.(2P°1/2).4s	2[1/2]°0	94553.6652	3s2.3p5.(2P°1/2).5p	2[1/2]1	118459.5975
4182.9667	Ar	III	2	-	3s2.3p3.(2D°).4s	1D°2	199763.4147	3s2.3p3.(2D°).4p	1P1	223663.16
4189.6507	Ar	II	1	-	3s2.3p4.(1S).4s	2S1/2	167307.9822	3s2.3p4.(3P).5p	4S°3/2	191169.5946
4190.713	Ar	I	65	16	3s2.3p5.(2P°3/2).4s	2[3/2]°2	93143.76	3s2.3p5.(2P°3/2).5p	2[5/2]2	116999.3259
4191.029	Ar	I	135	32	3s2.3p5.(2P°1/2).4s	2[1/2]°0	94553.6652	3s2.3p5.(2P°1/2).5p	2[3/2]1	118407.4303
4198.317	Ar	I	135	36	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°3/2).5p	2[1/2]0	117562.9553
4200.674	Ar	I	135	36	3s2.3p5.(2P°3/2).4s	2[3/2]°2	93143.76	3s2.3p5.(2P°3/2).5p	2[5/2]3	116942.7542
4201.9713	Ar	II	2	1	3s2.3p4.(3P).4s	4P1/2	135601.7336	3s2.3p4.(3P).4p	2D°3/2	159393.385
4203.4105	Ar	II	2	1	3s2.3p4.(1D).3d	2D5/2	172335.5985	3s2.3p4.(3P1).4f	2[4]°7/2	196119.1021
4217.4306	Ar	II	1	-	3s2.3p4.(1S).4s	2S1/2	167307.9822	3s2.3p4.(3P).5p	2D°3/2	191012.4246
4218.6648	Ar	II	2	1	3s2.3p4.(3P).4p	2D°3/2	159393.385	3s2.3p4.(3P).5s	2P3/2	183090.8927
4222.6369	Ar	II	2	1	3s2.3p4.(3P).4p	2P°3/2	160239.428	3s2.3p4.(3P).5s	2P1/2	183914.644
4226.9874	Ar	II	1	-	3s2.3p4.(1D).4p	2P°3/2	172213.8798	3s2.3p4.(1D).5s	2D5/2	195864.7296
4228.1577	Ar	II	5	2	3s2.3p4.(3P).4s	4P3/2	135085.9958	3s2.3p4.(3P).4p	2D°5/2	158730.2995
4229.8688	Ar	II	1	-	3s2.3p4.(1S).4s	2S1/2	167307.9822	3s2.3p4.(3P).5p	2S°1/2	190942.722
4237.2195	Ar	II	5	2	3s2.3p4.(1D).4s	2D3/2	148620.1414	3s2.3p4.(1D).4p	2P°3/2	172213.8798
4251.185	Ar	I	105	45	3s2.3p5.(2P°3/2).4s	2[3/2]°2	93143.76	3s2.3p5.(2P°3/2).5p	2[1/2]1	116659.9934
4259.362	Ar	I	180	73	3s2.3p5.(2P°1/2).4s	2[1/2]°1	95399.8276	3s2.3p5.(2P°1/2).5p	2[1/2]0	118870.917
4266.286	Ar	I	180	78	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°3/2).5p	2[3/2]2	117183.5901
4266.5265	Ar	II	30	13	3s2.3p4.(3P).4s	4P5/2	134241.7389	3s2.3p4.(3P).4p	4D°5/2	157673.4134
4272.169	Ar	I	180	80	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°3/2).5p	2[3/2]1	117151.3264
4275.1592	Ar	II	2	1	3s2.3p4.(3P).4p	2P°1/2	159706.5337	3s2.3p4.(3P).5s	2P3/2	183090.8927
4277.5279	Ar	II	15	6	3s2.3p4.(1D).4s	2D5/2	148842.4674	3s2.3p4.(1D).4p	2P°3/2	172213.8798
4282.8971	Ar	II	6	3	3s2.3p4.(3P).4s	4P3/2	135085.9958	3s2.3p4.(3P).4p	4D°1/2	158428.1087
4297.9632	Ar	II	3	2	3s2.3p4.(1D).3d	2D3/2	172829.6539	3s2.3p4.(3P1).4f	2[2]°5/2	196089.9385
4300.101	Ar	I	195	92	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°3/2).5p	2[5/2]2	116999.3259
4300.6493	Ar	II	5	2	3s2.3p4.(3P).3d	2F5/2	150147.7021	3s2.3p4.(1D).4p	2D°5/2	173393.4658
4331.1992	Ar	II	35	17	3s2.3p4.(3P).4s	4P3/2	135085.9958	3s2.3p4.(3P).4p	4D°3/2	158167.7999
4332.0295	Ar	II	15	7	3s2.3p4.(3P).3d	4D3/2	132630.7277	3s2.3p4.(3P).4p	4P°1/2	155708.1075
4333.561	Ar	I	180	86	3s2.3p5.(2P°1/2).4s	2[1/2]°1	95399.8276	3s2.3p5.(2P°1/2).5p	2[3/2]2	118469.0508
4335.338	Ar	I	150	69	3s2.3p5.(2P°1/2).4s	2[1/2]°1	95399.8276	3s2.3p5.(2P°1/2).5p	2[1/2]1	118459.5975
4337.0705	Ar	II	6	3	3s2.3p4.(1D).4p	2P°1/2	172816.2926	3s2.3p4.(1D).5s	2D3/2	195866.8503
4345.168	Ar	I	180	85	3s2.3p5.(2P°1/2).4s	2[1/2]°1	95399.8276	3s2.3p5.(2P°1/2).5p	2[3/2]1	118407.4303
4345.8968	Ar	II	1	1	3s2.3p4.(3P).4p	2S°1/2	161089.3846	3s2.3p4.(1D).3d	2S1/2	184093.1337
4348.0635	Ar	II	90	42	3s2.3p4.(3P).4s	4P5/2	134241.7389	3s2.3p4.(3P).4p	4D°7/2	157234.0196
4352.2047	Ar	II	5	2	3s2.3p4.(3P).3d	4D1/2	132737.7039	3s2.3p4.(3P).4p	4P°1/2	155708.1075
4362.066	Ar	II	3	2	3s2.3p4.(3P).3d	2D3/2	150474.9903	3s2.3p4.(1D).4p	2D°5/2	173393.4658
4363.795	Ar	I	15	6	3s2.3p5.(2P°3/2).4s	2[3/2]°1	93750.5978	3s2.3p5.(2P°3/2).5p	2[1/2]1	116659.9934
4367.8314	Ar	II	2	1	3s2.3p4.(1S).4s	2S1/2	167307.9822	3s2.3p4.(3P).5p	2P°1/2	190196.2066
4370.7529	Ar	II	5	2	3s2.3p4.(3P).3d	2D3/2	150474.9903	3s2.3p4.(1D).4p	2D°3/2	173347.9158
4371.3285	Ar	II	15	6	3s2.3p4.(3P).3d	4D5/2	132481.2068	3s2.3p4.(3P).4p	4P°3/2	155351.1206
4372.4888	Ar	II	1	1	3s2.3p4.(3P).4p	2D°5/2	158730.2995	3s2.3p4.(3P).5s	4P5/2	181594.1404
4375.954	Ar	II	3	1	3s2.3p4.(3P).4s	2P3/2	138243.6444	3s2.3p4.(3P).4p	2S°1/2	161089.3846
4379.2128	Ar	II	2	1	3s2.3p4.(3P).4p	2D°3/2	159393.385	3s2.3p4.(3P).5s	4P3/2	182222.1209
4379.6665	Ar	II	10	6	3s2.3p4.(3P).4s	4P1/2	135601.7336	3s2.3p4.(3P).4p	4D°1/2	158428.1087
4379.8805	Ar	II	105	51	3s2.3p4.(3P).4p	2S°1/2	161089.3846	3s2.3p4.(3P).5s	2P1/2	183914.644
4383.7545	Ar	II	2	1	3s2.3p4.(3P).4s	2P3/2	138243.6444	3s2.3p4.(3P).4p	4S°3/2	161048.7411
4400.0964	Ar	II	4	2	3s2.3p4.(3P).3d	4D3/2	132630.7277	3s2.3p4.(3P).4p	4P°3/2	155351.1206
4400.986	Ar	II	5	2	3s2.3p4.(3P).3d	4D7/2	132327.3616	3s2.3p4.(3P).4p	4P°5/2	155043.1619
4406.4696	Ar	II	1	1	3s2.3p4.(3P).5p	4D°5/2	189654.8487	3s2.3p4.(3P).7d	4F7/2	212342.38
4420.9118	Ar	II	4	2	3s2.3p4.(3P).3d	4D1/2	132737.7039	3s2.3p4.(3P).4p	4P°3/2	155351.1206
4423.994	Ar	I	8	4	3s2.3p5.(2P°1/2).4s	2[1/2]°0	94553.6652	3s2.3p5.(2P°3/2).5p	2[3/2]1	117151.3264
4426.0008	Ar	II	30	15	3s2.3p4.(3P).4s	4P3/2	135085.9958	3s2.3p4.(3P).4p	4D°5/2	157673.4134
4430.1885	Ar	II	10	5	3s2.3p4.(3P).4s	4P1/2	135601.7336	3s2.3p4.(3P).4p	4D°3/2	158167.7999
4430.9959	Ar	II	8	4	3s2.3p4.(3P).3d	4D5/2	132481.2068	3s2.3p4.(3P).4p	4P°5/2	155043.1619
4433.8377	Ar	II	2	1	3s2.3p4.(1D).3d	2D5/2	172335.5985	3s2.3p4.(3P2).4f	2[3]°7/2	194883.0921
4439.8786	Ar	II	2	1	3s2.3p4.(1D).4p	2D°3/2	173347.9158	3s2.3p4.(1D).5s	2D5/2	195864.7296
4448.4587	Ar	II	1	1	3s2.3p4.(1D).4p	2D°5/2	173393.4658	3s2.3p4.(1D).5s	2D3/2	195866.8503
4448.8791	Ar	II	1	1	3s2.3p4.(1D).4p	2D°5/2	173393.4658	3s2.3p4.(1D).5s	2D5/2	195864.7296
4460.5558	Ar	II	2	1	3s2.3p4.(3P).3d	4D3/2	132630.7277	3s2.3p4.(3P).4p	4P°5/2	155043.1619
4474.7591	Ar	II	2	1	3s2.3p4.(3P).3d	2D3/2	150474.9903	3s2.3p4.(1D).4p	2P°1/2	172816.2926
4481.8104	Ar	II	9	4	3s2.3p4.(3P).3d	2D5/2	151087.3128	3s2.3p4.(1D).4p	2D°5/2	173393.4658
4490.9813	Ar	II	3	1	3s2.3p4.(3P).3d	2D5/2	151087.3128	3s2.3p4.(1D).4p	2D°3/2	173347.9158
4498.5374	Ar	II	2	1	3s2.3p4.(1D).3d	2P3/2	174409.8916	3s2.3p4.(3P0).4f	2[3]°5/2	196633.1005
4502.9265	Ar	II	4	2	3s2.3p4.(1D).3d	2D3/2	172829.6539	3s2.3p4.(3P2).4f	2[2]°5/2	195031.2028
