λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.92	Au	I	4	-	5d10.6p	2P°3/2	41174.613	5d10.7d	2D3/2	67469.4
3804.01	Au	II	330	-						
3821.85	Au	I	10	-						
3825.7	Au	I	45	-						
3874.73	Au	I	30	-						
3880.25	Au	I	45	-						
3889.48	Au	I	15	-						
3892.26	Au	I	180	-	5d95/2.6s1/2.6p1/2	4F°7/2	45537.195	5d9.6s.(3D2).7s	2D5/2	71222.0
3897.86	Au	I	65	-	5d95/2.6s1/2.6p1/2	4P°5/2	42163.53	5d9.6s.(3D3).7s	4D7/2	67811.5
3901.09	Au	I	65	-						
3909.38	Au	I	30	-	5d9.6s2	2D3/2	21435.191	5d95/2.6s1/2.6p3/2	4P°3/2	47007.433
3927.69	Au	I	15	-						
3959.1	Au	I	45	-						
3966.23	Au	I	80	1	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979	5d10.9d	2D5/2	71380.4
3976.65	Au	I	70	1						
3979.68	Au	I	25	-						
3991.37	Au	I	65	1	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979	5d9.6s.(3D2).7s	2D5/2	71222.0
4012.57	Au	I	9	-						
4016.07	Au	II	40	1						
4040.93	Au	I	165	3	5d9.6s2	2D3/2	21435.191	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979
4052.79	Au	II	210	5						
4065.07	Au	I	210	7	5d10.6p	2P°1/2	37358.991	5d10.6d	2D3/2	61951.6
4076.35	Au	II	120	5						
4083.28	Au	II	40	2						
4084.1	Au	I	135	5	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979	5d9.6s.(3D2).7s	4D3/2	70653.3
4101.7	Au	I	240	13	5d95/2.6s1/2.6p3/2	4P°3/2	47007.433	5d10.9d	2D5/2	71380.4
4128.59	Au	I	660	64	5d95/2.6s1/2.6p3/2	4P°3/2	47007.433	5d9.6s.(3D2).7s	2D5/2	71222.0
4201.13	Au	I	570	157	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979	5d10.8d	2D3/2	69971.3
4227.88	Au	I	765	275	5d95/2.6s1/2.6p3/2	4P°3/2	47007.433	5d9.6s.(3D2).7s	4D3/2	70653.3
4241.8	Au	I	405	151	5d10.6p	2P°3/2	41174.613	5d10.8s	2S1/2	64742.4
4315.11	Au	I	270	126	5d95/2.6s1/2.6p1/2	4F°7/2	45537.195	5d9.6s.(3D3).7s	4D5/2	68705.1
4361.04	Au	II	40	19						
4420.61	Au	II	15	8						
4437.27	Au	I	360	172	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979	5d9.6s.(3D3).7s	4D5/2	68705.1
4488.25	Au	I	810	392	5d95/2.6s1/2.6p1/2	4F°7/2	45537.195	5d9.6s.(3D3).7s	4D7/2	67811.5
4607.51	Au	I	55	28	5d95/2.6s1/2.6p3/2	4P°3/2	47007.433	5d9.6s.(3D3).7s	4D5/2	68705.1
4620.56	Au	I	15	8	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979	5d9.6s.(3D3).7s	4D7/2	67811.5
4663.92	Au	I	2	1						
4663.97	Au	I	6	3						
4694.69	Au	I	20	12	5d95/2.6s1/2.6p1/2	4F°5/2	46174.979	5d10.7d	2D3/2	67469.4
4760.17	Au	II	20	13						
4792.58	Au	I	2000	1239	5d10.6p	2P°3/2	41174.613	5d10.6d	2D5/2	62033.7
4811.6	Au	I	435	284	5d10.6p	2P°3/2	41174.613	5d10.6d	2D3/2	61951.6
4822.96	Au	I	50	34	5d9.6s2	2D3/2	21435.191	5d95/2.6s1/2.6p1/2	4P°5/2	42163.53
4950.82	Au	I	60	45	5d95/2.6s1/2.6p3/2	4D°7/2	51028.894	5d9.6s.(3D2).7s	2D5/2	71222.0
5064.59	Au	I	120	95	5d9.6s2	2D3/2	21435.191	5d10.6p	2P°3/2	41174.613
5108.84	Au	I	95	81	5d95/2.6s1/2.6p3/2	2D°5/2	51653.9	5d9.6s.(3D2).7s	2D5/2	71222.0
5147.44	Au	I	105	90	5d95/2.6s1/2.6p1/2	2D°3/2	51231.53	5d9.6s.(3D2).7s	4D3/2	70653.3
5230.26	Au	I	525	472	5d95/2.6s1/2.6p3/2	4F°9/2	48697.147	5d9.6s.(3D3).7s	4D7/2	67811.5
5261.76	Au	I	120	105	5d95/2.6s1/2.6p3/2	2D°5/2	51653.9	5d9.6s.(3D2).7s	4D3/2	70653.3
5655.77	Au	I	65	64	5d95/2.6s1/2.6p3/2	4D°7/2	51028.894	5d9.6s.(3D3).7s	4D5/2	68705.1
5721.36	Au	I	25	24	5d95/2.6s1/2.6p1/2	2D°3/2	51231.53	5d9.6s.(3D3).7s	4D5/2	68705.1
5837.37	Au	I	855	783	5d10.6p	2P°1/2	37358.991	5d10.7s	2S1/2	54485.235
5862.93	Au	I	65	58	5d95/2.6s1/2.6p3/2	2D°5/2	51653.9	5d9.6s.(3D3).7s	4D5/2	68705.1
5956.96	Au	I	85	70	5d95/2.6s1/2.6p3/2	4D°7/2	51028.894	5d9.6s.(3D3).7s	4D7/2	67811.5
5962.68	Au	I	85	69						
6278.17	Au	I	660	348	5d9.6s2	2D3/2	21435.191	5d10.6p	2P°1/2	37358.991
6562.68	Au	I	465	126						
6652.89	Au	I	105	23						
7510.73	Au	I	45	-	5d10.6p	2P°3/2	41174.613	5d10.7s	2S1/2	54485.235
