λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3990.24	B	II	2	-	1s2.2s.4p	1P°1	170591.33	1s2.2s.8d	1D2	195645.4
4000.07	B	III	3	-	1s.2s.(3S).4d	4D1/2,3/2,5/2,7/2	1842812.7	1s.2s.(3S).5f	4F°3/2,5/2,7/2,9/2	1867804.6
4121.933	B	II	225	18	1s2.2s.3d	3D3	150649.68	1s2.2s.4f	3F°2	174903.33
4194.792	B	II	30	7	1s2.2s.3p	1P°1	144102.94	1s2.2s.4s	1S0	167935.31
4242.98	B	III	7	3	1s2.4p	2P°1/2	242829.74	1s2.5d	2D3/2	266391.36
4243.61	B	III	15	5	1s2.4p	2P°3/2	242833.65	1s2.5d	2D3/2	266391.36
4272.73	B	II	1	1	1s2.2s.4s	3S1	166344.89	1s2.2s.6p	3P°0,1,2	189742.5
4295.71	B	II	1	1	1s2.2s.4p	1P°1	170591.33	1s2.2s.7d	1D2	193863.8
4361.47	B	III	1	1	1s.2p.(3P°).4f	2F5/2,7/2	1880236.3	1s.2p.(3P°).5g	2G°7/2,9/2	1903157.9
4366.11	B	III	2	1	1s.2p.(3P°).4f	4F3/2,5/2,7/2,9/2	1880251.3	1s.2p.(3P°).5g	4G°5/2,7/2,9/2,11/2	1903148.6
4472.101	B	II	80	39	1s2.2s.3p	3P°1	143990.56	1s2.2s.4s	3S1	166344.89
4472.5	B	III	10	5	1s2.5s	2S1/2	263159.78	1s2.7p	2P°1/2	285519.29
4472.851	B	II	80	39	1s2.2s.3p	3P°2	143994.11	1s2.2s.4s	3S1	166344.89
4487.05	B	III	45	21	1s2.4d	2D5/2	244142.86	1s2.5f	2F°7/2	266422.7
4497.73	B	III	40	19	1s2.4f	2F°7/2	244199.74	1s2.5g	2G7/2,9/2	266426.94
4498.56	B	III	15	7	1s2.4f	2F°7/2	244199.74	1s2.5f	2F°7/2	266422.7
4504.81	B	III	1	-	1s2.4f	2F°5/2	244199.12	1s2.5d	2D3/2	266391.36
4632.49	B	III	2	1	1s2.4d	2D3/2	244141.63	1s2.5p	2P°1/2	265721.62
4647.13	B	IV	7	4	1s.5d	3D1	2021686.5	1s.6f	3F°2	2043199.7
4658.15	B	IV	25	13	1s.5g	3G4	2021743.1	1s.6h	1,3H°4,5,6	2043204.8
4685.0	B	IV	2	1	1s.6h	1,3H°4,5,6	2043204.8	1s.8i	3I5,6,7	2064543.6
4719.7	B	IV	2	1	1s.5p	1P°1	2022009.1	1s.6d	1D2	2043190.8
4773.3	B	IV	1	1	1s.5d	3D3	2021686.5	1s.6p	3P°0,1,2	2042628.1
4784.206	B	II	80	51	1s2.2s.3d	3D2	150649.68	1s2.2s.4p	3P°1	171545.96
4812.77	B	IV	1	1	1s.5p	3P°2	2020748.6	1s.6s	3S1	2041520.9
4917.43	B	III	10	7	1s2.4p	2P°1/2	242829.74	1s2.5s	2S1/2	263159.78
4918.43	B	III	10	7	1s2.4p	2P°3/2	242833.65	1s2.5s	2S1/2	263159.78
4940.376	B	II	9	7	1s2.2s.3d	1D2	154686.12	1s2.2s.4f	1F°3	174921.89
4944.6	B	V	1	1	6h	2H°11/2	2667904.560888	7i	2I13/2	2688121.920009
4988.66	B	III	1	1	1s2.5p	2P°3/2	265723.75	1s2.7d	2D3/2,5/2	285762.2
5125.79	B	II	1	1	1s2.2s.4d	3D1	174073.33	1s2.2s.7f	3F°2,3,4	193577.1
5157.85	B	III	4	3	1s2.5d	2D5/2	266391.99	1s2.7f	2F°7/2	285774.21
5165.96	B	III	6	5	1s2.5f	2F°7/2	266422.7	1s2.7g	2G7/2,9/2	285775.45
5393.17	B	II	2	1	1s2.2s.4p	1P°1	170591.33	1s2.2p.3p	1P1	189127.98
5563.185	B	I	2	2	2s.2p2	2D3/2	47857.125	2s2.10f	2F°5/2,7/2	65827.26
5633.069	B	I	4	4	2s2.3s	2S1/2	40039.6907	2s2.4p	2P°3/2	57787.0683
5633.2732	B	I	4	4	2s2.3s	2S1/2	40039.6907	2s2.4p	2P°1/2	57786.4336
5644.321	B	I	1	1	2s.2p2	2D3/2	47857.125	2s2.9f	2F°5/2,7/2	65568.95
6080.44	B	II	2	1	1s2.2p2	1S0	127661.19	1s2.2s.3p	1P°1	144102.94
6125.02	B	III	2	1	1s.2s.(3S).3s	4S3/2	1763545.4	1s.2s.(3S).3p	4P°5/2	1779867.2
6127.9	B	III	2	1	1s.2s.(3S).3s	4S3/2	1763545.4	1s.2s.(3S).3p	4P°3/2	1779859.5
