λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3813.133	Ba	III	40	-	5p5.(2P°1/2).6s	2[1/2]°1	170192.53	5p5.(2P°1/2).4f	2[5/2]2	196410.28
3816.69	Ba	II	20	-	6d	2D3/2	45949.472	8f	2F°5/2	72142.77
3842.8	Ba	II	20	-	6d	2D5/2	46154.847	8f	2F°7/2	72170.19
3847.113	Ba	III	15	-	5p5.(2P°1/2).5d	2[5/2]°2	156736.25	5p5.(2P°3/2).6p	2[3/2]1	182722.42
3854.76	Ba	II	7	-	7p	2P°3/2	50011.34	12d	2D5/2	75945.97
3861.8816	Ba	I	10	-	6s.5d	1D2	11395.35	5d.7p	1F°3	37282.124
3881.3342	Ba	I	9	-	6s.6p	3P°0	12266.024	5d.6d	3P1	38023.059
3889.3263	Ba	I	35	-	6s2	1S0	0.0	5d.6p	3P°1	25704.11
3890.5714	Ba	I	10	-	6s.6p	3P°0	12266.024	6s.8d	3D1	37961.908
3891.779	Ba	II	90	-	6p	2P°1/2	20261.561	6d	2D3/2	45949.472
3892.6555	Ba	I	20	-	6s.5d	1D2	11395.35	5d.7p	3P°2	37077.477
3894.3494	Ba	I	20	-	6s.6p	3P°2	13514.745	6s.9d	3D3	39185.7
3894.7817	Ba	I	4	-	6s.5d	1D2	11395.35	5d.7p	3D°2	37063.452
3896.958	Ba	III	40	-	5p5.(2P°3/2).5d	2[5/2]°2	142929.99	5p5.(2P°3/2).4f	2[3/2]2	168583.77
3905.9632	Ba	I	15	-	6s.5d	1D2	11395.35	5d.7p	3P°1	36989.981
3909.9092	Ba	I	180	1	6s.5d	3D1	9033.966	6s.4f	3F°2	34602.765
3914.73	Ba	II	55	-	4f	2F°5/2	48258.617	8g	2G7/2	73795.87
3917.252	Ba	I	10	-	6s.5d	3D2	9215.501	6s.4f	1F°3	34736.373
3926.851	Ba	III	20	-	5p5.(2P°3/2).6s	2[3/2]°2	152135.02	5p5.(2P°3/2).6p	2[1/2]1	177593.45
3927.227	Ba	III	25	-	5p5.(2P°3/2).5d	2[5/2]°3	147066.86	5p5.(2P°3/2).4f	2[9/2]4	172522.89
