λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3813.454	Be	I	255	-	1s2.2s.2p	1P°1	42565.4502	1s2.2s.4d	1D2	68780.96
3865.13	Be	I	50	-	1s2.2p2	3P1	59694.99	1s2.2p.3s	3P°2	85560.01
3865.423	Be	I	300	1	1s2.2p2	3P2	59696.98	1s2.2p.3s	3P°2	85560.01
3865.513	Be	I	100	-	1s2.2p2	3P0	59693.6	1s2.2p.3s	3P°1	85556.03
3865.722	Be	I	20	-	1s2.2p2	3P1	59694.99	1s2.2p.3s	3P°1	85556.03
3866.025	Be	I	150	-	1s2.2p2	3P1	59694.99	1s2.2p.3s	3P°0	85553.94
3995.5	Be	II	4	-	1s.2p.(3P°).3d	2D°5/2	1077320.0	1s.2p.(3P°).4f	2F7/2	1102341.0
4249.14	Be	III	10	5	1s.4p	3P°1	1178174.0	1s.5d	3D1	1201702.0
4252.1	Be	II	10	5	1s.2s.3p	4P°5/2	1043670.0	1s.2s.4s	4S3/2	1067182.0
4253.05	Be	I	25	10	1s2.2s.3d	3D2	62053.742	1s2.2p.3s	3P°2	85560.01
4253.76	Be	I	20	7	1s2.2s.3d	3D1	62053.7385	1s2.2p.3s	3P°1	85556.03
4254.12	Be	I	6	2	1s2.2s.3d	3D1	62053.7385	1s2.2p.3s	3P°0	85553.94
4329.55	Be	II	6	3	1s.2s.3d	4D5/2	1049908.3	1s.2s.4f	4F°3/2	1072999.0
4333.17	Be	II	6	3	1s2.4d	2D5/2	119421.44	1s2.10f	2F°7/2	142493.33
4360.663	Be	II	80	37	1s2.3p	2P°1/2	96495.36	1s2.4d	2D3/2	119421.2
4360.988	Be	II	90	42	1s2.3p	2P°3/2	96497.288	1s2.4d	2D5/2	119421.44
4371.1	Be	II	10	5	1s.2p.3d	4D°7/2	1079485.0	1s.2p.4f	4F5/2	1102356.0
4404.01	Be	II	15	7	1s2.4p	2P°3/2	118761.32	1s2.9d	2D5/2	141461.15
4407.935	Be	I	105	53	1s2.2s.2p	1P°1	42565.4502	1s2.2s.4s	1S0	65245.437
4467.78	Be	II	10	5	1s2.4p	2P°3/2	118761.32	1s2.9s	2S1/2	141136.3
4476.54	Be	II	15	7	1s2.4s	2S1/2	115464.44	1s2.7p	2P°1/2	137795.97
4485.52	Be	III	105	50						
4487.3	Be	III	105	52	1s.4d	3D1	1179451.0	1s.5f	3F°2	1201730.0
4495.09	Be	III	10	6						
4497.8	Be	III	10	5						
4526.409	Be	I	9	4	1s2.2s.4p	1P°1	67034.8	1s2.2p.3p	1P1	89121.19
4535.4	Be	II	10	5	1s2.4d	2D5/2	119421.44	1s2.9f	2F°7/2	141463.65
4540.53	Be	II	10	5	1s2.4f	2F°7/2	119446.72	1s2.9g	2G7/2	141463.95
4547.78	Be	II	10	5	1s2.4d	2D5/2	119421.44	1s2.9p	2P°3/2	141403.31
4572.66605	Be	I	165	81	1s2.2s.2p	1P°1	42565.4502	1s2.2s.3d	1D2	64428.4032
4673.329	Be	II	3	1	1s2.3d	2D3/2	98054.57	1s2.4f	2F°5/2	119446.59
4673.423	Be	II	165	89	1s2.3d	2D5/2	98055.1	1s2.4f	2F°7/2	119446.72
4702.57	Be	II	40	24	1s2.4p	2P°3/2	118761.32	1s2.8d	2D3/2	140020.58
4709.37	Be	I	65	40	1s2.2s.3s	3S1	52080.943	1s2.2s.8p	3P°2	73309.15
4807.78	Be	II	10	6	1s2.4p	2P°3/2	118761.32	1s2.8s	2S1/2	139555.16
4828.159	Be	II	20	14	1s2.3d	2D3/2	98054.57	1s2.4p	2P°1/2	118760.51
4849.16	Be	I	2	1	1s2.2s.3s	3S1	52080.943	1s2.2s.7p	3P°0	72697.33
