λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.08	Bk	II	10000	12						
3802.35	Bk	I	10000	12						
3802.47	Bk	I	10000	12						
3815.29	Bk	I	10000	14						
3823.1	Bk	II	10000	14						
3824.08	Bk	II	10000	14						
3825.19	Bk	I	10000	15						
3825.84	Bk	II	10000	15						
3827.41	Bk	I	10000	15						
3830.55	Bk	I	10000	15						
3831.57	Bk	II	10000	15						
3835.97	Bk	II	10000	16						
3842.19	Bk	I	10000	16						
3846.62	Bk	I	10000	18						
3847.63	Bk	I	10000	18						
3855.03	Bk	I	10000	19						
3859.89	Bk	II	10000	19						
3877.94	Bk	II	10000	24						
3880.11	Bk	I	10000	24						
3882.6	Bk	I	10000	24						
3894.55	Bk	II	10000	26						
3906.09	Bk	II	10000	33						
3912.16	Bk	II	10000	33						
3916.37	Bk	II	10000	37						
3921.42	Bk	I	10000	37						
3928.05	Bk	II	10000	41						
4147.13	Bk	II	10000	1350						
4189.69	Bk	II	10000	2423						
4197.44	Bk	II	10000	2725						
4329.58	Bk	I	10000	4671						
4351.5	Bk	I	10000	4702						
4363.64	Bk	I	10000	4712						
4423.01	Bk	I	10000	4754						
4466.46	Bk	I	10000	4817						
5056.73	Bk	I	10000	8156						
5118.24	Bk	I	10000	8448						
5135.53	Bk	II	10000	8571						
5170.61	Bk	I	10000	8754						
5197.55	Bk	I	10000	8928						
5212.53	Bk	I	10000	8984						
5271.95	Bk	I	10000	9296						
5392.03	Bk	I	10000	9769						
5394.24	Bk	I	10000	9769						
5404.62	Bk	I	10000	9798						
5449.63	Bk	I	10000	9915						
5467.47	Bk	I	10000	9949						
5484.58	Bk	I	10000	9963						
5512.22	Bk	II	10000	9994						
5537.93	Bk	I	10000	10006						
5556.8	Bk	I	10000	10004						
5557.09	Bk	I	10000	10004						
5581.21	Bk	I	10000	9993						
5656.54	Bk	I	10000	9866						
5659.03	Bk	I	10000	9866						
5702.24	Bk	I	10000	9752						
5910.71	Bk	I	10000	8624						
7040.85	Bk	I	10000	440						
7107.85	Bk	I	10000	312						
7176.22	Bk	I	10000	216						
7252.5	Bk	I	10000	146						
7257.21	Bk	I	10000	138						
7306.94	Bk	I	10000	103						
7511.26	Bk	I	10000	28						
7551.12	Bk	I	10000	21						
7579.77	Bk	I	10000	17						
