λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3815.65	Br	I	45	-	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P2).7p	2[3]°7/2	89636.84
3820.26	Br	III	390	1						
3834.69	Br	II	6	-						
3871.21	Br	II	35	-						
3891.63	Br	II	75	-						
3901.24	Br	II	25	-						
3903.95	Br	III	180	1						
3914.2	Br	II	450	1						
3914.38	Br	II	495	2						
3919.51	Br	II	45	-						
3924.09	Br	II	105	-						
3929.55	Br	II	45	-						
3939.69	Br	II	45	-						
3950.61	Br	II	85	-						
3980.38	Br	II	70	1						
3992.363	Br	I	55	-	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P0).6p	2[1]°3/2	89947.93
4024.04	Br	II	50	1						
4135.66	Br	II	45	5						
4140.2	Br	II	65	7						
4179.63	Br	II	80	17						
4193.45	Br	II	50	12						
4223.89	Br	II	150	50						
4236.89	Br	II	45	18						
4291.39	Br	II	255	118						
4365.139	Br	I	25	12	4s2.4p4.(3P1).5s	2[1]1/2	66883.87	4s2.4p4.(3P2).7p	2[1]°3/2	89786.18
4365.6	Br	II	330	156						
4425.14	Br	I	20	9	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(1D2).5p	2[1]°1/2	87499.03
4441.74	Br	I	135	63	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P2).6p	2[1]°3/2	85943.86
4472.609	Br	I	210	100	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(1D2).5p	2[1]°3/2	87259.29
4477.72	Br	I	330	160	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P2).6p	2[3]°7/2	85762.98
4490.419	Br	I	40	20	4s2.4p4.(3P1).5s	2[1]1/2	66883.87	4s2.4p4.(3P1).6p	2[1]°1/2	89147.3
4506.55	Br	III	180	88						
4513.439	Br	I	165	83	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P2).6p	2[2]°3/2	85586.3
4519.74	Br	III	105	51						
4525.59	Br	I	210	106	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P2).6p	2[2]°5/2	85526.82
4529.6	Br	II	15	8						
4542.92	Br	II	435	216						
4575.739	Br	I	180	92	4s2.4p4.(3P1).5s	2[1]3/2	67183.58	4s2.4p4.(3P1).6p	2[1]°3/2	89031.84
4601.36	Br	II	35	19						
4614.579	Br	I	195	105	4s2.4p4.(3P1).5s	2[1]3/2	67183.58	4s2.4p4.(3P1).6p	2[2]°5/2	88848.01
4622.7	Br	II	420	227						
4642.02	Br	II	50	26						
4651.98	Br	II	60	34						
4678.7	Br	II	495	282						
4693.17	Br	II	95	56						
4704.85	Br	II	585	343						
4719.76	Br	II	180	107						
4720.36	Br	II	20	13						
4728.2	Br	II	25	16						
4735.41	Br	II	40	26						
4742.64	Br	II	450	278						
4752.28	Br	I	240	151	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P2).6p	2[1]°3/2	85943.86
4766.0	Br	II	105	67						
4779.4	Br	II	225	143						
4780.31	Br	I	225	146	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P2).6p	2[3]°5/2	85820.53
4785.19	Br	I	35	24	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P2).6p	2[1]°1/2	85799.19
4785.5	Br	II	735	474						
4802.33	Br	II	45	29						
4816.7	Br	II	750	496						
4818.46	Br	II	10	8						
4844.81	Br	II	50	36						
4848.75	Br	II	390	271						
4921.12	Br	II	6	4						
4928.79	Br	II	390	285						
4930.66	Br	II	135	95						
4945.51	Br	II	55	43						
4979.759	Br	I	630	486	4s2.4p4.(3P1).5s	2[1]3/2	67183.58	4s2.4p4.(1D2).5p	2[1]°3/2	87259.29
5038.74	Br	II	300	236						
5054.64	Br	II	990	805						
5164.38	Br	II	60	52						
5175.87	Br	III	135	116						
5180.01	Br	II	255	222						
5182.35	Br	II	300	265						
5193.9	Br	II	30	27						
5238.23	Br	II	480	441						
5245.119	Br	I	105	93	4s2.4p4.(3P1).5s	2[1]1/2	66883.87	4s2.4p4.(3P2).6p	2[1]°3/2	85943.86
5272.68	Br	II	270	258						
5304.1	Br	II	70	67						
5330.57	Br	II	20	18						
5332.05	Br	II	120	118						
5345.421	Br	I	90	85	4s2.4p4.(3P1).5s	2[1]1/2	66883.87	4s2.4p4.(3P2).6p	2[2]°3/2	85586.3
5364.19	Br	I	30	28	4s2.4p4.(3P1).5s	2[1]3/2	67183.58	4s2.4p4.(3P2).6p	2[3]°5/2	85820.53
5370.34	Br	I	30	29	4s2.4p4.(3P1).5s	2[1]3/2	67183.58	4s2.4p4.(3P2).6p	2[1]°1/2	85799.19
5395.48	Br	I	135	136	4s2.4p4.(3P0).5s	2[0]1/2	68970.21	4s2.4p4.(1D2).5p	2[1]°1/2	87499.03
5422.78	Br	II	45	45						
5424.99	Br	II	25	22						
5435.07	Br	II	20	22						
5446.8	Br	III	35	35						
5466.219	Br	I	165	162	4s2.4p4.(3P0).5s	2[0]1/2	68970.21	4s2.4p4.(1D2).5p	2[1]°3/2	87259.29
5478.47	Br	II	85	83						
5488.79	Br	II	50	50						
5495.06	Br	II	95	94						
5506.69	Br	II	95	94						
5589.94	Br	II	150	146						
5718.71	Br	II	50	46						
5830.78	Br	II	95	85						
5852.079	Br	I	80	73	4s2.4p4.(3P2).5p	2[2]°5/2	74672.32	4s2.4p4.(3P2).7d	2[3]7/2	91755.54
5940.481	Br	I	240	196	4s2.4p4.(3P0).5s	2[0]1/2	68970.21	4s2.4p4.(3P2).6p	2[1]°1/2	85799.19
6122.139	Br	I	95	66	4s2.4p4.(3P2).5p	2[3]°7/2	75521.5	4s2.4p4.(3P2).7d	2[4]9/2	91851.14
6148.598	Br	I	210	133	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P0).5p	2[1]°3/2	79695.89
6161.74	Br	II	9	6						
6177.389	Br	I	90	58	4s2.4p4.(3P2).5p	2[3]°5/2	75697.05	4s2.4p4.(3P2).7d	2[4]7/2	91880.64
6335.48	Br	I	15	7	4s2.4p4.(3P2).5p	2[2]°3/2	75009.13	4s2.4p4.(3P2).8s	2[2]5/2	90788.9
6350.73	Br	I	210	92	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P1).5p	2[1]°3/2	79178.33
6352.94	Br	II	25	11						
6410.322	Br	I	225	89	4s2.4p4.(3P2).5p	2[2]°5/2	74672.32	4s2.4p4.(3P2).6d	2[4]7/2	90267.85
6483.562	Br	I	85	29	4s2.4p4.(3P2).5p	2[2]°3/2	75009.13	4s2.4p4.(3P2).6d	2[0]1/2	90428.5
6514.62	Br	I	570	175	4s2.4p4.(3P2).5p	2[2]°3/2	75009.13	4s2.4p4.(3P2).6d	2[2]5/2	90354.93
6544.571	Br	I	285	79	4s2.4p4.(3P2).5p	2[2]°5/2	74672.32	4s2.4p4.(3P2).6d	2[3]5/2	89947.97
6548.091	Br	I	55	16	4s2.4p4.(3P2).5p	2[3]°7/2	75521.5	4s2.4p4.(3P2).8s	2[2]5/2	90788.9
6559.799	Br	I	435	119	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P1).5p	2[2]°3/2	78676.65
6571.312	Br	I	15	4	4s2.4p4.(3P2).5p	2[1]°3/2	76743.08	4s2.4p4.(3P2).7d	2[2]5/2	91956.55
6579.139	Br	I	65	17	4s2.4p4.(3P2).5p	2[2]°5/2	74672.32	4s2.4p4.(3P2).6d	2[1]3/2	89867.69
6582.171	Br	I	330	86	4s2.4p4.(3P2).5p	2[2]°5/2	74672.32	4s2.4p4.(3P2).6d	2[3]7/2	89860.7
6620.469	Br	I	45	10	4s2.4p4.(3P2).5p	2[3]°5/2	75697.05	4s2.4p4.(3P2).8s	2[2]3/2	90797.55
6631.619	Br	I	855	188	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P1).5p	2[2]°5/2	78511.6
6682.281	Br	I	600	113	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P0).5p	2[1]°1/2	79868.03
6692.13	Br	I	510	91	4s2.4p4.(3P2).5p	2[2]°3/2	75009.13	4s2.4p4.(3P2).6d	2[3]5/2	89947.97
6728.279	Br	I	375	60	4s2.4p4.(3P2).5p	2[2]°3/2	75009.13	4s2.4p4.(3P2).6d	2[1]3/2	89867.69
6760.058	Br	I	40	6	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P0).5p	2[1]°3/2	79695.89
6779.482	Br	I	30	4	4s2.4p4.(3P2).5p	2[3]°7/2	75521.5	4s2.4p4.(3P2).6d	2[4]7/2	90267.85
6786.74	Br	I	90	11	4s2.4p4.(3P2).5p	2[3]°5/2	75697.05	4s2.4p4.(3P1).5d	2[3]7/2	90427.64
6790.04	Br	I	210	26	4s2.4p4.(3P2).5p	2[3]°7/2	75521.5	4s2.4p4.(3P2).6d	2[4]9/2	90244.89
6791.479	Br	I	15	2	4s2.4p4.(3P2).5p	2[2]°3/2	75009.13	4s2.4p4.(3P2).6d	2[1]1/2	89729.4
6861.148	Br	I	105	11	4s2.4p4.(3P2).5p	2[3]°5/2	75697.05	4s2.4p4.(3P2).6d	2[4]7/2	90267.85
7005.192	Br	I	600	31	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P1).5p	2[1]°3/2	79178.33
7192.8	Br	III	90	2						
7260.448	Br	I	150	2	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P1).5p	2[2]°3/2	78676.65
7348.512	Br	I	1500	12	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P1).5p	2[2]°5/2	78511.6
7512.959	Br	I	150	-	4s2.4p4.(3P2).5s	2[2]5/2	63436.45	4s2.4p4.(3P2).5p	2[1]°3/2	76743.08
7591.611	Br	I	6	-	4s2.4p4.(3P2).5s	2[2]3/2	64907.19	4s2.4p4.(3P1).5p	2[0]°1/2	78076.0
7595.071	Br	I	9	-	4s2.4p4.(3P2).4d	2[3]7/2	79044.5	4s2.4p4.(3P2).6f	2[4]°9/2	92207.32
