λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3804.305	C	I	35	-	2s2.2p.3s	1P°1	61981.83211	2s2.2p.7p	1D2	88260.38
3828.849	C	I	25	-	2s2.2p.3s	1P°1	61981.83211	2s2.2p.7p	3D1	88092.0
3833.347	C	I	40	-	2s2.2p.3s	1P°1	61981.83211	2s2.2p.7p	1P1	88061.34
3876.19	C	II	405	1						
3876.41	C	II	195	-						
3876.66	C	II	120	-						
3918.98	C	II	225	1	2s2.3p	2P°1/2	131724.37	2s2.4s	2S1/2	157234.07
3920.69	C	II	585	2	2s2.3p	2P°3/2	131735.52	2s2.4s	2S1/2	157234.07
3942.223	C	I	25	-	2s2.2p.3s	1P°1	61981.83211	2s2.2p.6p	1S0	87341.05
3961.403	C	I	30	-	2s2.2p.3s	1P°1	61981.83211	2s2.2p.6p	1D2	87218.275
3986.879	C	I	15	-	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°3/2).8f	2[7/2]3	89162.15
3996.488	C	I	9	-	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°1/2).8f	2[7/2]3	89101.87
3996.966	C	I	9	-	2s.2p3	3D°1	64089.899	2s2.2p.(2P°1/2).8f	2[5/2]2	89101.81
3997.136	C	I	9	-	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°1/2).8f	2[5/2]2	89101.81
4002.976	C	I	30	-	2s2.2p.3s	1P°1	61981.83211	2s2.2p.6p	3D1	86956.176
4009.93	C	I	65	1	2s2.2p.3s	1P°1	61981.83211	2s2.2p.6p	1P1	86912.89
4022.115	C	I	35	1	2s2.2p.3s	3P°0	60333.4476	2s2.2p.5p	3P1	85188.967
4022.841	C	I	55	1	2s2.2p.3s	3P°1	60352.6584	2s2.2p.5p	3P2	85203.6756
4025.221	C	I	25	-	2s2.2p.3s	3P°1	60352.6584	2s2.2p.5p	3P1	85188.967
4028.355	C	I	35	1	2s2.2p.3s	3P°1	60352.6584	2s2.2p.5p	3P0	85169.66
4029.413	C	I	90	2	2s2.2p.3s	3P°2	60393.1693	2s2.2p.5p	3P2	85203.6756
4031.795	C	I	55	1	2s2.2p.3s	3P°2	60393.1693	2s2.2p.5p	3P1	85188.967
4033.228	C	I	10	-	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°3/2).8p	2[3/2]2	88874.0
4063.577	C	I	30	1	2s2.2p.3s	3P°0	60333.4476	2s2.2p.5p	3D1	84935.362
4064.271	C	I	35	1	2s2.2p.3s	3P°1	60352.6584	2s2.2p.5p	3D2	84950.41
4065.246	C	I	65	2	2s2.2p.3s	3P°2	60393.1693	2s2.2p.5p	3D3	84985.0033
4066.752	C	I	35	1	2s2.2p.3s	3P°1	60352.6584	2s2.2p.5p	3D1	84935.362
4067.94	C	III	1	-	1s2.2s.4f	3F°2	322003.68	1s2.2s.5g	3G3	346579.21
4068.91	C	III	1	-	1s2.2s.4f	3F°3	322009.58	1s2.2s.5g	3G4	346579.21
4070.26	C	III	1	-	1s2.2s.4f	3F°4	322017.97	1s2.2s.5g	3G5	346579.49
4070.97	C	I	35	1	2s2.2p.3s	3P°2	60393.1693	2s2.2p.5p	3D2	84950.41
4072.643	C	I	35	1	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°3/2).7f	2[7/2]3	88634.03
4073.327	C	I	15	-	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°3/2).7f	2[7/2]3	88634.03
4074.52	C	II	315	11						
4075.85	C	II	510	20						
4082.415	C	I	20	1	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°1/2).7f	2[7/2]4	88575.36
4082.981	C	I	15	1	2s.2p3	3D°1	64089.899	2s2.2p.(2P°1/2).7f	2[5/2]2	88574.9
4083.161	C	I	15	1	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°1/2).7f	2[5/2]3	88574.89
4146.264	C	I	25	3	2s.2p3	3D°3	64086.96961	2s2.2p.7p	3P2	88198.2
4146.971	C	I	10	1	2s.2p3	3D°2	64090.99351	2s2.2p.7p	3P2	88198.2
4147.976	C	I	15	2	2s.2p3	3D°2	64090.99351	2s2.2p.7p	3P1	88192.34
4153.374	C	I	15	2	2s.2p3	3D°1	64089.899	2s2.2p.7p	3P0	88159.93
4158.34	C	I	10	2	2s.2p3	3D°2	64090.99351	2s2.2p.7p	3D3	88135.84
4186.9	C	III	1	-	1s2.2s.4f	1F°3	322702.02	1s2.2s.5g	1G4	346579.31
4209.71	C	I	9	3	2s.2p3	3D°1	64089.899	2s2.2p.(2P°3/2).6f	2[3/2]1	87837.76
4209.905	C	I	9	3	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°3/2).6f	2[3/2]2	87837.76
4211.115	C	I	20	6	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°3/2).6f	2[5/2]3	87826.99
4211.613	C	I	15	4	2s.2p3	3D°1	64089.899	2s2.2p.(2P°3/2).6f	2[5/2]2	87827.043
4211.817	C	I	20	6	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°3/2).6f	2[5/2]3	87826.99
4212.342	C	I	30	9	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°3/2).6f	2[7/2]3	87819.96
4213.074	C	I	30	9	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°3/2).6f	2[7/2]3	87819.96
4222.466	C	I	30	10	2s.2p3	3D°3	64086.96961	2s2.2p.(2P°1/2).6f	2[7/2]4	87763.14
4223.159	C	I	45	15	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°1/2).6f	2[7/2]3	87763.21
4223.36	C	I	30	10	2s.2p3	3D°2	64090.99351	2s2.2p.(2P°1/2).6f	2[5/2]3	87762.15
4228.326	C	I	30	11	2s2.2p.3s	1P°1	61981.83211	2s2.2p.5p	1S0	85625.19
4267.0	C	II	270	116	2s2.3d	2D3/2	145549.27	2s2.4f	2F°5/2	168978.34
4267.26	C	II	375	164	2s2.3d	2D5/2	145550.7	2s2.4f	2F°5/2	168978.34
4269.0197	C	I	7	3	2s2.2p.3s	1P°1	61981.83211	2s2.2p.5p	1D2	85399.833
