λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3810.02	Ca	III	9	-	3s2.3p5.(2P°3/2).4d	2[7/2]°3	324660.47	3s2.3p5.(2P°1/2).4f	2[5/2]2	350900.04
3823.759	Ca	III	20	-	3s2.3p5.(2P°3/2).4d	2[7/2]°3	324660.47	3s2.3p5.(2P°1/2).4f	2[7/2]4	350805.32
3833.189	Ca	III	40	-	3s2.3p5.(2P°3/2).4d	2[7/2]°3	324660.47	3s2.3p5.(2P°1/2).4f	2[5/2]3	350741.19
3870.48	Ca	I	120	-	3p6.3d.4s	3D1	20335.36	3p6.4s.6f	3F°2	46164.644
3872.54	Ca	I	9	-	3p6.3d.4s	3D2	20349.26	3p6.4s.6f	3F°3	46164.785
3872.56	Ca	I	225	-	3p6.3d.4s	3D2	20349.26	3p6.4s.6f	3F°2	46164.644
3875.78	Ca	I	10	-	3p6.3d.4s	3D3	20371.0	3p6.4s.6f	3F°4	46164.971
3875.8	Ca	I	360	1	3p6.3d.4s	3D3	20371.0	3p6.4s.6f	3F°3	46164.785
3875.826	Ca	I	7	-	3p6.3d.4s	3D3	20371.0	3p6.4s.6f	3F°2	46164.644
3889.1	Ca	I	50	-						
3923.48	Ca	I	2	-						
3930.87	Ca	III	35	-	3s2.3p5.(2P°3/2).4d	2[5/2]°2	325467.67	3s2.3p5.(2P°1/2).4f	2[5/2]2	350900.04
3933.66	Ca	II	1500	7	3p6.4s	2S1/2	0.0	3p6.4p	2P°3/2	25414.4
3935.29	Ca	I	4	-						
3946.04	Ca	I	5	-						
3948.9	Ca	I	100	1	3p6.4s.4p	3P°0	15157.901	3p6.4s.6s	3S1	40474.241
3949.604	Ca	III	5	-	3s2.3p5.(2P°3/2).4d	2[5/2]°2	325467.67	3s2.3p5.(2P°1/2).4f	2[7/2]3	350779.47
3957.05	Ca	I	180	1	3p6.4s.4p	3P°1	15210.063	3p6.4s.6s	3S1	40474.241
3968.47	Ca	II	1500	9	3p6.4s	2S1/2	0.0	3p6.4p	2P°1/2	25191.51
3972.57	Ca	I	35	-						
3973.71	Ca	I	600	4	3p6.4s.4p	3P°2	15315.943	3p6.4s.6s	3S1	40474.241
3997.88	Ca	V	7	-	3s2.3p4	1D2	18830.3	3s2.3p4	1S0	43836.5
4038.508	Ca	III	20	-	3s2.3p5.(2P°3/2).4d	2[1/2]°1	323003.56	3s2.3p5.(2P°3/2).4f	2[5/2]2	347758.22
4071.362	Ca	III	15	1	3s2.3p5.(2P°3/2).4d	2[5/2]°3	326186.32	3s2.3p5.(2P°1/2).4f	2[5/2]3	350741.19
4081.766	Ca	III	30	1	3s2.3p5.4s	1P°1	247696.39	3s2.3p5.4p	3S1	272188.7
4087.2	Ca	IIII	7	-	2s2.2p4	3P2	0.0	2s2.2p4	3P1	24460.0
4092.632	Ca	I	105	5	3p6.3d.4s	3D1	20335.36	3p6.4s.5f	3F°2	44762.62
4094.925	Ca	I	105	5	3p6.3d.4s	3D2	20349.26	3p6.4s.5f	3F°3	44762.839
4094.962	Ca	I	7	-	3p6.3d.4s	3D2	20349.26	3p6.4s.5f	3F°2	44762.62
4097.1	Ca	II	30	2	3p6.5p	2P°1/2	60533.02	3p6.7d	2D3/2	84933.65
4098.53	Ca	I	105	6	3p6.3d.4s	3D3	20371.0	3p6.4s.5f	3F°4	44763.118
4098.57	Ca	I	10	1	3p6.3d.4s	3D3	20371.0	3p6.4s.5f	3F°3	44762.839
4098.612	Ca	I	7	-	3p6.3d.4s	3D3	20371.0	3p6.4s.5f	3F°2	44762.62
4108.526	Ca	I	50	3	3p6.3d.4s	1D2	21849.634	3p6.4s.6f	1F°3	46182.399
4109.82	Ca	II	25	2	3p6.5p	2P°3/2	60611.28	3p6.7d	2D5/2	84936.41
4110.28	Ca	II	20	1	3p6.5p	2P°3/2	60611.28	3p6.7d	2D3/2	84933.65
4136.247	Ca	III	30	3	3s2.3p5.(2P°3/2).4f	2[3/2]1	346732.19	3s2.3p5.(2P°3/2).5g	2[5/2]°2	370901.88
4137.084	Ca	III	40	5	3s2.3p5.(2P°3/2).4f	2[3/2]2	346896.26	3s2.3p5.(2P°3/2).5g	2[7/2]°3	371061.3
4147.683	Ca	III	30	4	3s2.3p5.(2P°3/2).4d	2[3/2]°2	323655.06	3s2.3p5.(2P°3/2).4f	2[5/2]2	347758.22
4153.565	Ca	III	60	8	3s2.3p5.(2P°3/2).4d	2[1/2]°0	322663.28	3s2.3p5.(2P°3/2).4f	2[3/2]1	346732.19
