λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3957.244	Cd	II	35	-	4d10.5d	2D3/2	89689.25	4d9.5s.(3D).5p	4D°5/2	114952.3
3981.9257	Cd	I	45	-	4d10.5s.5p	1P°1	43692.384	4d10.5s.9s	1S0	68798.76
4006.867	Cd	II	25	-	4d10.5d	2D5/2	89843.78	4d9.5s.(3D).5p	4D°7/2	114793.91
4029.124	Cd	II	20	-	4d10.6p	2P°1/2	94710.41	4d10.7d	2D3/2	119522.72
4134.768	Cd	II	120	12	4d10.6p	2P°3/2	95383.63	4d10.7d	2D5/2	119561.99
4140.2988	Cd	I	8	1	4d10.5s.5p	1P°1	43692.384	4d10.5s.7d	1D2	67838.401
4141.493	Cd	II	80	9	4d10.6p	2P°3/2	95383.63	4d10.7d	2D3/2	119522.72
4285.078	Cd	II	105	47	4d10.6p	2P°1/2	94710.41	4d10.8s	2S1/2	118040.65
4306.6718	Cd	I	80	38	4d10.5s.5p	1P°1	43692.384	4d10.5s.8s	1S0	66905.641
4357.71	Cd	II	4	2	4d10.5d	2D5/2	89843.78	4d9.5s.(3D).5p	4F°3/2	112785.19
4412.41	Cd	II	10	6	4d10.6p	2P°3/2	95383.63	4d10.8s	2S1/2	118040.65
4412.9894	Cd	I	4	2	4d10.5s.5p	3P°1	30656.087	4d10.5s.6s	1S0	53310.101
4414.43	Cd	II	240	114	4d10.5d	2D5/2	89843.78	4d10.7p	2P°3/2	112490.39
4415.6859	Cd	II	25	11	4d10.5p	2P°3/2	46618.55	4d9.5s2	2D5/2	69258.91
4662.352	Cd	I	55	32	4d10.5s.5p	1P°1	43692.384	4d10.5s.6d	1D2	65134.783
4678.1493	Cd	I	1500	871	4d10.5s.5p	3P°0	30113.99	4d10.5s.6s	3S1	51483.98
4744.693	Cd	II	10	7	4d10.4f	2F°7/2	108432.43	4d10.8g	2G7/2	129502.43
4799.9123	Cd	I	2000	1334	4d10.5s.5p	3P°1	30656.087	4d10.5s.6s	3S1	51483.98
5085.8217	Cd	I	2000	1662	4d10.5s.5p	3P°2	31826.952	4d10.5s.6s	3S1	51483.98
5154.6605	Cd	I	7	6	4d10.5s.5p	1P°1	43692.384	4d10.5s.7s	1S0	63086.896
5268.007	Cd	II	9	8	4d10.4f	2F°5/2	108419.47	4d10.7g	2G7/2	127396.62
5271.6	Cd	II	10	9	4d10.4f	2F°7/2	108432.43	4d10.7g	2G7/2	127396.62
5337.4855	Cd	II	35	33	4d10.5d	2D3/2	89689.25	4d10.4f	2F°5/2	108419.47
5378.1351	Cd	II	50	47	4d10.5d	2D5/2	89843.78	4d10.4f	2F°7/2	108432.43
5381.887	Cd	II	20	19	4d10.5d	2D5/2	89843.78	4d10.4f	2F°5/2	108419.47
5843.305	Cd	II	50	44	4d10.6d	2D3/2	110174.1	4d10.7f	2F°5/2	127283.04
5880.22	Cd	II	5	4	4d10.6d	2D5/2	110247.6	4d10.7f	2F°7/2	127249.09
6099.1421	Cd	I	85	61	4d10.5s.6s	3S1	51483.98	4d10.5s.8p	3P°2	67875.191
6111.495	Cd	I	30	19	4d10.5s.6s	3S1	51483.98	4d10.5s.8p	3P°1	67842.06
6325.1661	Cd	I	120	57	4d10.5s.5p	1P°1	43692.384	4d10.5s.5d	3D2	59497.868
6330.0133	Cd	I	35	17	4d10.5s.5p	1P°1	43692.384	4d10.5s.5d	3D1	59485.768
6354.724	Cd	II	65	30	4d10.4f	2F°5/2	108419.47	4d10.6g	2G7/2	124151.26
6359.982	Cd	II	90	39	4d10.4f	2F°7/2	108432.43	4d10.6g	2G7/2	124151.26
6438.4695	Cd	I	1500	539	4d10.5s.5p	1P°1	43692.384	4d10.5s.5d	1D2	59219.734
6464.936	Cd	II	40	14	4d10.6p	2P°1/2	94710.41	4d10.6d	2D3/2	110174.1
6567.648	Cd	II	8	2	4d10.7p	2P°3/2	112490.39	4d10.9d	2D5/2	127712.28
6725.7875	Cd	II	120	19	4d10.6p	2P°3/2	95383.63	4d10.6d	2D5/2	110247.6
6759.189	Cd	II	35	5	4d10.6p	2P°3/2	95383.63	4d10.6d	2D3/2	110174.1
6778.1157	Cd	I	35	5	4d10.5s.6s	1S0	53310.101	4d10.5s.8p	1P°1	68059.393
7237.01	Cd	II	10	-	4d10.6d	2D3/2	110174.1	4d10.6f	2F°5/2	123988.39
7284.38	Cd	II	15	-	4d10.6d	2D5/2	110247.6	4d10.6f	2F°7/2	123972.1
