λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.52	Ce	II	150	-	4f.5d.(3G°).6s	4G°11/2	7233.627	4f.5d.(3G°).6p	4H13/2	33531.388
3803.09	Ce	II	210	-	4f.(2F°).5d2.(3F)	4H°11/2	2879.695	4f.5d.(3F°).6p	4G9/2	29166.597
3808.11	Ce	II	210	-	4f.5d.(1G°).6s	°9/2	2382.246	4f.5d.(1G°).6p	11/2	28634.516
3809.21	Ce	II	150	-	4f.5d.(3H°).6s	°11/2	4910.963	4f.5d.(3H°).6p	4H13/2	31155.623
3812.2	Ce	II	50	-	4f.(2F°).5d2.(3F)	°5/2	4737.373	4f.5d.(1D°).6p	3/2	30961.518
3815.85	Ce	II	300	-	4f.5d.(3F°).6s	°5/2	2634.666	4f2.(3P).5d	5/2	32716.647
3817.46	Ce	II	150	-	4f.(2F°).5d2.(3F)	°3/2	4844.644	4f.5d.(1D°).6p	1/2	31032.611
3819.02	Ce	II	105	-	4f.5d.(3F°).6s	4F°7/2	4459.872	4f.5d.(3F°).6p	5/2	30637.157
3823.9	Ce	II	45	-	4f.(2F°).5d2.(3F)	4H°9/2	2581.257	4f.5d.(3H°).6p	9/2	28725.148
3830.55	Ce	II	20	-	4f.(2F°).5d2.(1G)	°9/2	7713.089	4f.5d.(3G°).6p	2H9/2	33811.567
3831.08	Ce	II	50	-	4f2.(3H).6s	4H7/2	3854.012	4f2.(3F2).6p1/2	(2,1/2)°5/2	29948.914
3834.55	Ce	II	50	-	4f.(2F°).5d2.(3F)	4I°11/2	2563.233	4f.5d.(1G°).6p	11/2	28634.516
3836.1	Ce	II	75	-	4f.(2F°).5d2.(3F)	°7/2	3703.594	4f.5d.(3H°).6p	9/2	28725.148
3838.54	Ce	II	165	-	4f.5d.(1G°).6s	°7/2	2641.559	4f.5d.(1G°).6p	5/2	28685.758
3843.76	Ce	II	70	-	4f.(2F°).5d2.(3F)	4G°11/2	7522.622	4f.5d.(3G°).6p	4H13/2	33531.388
3846.52	Ce	II	25	-	4f.5d.(3D°).6s	4D°5/2	8175.863	4f.6s.(3F°).6p	3/2	34767.688
3848.1	Ce	II	50	-	4f.5d.(3G°).6s	°7/2	4266.397	4f.5d.(3F°).6p	9/2	30245.878
3848.59	Ce	II	135	-	4f.(2F°).5d2.(3F)	4H°13/2	4203.934	4f.5d.(3H°).6p	4I13/2	30180.096
3853.15	Ce	II	180	-	4f.(2F°).5d2.(3F)	4H°7/2	0.0	4f.5d.(1G°).6p	7/2	25945.396
3854.18	Ce	II	45	-	4f.(2F°).5d2.(3F)	°7/2	3703.594	4f.5d.(3F°).6p	5/2	30637.157
3854.31	Ce	II	45	-	4f.(2F°).5d2.(3F)	°7/2	3703.594	4f2.(3P).5d	7/2	29364.74
3855.29	Ce	II	60	-	4f.(2F°).5d2.(3F)	4H°13/2	4203.934	4f.5d.(3H°).6p	4H11/2	30134.91
3857.02	Ce	II	75	-	4f.5d.(3G°).6s	°9/2	5819.113	4f.5d.(3G°).6p	4H11/2	31738.484
3857.64	Ce	II	60	-	4f.5d.(1G°).6s	°9/2	2382.246	4f.5d.(3G°).6p	4H7/2	28297.473
