λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3893.23	Cf	II	10000	26						
3993.57	Cf	II	10000	92						
4099.12	Cf	I	10000	566						
4242.38	Cf	I	10000	3803						
4329.03	Cf	I	10000	4671						
4335.22	Cf	I	10000	4689						
5173.96	Cf	I	10000	8754						
5179.08	Cf	I	10000	8813						
5219.24	Cf	I	10000	9039						
5408.88	Cf	I	10000	9825						
5726.05	Cf	I	10000	9644						
6622.83	Cf	I	10000	2262						
6631.26	Cf	I	10000	2193						
6677.9	Cf	I	10000	1869						
6894.59	Cf	I	10000	858						
6927.1	Cf	II	10000	724						
7074.52	Cf	I	10000	380						
7307.9	Cf	I	10000	103						
