λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3805.18	Cl	II	45	-	3s2.3p3.(2D°).4p	3D3	146470.64	3s2.3p3.(2D°).4d	3F°4	172743.19
3809.46	Cl	II	20	-	3s2.3p3.(2D°).4p	3D1	146331.76	3s2.3p3.(2D°).4d	3F°2	172574.76
3810.009	Cl	II	15	-	3s2.3p3.(2D°).4p	3D2	146335.55	3s2.3p3.(2D°).4d	3F°2	172574.76
3818.358	Cl	II	15	-	3s2.3p3.(2D°).4p	3D3	146470.64	3s2.3p3.(2D°).4d	3F°3	172652.48
3820.2	Cl	II	40	-						
3827.59	Cl	II	50	-						
3833.35	Cl	II	1500	2						
3845.37	Cl	II	10	-	3s2.3p3.(4S°).4p	5P1	128622.99	3s2.3p3.(4S°).4d	5D°2	154620.97
3845.65	Cl	II	15	-	3s2.3p3.(4S°).4p	5P1	128622.99	3s2.3p3.(4S°).4d	5D°1	154619.1
3845.8	Cl	II	7	-	3s2.3p3.(4S°).4p	5P1	128622.99	3s2.3p3.(4S°).4d	5D°0	154618.09
3850.722	Cl	III	3	-	3s2.3p2.(3P).4s	2P3/2	179075.2	3s2.3p2.(3P).4p	2D°3/2	205036.99
3850.99	Cl	II	20	-	3s2.3p3.(4S°).4p	5P2	128663.57	3s2.3p3.(4S°).4d	5D°3	154623.57
3851.37	Cl	II	15	-	3s2.3p3.(4S°).4p	5P2	128663.57	3s2.3p3.(4S°).4d	5D°2	154620.97
3851.65	Cl	II	6	-	3s2.3p3.(4S°).4p	5P2	128663.57	3s2.3p3.(4S°).4d	5D°1	154619.1
3854.736	Cl	II	6	-	3s2.3p3.(2P°).4p	3D1	158725.56	3s2.3p3.(2P°).4d	3F°2	184660.32
3860.83	Cl	II	30	-	3s2.3p3.(4S°).4p	5P3	128730.82	3s2.3p3.(4S°).4d	5D°4	154624.66
3860.99	Cl	II	20	-	3s2.3p3.(4S°).4p	5P3	128730.82	3s2.3p3.(4S°).4d	5D°3	154623.57
3861.37	Cl	II	10	-	3s2.3p3.(4S°).4p	5P3	128730.82	3s2.3p3.(4S°).4d	5D°2	154620.97
3861.879	Cl	II	4	-	3s2.3p3.(2P°).4p	3D2	158770.58	3s2.3p3.(2P°).4d	3F°3	184657.37
