λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3816.3	Cm	I	10000	14						
3825.14	Cm	I	10000	15						
3833.32	Cm	I	10000	15						
3837.59	Cm	I	10000	16						
3842.0	Cm	I	10000	16						
3849.92	Cm	I	10000	18						
3854.11	Cm	I	10000	18						
3900.25	Cm	I	10000	29						
3904.06	Cm	II	10000	29						
3908.24	Cm	II	10000	33						
3936.67	Cm	I	10000	47						
3942.03	Cm	I	10000	47						
3944.15	Cm	I	10000	47						
3948.68	Cm	I	10000	53						
3953.36	Cm	I	10000	53						
3964.83	Cm	I	10000	61						
3995.1	Cm	I	10000	107						
4016.17	Cm	I	10000	145						
4031.76	Cm	I	10000	171						
4048.29	Cm	I	10000	237						
4049.65	Cm	I	10000	237						
4113.29	Cm	I	10000	676						
4129.71	Cm	I	10000	962						
4207.66	Cm	II	10000	3023						
4211.62	Cm	I	10000	3023						
4266.45	Cm	I	10000	4309						
4293.0	Cm	I	10000	4502						
4330.82	Cm	I	10000	4671						
4345.69	Cm	I	10000	4702						
4447.77	Cm	I	10000	4787						
4459.16	Cm	I	10000	4801						
4608.4	Cm	I	10000	5276						
5846.07	Cm	I	10000	9030						
5952.41	Cm	I	10000	8320						
6058.9	Cm	I	10000	7377						
6243.35	Cm	I	10000	5628						
6376.71	Cm	I	10000	4258						
6510.16	Cm	I	10000	3100						
6554.41	Cm	I	10000	2779						
6640.17	Cm	I	10000	2126						
6663.25	Cm	I	10000	1995						
6686.87	Cm	I	10000	1808						
6706.85	Cm	I	10000	1690						
6726.68	Cm	I	10000	1577						
6793.15	Cm	I	10000	1270						
7162.69	Cm	I	10000	240						
7577.8	Cm	I	10000	17						
