λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.15	Co	II	3	-	3d7.(4P).4s	b 3P2	24074.42	3d7.(4F).4p	z 3F°3	50381.724
3801.0	Co	XII	2	-	3s2.3p4	3P1	15820.0	3s2.3p4	1D2	42120.0
3801.2	Co	XII	2	-	3s2.3p4	3P1	15820.0	3s2.3p4	1D2	42120.0
3808.1	Co	I	345	-	3p6.3d8.(3F).4s	b 4F9/2	3482.82	3p6.3d7.(4F).4s.4p.(3P°)	z 4G°7/2	29735.18
3811.06	Co	I	50	-	3p6.3d8.(3F).4s	a 2F7/2	7442.41	3p6.3d8.(3F).4p	y 4G°5/2	33674.38
3841.449	Co	I	90	-	3p6.3d8.(3F).4s	a 2F7/2	7442.41	3p6.3d8.(3F).4p	°7/2	33173.36
3842.05	Co	I	600	1	3p6.3d8.(3F).4s	a 2F7/2	7442.41	3p6.3d7.(4F).4s.4p.(3P°)	z 2D°5/2	33462.83
3845.47	Co	I	735	1	3p6.3d8.(3F).4s	a 2F7/2	7442.41	3p6.3d8.(3F).4p	y 2G°9/2	33439.72
3850.943	Co	I	150	-	3p6.3d8.(3F).4s	b 4F7/2	4142.66	3p6.3d7.(4F).4s.4p.(3P°)	z 4G°5/2	30102.96
3861.16	Co	I	405	1	3p6.3d8.(3F).4s	a 2F5/2	8460.81	3p6.3d7.(4F).4s.4p.(3P°)	z 2D°3/2	34352.42
3873.12	Co	I	645	1	3p6.3d8.(3F).4s	b 4F9/2	3482.82	3p6.3d7.(4F).4s.4p.(3P°)	z 4D°7/2	29294.52
3873.96	Co	I	510	1	3p6.3d8.(3F).4s	b 4F7/2	4142.66	3p6.3d7.(4F).4s.4p.(3P°)	z 4D°5/2	29948.76
3881.875	Co	I	375	1	3p6.3d8.(3F).4s	b 4F5/2	4690.18	3p6.3d7.(4F).4s.4p.(3P°)	z 4D°3/2	30443.63
3884.597	Co	I	120	-	3p6.3d8.(3F).4s	a 2F5/2	8460.81	3p6.3d8.(3F).4p	y 4F°3/2	34196.21
3885.269	Co	I	85	-	3p6.3d8.(3F).4s	a 2F7/2	7442.41	3p6.3d8.(3F).4p	°7/2	33173.36
3892.9519	Co	II	10	-	3d7.(4F).5s	e 5F1	85876.271	3d7.(4F5/2).4f	2[5/2]°2	111556.446
3894.08	Co	I	1000	3	3p6.3d8.(3F).4s	a 2F5/2	8460.81	3p6.3d8.(3F).4p	y 2G°7/2	34133.59
3894.977	Co	I	345	1	3p6.3d8.(3F).4s	b 4F3/2	5075.83	3p6.3d7.(4F).4s.4p.(3P°)	z 4D°1/2	30742.65
