λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.65	Cr	I	25	-	3d5.(2F1).4s	b 3F4	33113.212	3d4.(3F1).4s.4p.(1P°)	r 3F°3	59416.921
3804.7983	Cr	I	270	-	3d5.(4D).4s	b 5D4	24282.3486	3d5.(4D).4p	u 5D°4	50557.4907
3804.9215	Cr	II	600	1	3d4.(5D).4d	e 4G11/2	89508.499	3d4.(5D4).5f	2[7]°13/2	115782.791
3805.0218	Cr	II	20	-	3d4.(5D).4d	e 4G9/2	89325.2787	3d4.(5D3).5f	2[5]°11/2	115598.879
3805.91	Cr	I	4	-	3d5.(2D3).4s	b 3D3	31008.9708	3d4.(3D).4s.4p.(3P°)	t 3F°3	57276.363
3806.5587	Cr	I	45	-	3d4.4s2	a 5D2	7927.441	3d4.(5D).4s.4p.(3P°)	z 3P°2	34190.432
3806.83	Cr	I	95	-	3d4.4s2	b 3G5	27816.7783	3d3.(4F).4s2.4p	v 3G°5	54077.98
3807.0141	Cr	II	150	-	3d4.(5D).4d	e 4G9/2	89325.2787	3d4.(5D3).5f	2[6]°11/2	115585.12
3807.5129	Cr	II	165	-	3d4.(5D).4d	e 4G7/2	89173.992	3d4.(5D2).5f	2[4]°9/2	115430.4
3807.9222	Cr	I	65	-	3d5.(4D).4s	b 5D3	24303.9025	3d5.(4D).4p	u 5D°4	50557.4907
3807.9861	Cr	II	210	-	3d4.(5D).4d	e 4G5/2	89055.9455	3d4.(5D1).5f	2[4]°7/2	115309.099
3809.483	Cr	I	30	-	3d5.(2I).4s	b 1I6	33762.6622	3d5.(2G1).4p	x 1H°5	60005.491
3811.94	Cr	I	10	-	3d5.(4G).4s	a 3G3	24833.7957	3d4.(3G).4s.4p.(3P°)	w 3F°4	51059.7045
3812.259	Cr	I	105	-	3d4.4s2	b 3G4	27703.7743	3d3.(4F).4s2.4p	v 3G°4	53927.51
3814.0008	Cr	II	10	-	3d4.(1F).4s	d 2F7/2	50667.2252	3d4.(3D).4p	w 2F°7/2	76878.9679
3814.6232	Cr	I	95	-	3d4.4s2	b 3G3	27597.2409	3d3.(4F).4s2.4p	v 3G°3	53804.711
3815.4331	Cr	I	95	-	3d5.(4F).4s	a 5F2	31355.1192	3d5.(2F1).4p	t 3G°3	57556.98
3815.7742	Cr	I	35	-	3d5.(4G).4s	a 5G3	20520.9029	3d4.(3G).4s.4p.(3P°)	w 5F°4	46720.4711
3816.0	Cr	IIIII	3	-	1s.4s	3S1	56658500.0	1s.4p	3P°1	56684700.0
3816.1709	Cr	I	80	-	3d5.(4G).4s	a 5G4	20523.629	3d4.(3G).4s.4p.(3P°)	w 5F°4	46720.4711
3816.2103	Cr	I	45	-	3d5.(4G).4s	a 5G5	20523.8999	3d4.(3G).4s.4p.(3P°)	w 5F°4	46720.4711
3817.8451	Cr	I	80	-	3d5.(4G).4s	a 5G6	20519.5515	3d4.(3G).4s.4p.(3P°)	w 5F°5	46704.9067
3818.4392	Cr	I	35	-	3d5.(4G).4s	a 5G4	20523.629	3d4.(3G).4s.4p.(3P°)	w 5F°5	46704.9067
3818.4791	Cr	I	135	-	3d5.(4G).4s	a 5G5	20523.8999	3d4.(3G).4s.4p.(3P°)	w 5F°5	46704.9067
3819.41	Cr	I	3	-	3d5.(4F).4s	c 3F4	35862.764	3d5.(4F).4p	q 3G°5	62037.505
3819.5652	Cr	I	150	-	3d5.(4P).4s	a 5P3	21840.8096	3d5.(4G).4p	u 5F°4	48014.3731
3819.88	Cr	I	4	-	3d4.4s2	a 3P2	24093.1182	3d5.(4D).4p	w 3D°3	50264.4589
3819.9678	Cr	I	30	-	3d5.(4G).4s	a 5G2	20517.4222	3d4.(3G).4s.4p.(3P°)	w 5F°3	46688.2265
3820.36	Cr	I	85	-	3d4.4s2	a 3H4	23933.8561	3d5.(4D).4p	s 5F°3	50102.07
3820.4759	Cr	I	75	-	3d5.(4G).4s	a 5G3	20520.9029	3d4.(3G).4s.4p.(3P°)	w 5F°3	46688.2265
3820.8741	Cr	I	25	-	3d5.(4G).4s	a 5G4	20523.629	3d4.(3G).4s.4p.(3P°)	w 5F°3	46688.2265
3821.219	Cr	I	10	-	3d5.(4G).4s	a 3G4	24897.4635	3d4.(3G).4s.4p.(3P°)	w 3F°4	51059.7045
3821.39	Cr	I	6	-	3d5.(4G).4s	a 5G2	20517.4222	3d4.(3G).4s.4p.(3P°)	w 5F°1	46678.375
3821.5835	Cr	I	30	-	3d5.(4G).4s	a 5G2	20517.4222	3d4.(3G).4s.4p.(3P°)	w 5F°2	46677.1634
3822.094	Cr	I	25	-	3d5.(4G).4s	a 5G3	20520.9029	3d4.(3G).4s.4p.(3P°)	w 5F°2	46677.1634
3823.5177	Cr	I	105	-	3d4.4s2	a 5D0	7750.7465	3d4.(5D).4s.4p.(3P°)	z 3P°1	33897.2506
3825.3856	Cr	I	105	-	3d5.(4P).4s	a 5P3	21840.8096	3d5.(4G).4p	u 5F°3	47974.5512
3826.4142	Cr	I	105	-	3d5.(4P).4s	a 5P2	21847.8349	3d5.(4G).4p	u 5F°3	47974.5512
3827.88	Cr	I	7	-	3d5.(4G).4s	a 3G3	24833.7957	3d4.(3G).4s.4p.(3P°)	w 3F°3	50950.3326
3828.1653	Cr	II	55	-	3d4.(5D).4d	e 4G7/2	89173.992	3d4.(5D1).5f	2[4]°9/2	115288.746
3828.754	Cr	II	65	-	3d4.(5D).4d	e 4P5/2	89336.81	3d4.(5D2).5f	2[3]°7/2	115447.561
3829.5	Cr	I	15	-	3d5.(2D3).4s	b 3D1	31048.7488	3d4.(1S1).4s.4p.(3P°)	u 3P°0	57154.52
3829.714	Cr	I	15	-	3d5.(2D3).4s	b 3D2	31028.259	3d4.(1S1).4s.4p.(3P°)	u 3P°1	57132.47
3829.95	Cr	I	210	-	3d4.(5D).4s.4p.(3P°)	z 5F°5	31280.3147	3d5.(4G).5s	e 5G5	57382.838
3830.03	Cr	I	375	1	3d4.(5D).4s.4p.(3P°)	z 7D°5	27825.3207	3d4.4s.4d	e 7F6	53927.412
3831.0286	Cr	I	100	-	3d4.4s2	a 5D3	8095.1842	3d4.(5D).4s.4p.(3P°)	z 3P°2	34190.432
3831.49	Cr	I	6	-	3d5.(2H).4s	b 3H5	35884.255	3d5.(4F).4p	3G°4	61976.53
3832.3157	Cr	I	45	-	3d4.4s2	a 5D1	7810.7795	3d4.(5D).4s.4p.(3P°)	z 3P°1	33897.2506
3832.73	Cr	I	25	-	3d5.(2D3).4s	b 3D1	31048.7488	3d4.(1S1).4s.4p.(3P°)	u 3P°1	57132.47
3833.5067	Cr	I	20	-	3d5.(6S).4s	a 5S2	7593.1484	3d4.(5D).4s.4p.(3P°)	z 5D°3	33671.5273
3833.6959	Cr	I	8	-	3d5.(4P).4s	a 5P3	21840.8096	3d5.(4G).4p	u 5F°2	47917.9197
3834.514	Cr	II	85	-	3d4.(5D).4d	e 4G9/2	89325.2787	3d4.(5D1).5f	2[5]°11/2	115396.769
3834.7262	Cr	I	60	-	3d5.(4P).4s	a 5P2	21847.8349	3d5.(4G).4p	u 5F°2	47917.9197
3836.0642	Cr	I	60	-	3d5.(4P).4s	a 5P1	21856.9287	3d5.(4G).4p	u 5F°2	47917.9197
3836.3	Cr	I	40	-	3d5.(2D3).4s	b 3D2	31028.259	3d4.(1S1).4s.4p.(3P°)	u 3P°2	57087.645
3836.73	Cr	I	20	-	3d5.(4G).4s	a 3G3	24833.7957	3d4.(3G).4s.4p.(3P°)	w 3F°2	50890.077
3838.8162	Cr	II	100	-	3d4.(5D).4d	f 4D7/2	89885.0091	3d4.(5D4).5f	2[5]°9/2	115927.324
3840.6678	Cr	I	9	-	3d5.(4P).4s	a 5P2	21847.8349	3d5.(4G).4p	u 5F°1	47877.596
3841.2736	Cr	I	345	1	3d5.(4P).4s	a 5P3	21840.8096	3d5.(4P).4p	v 5D°4	47866.4604
3841.93	Cr	I	35	-	3d5.(4G).4s	a 3G5	25038.4981	3d4.(3G).4s.4p.(3P°)	w 3F°4	51059.7045
3842.0101	Cr	I	7	-	3d5.(4P).4s	a 5P1	21856.9287	3d5.(4G).4p	u 5F°1	47877.596
3843.63	Cr	I	20	-	3d4.4s2	a 3F2	24940.594	3d4.(3G).4s.4p.(3P°)	w 3F°3	50950.3326
3843.78	Cr	I	7	-	3d5.(2F1).4s	b 3F4	33113.212	3d5.(4F).4p	u 3D°3	59122.01
3845.6125	Cr	II	10	-	3d4.(a 1G).4s	c 2G7/2	39683.717	3d4.(3H).4p	z 2G°9/2	65680.0091
3848.9757	Cr	I	180	-	3d5.(4P).4s	a 5P3	21840.8096	3d5.(4P).4p	v 5D°3	47814.3823
3849.3649	Cr	I	85	-	3d5.(4D).4s	b 5D4	24282.3486	3d5.(4D).4p	s 5F°5	50253.295
3849.5334	Cr	I	45	-	3d4.4s2	a 5D2	7927.441	3d4.(5D).4s.4p.(3P°)	z 3P°1	33897.2506
3850.017	Cr	I	85	-	3d5.(4P).4s	a 5P2	21847.8349	3d5.(4P).4p	v 5D°3	47814.3823
3850.2443	Cr	I	7	-	3d4.4s2	a 3P1	23511.9739	3d5.(4P).4p	y 3S°1	49476.9847
3850.9	Cr	I	4	-	3d5.(4D).4s	b 5D3	24303.9025	3d5.(4D).4p	w 3D°3	50264.4589
3851.96	Cr	I	15	-	3d4.4s2	a 3F3	25106.2953	3d4.(3G).4s.4p.(3P°)	w 3F°4	51059.7045
3852.2118	Cr	I	135	-	3d4.4s2	a 5D1	7810.7795	3d4.(5D).4s.4p.(3P°)	z 3P°0	33762.5326
3852.6276	Cr	I	8	-	3d5.(6S).4s	a 5S2	7593.1484	3d4.(5D).4s.4p.(3P°)	z 5D°2	33542.0985
3853.1719	Cr	I	45	-	3d5.(4P).4s	a 5P3	21840.8096	3d5.(4P).4p	v 5D°2	47786.0959
3854.2156	Cr	I	85	-	3d5.(4P).4s	a 5P2	21847.8349	3d5.(4P).4p	v 5D°2	47786.0959
3855.2855	Cr	I	75	-	3d5.(4P).4s	a 5P1	21856.9287	3d5.(4P).4p	v 5D°0	47787.993
3855.5674	Cr	I	65	-	3d5.(4P).4s	a 5P1	21856.9287	3d5.(4P).4p	v 5D°2	47786.0959
3856.2709	Cr	I	40	-	3d5.(4P).4s	a 5P2	21847.8349	3d5.(4P).4p	v 5D°1	47772.2702
3856.75	Cr	I	4	-	3d5.(4F).4s	a 5F2	31355.1192	3d4.(3D).4s.4p.(3P°)	t 3F°3	57276.363
3857.6244	Cr	I	105	-	3d5.(4P).4s	a 5P1	21856.9287	3d5.(4P).4p	v 5D°1	47772.2702
3858.89	Cr	I	70	-	3d5.(4D).4s	b 5D3	24303.9025	3d5.(4D).4p	s 5F°4	50210.7
3859.59	Cr	I	65	-	3d4.(5D).4s.4p.(3P°)	z 7D°2	27382.1739	3d4.4s.4d	h 7D3	53284.331
3860.0893	Cr	I	15	-	3d5.(4G).4s	a 5G4	20523.629	3d4.(3F1).4s.4p.(3P°)	w 5D°4	46422.4223
3860.1299	Cr	I	20	-	3d5.(4G).4s	a 5G5	20523.8999	3d4.(3F1).4s.4p.(3P°)	w 5D°4	46422.4223
3861.86	Cr	I	4	-	3d6	c 5D0	35640.6434	3d4.(1D1).4s.4p.(3P°)	t 3P°1	61527.31
3862.26	Cr	I	6	-	3d4.(5D).4s.4p.(3P°)	z 7D°3	27500.3699	3d4.4s.4d	e 7F3	53384.7
3862.5418	Cr	I	50	-	3d4.4s2	a 3F4	25177.3539	3d4.(3G).4s.4p.(3P°)	w 3F°4	51059.7045
3863.23	Cr	I	15	-	3d4.(5D).4s.4p.(3P°)	z 7D°1	27300.1433	3d4.4s.4d	e 7G2	53177.7
3863.68	Cr	I	25	-	3d4.(5D).4s.4p.(3P°)	z 7D°3	27500.3699	3d4.4s.4d	h 7D4	53375.373
3863.96	Cr	I	9	-	3d5.(6S).4p	z 7P°2	23305.0026	3d5.(6S).7s	g 7S3	49177.87
3864.93	Cr	I	135	-	3d5.(6S).5s	e 7S3	36895.806	3d4.4s.4p	r 3H°4	62762.056
3865.03	Cr	I	7	-	3d5.(4F).4s	a 5F2	31355.1192	3d4.(3D).4s.4p.(3P°)	t 3F°2	57220.57
3866.53	Cr	II	6	-	3d4.(a 1G).4s	c 2G9/2	39824.36	3d4.(3H).4p	z 2G°9/2	65680.0091
3867.75	Cr	I	7	-	3d5.(4G).4s	a 5G3	20520.9029	3d4.(3F1).4s.4p.(3P°)	w 5D°3	46368.2695
3868.1789	Cr	I	5	-	3d5.(4G).4s	a 5G4	20523.629	3d4.(3F1).4s.4p.(3P°)	w 5D°3	46368.2695
3868.2678	Cr	I	15	-	3d4.4s2	a 3F3	25106.2953	3d4.(3G).4s.4p.(3P°)	w 3F°3	50950.3326
3870.24	Cr	I	150	-	3d5.(6S).4s	a 5S2	7593.1484	3d4.(5D).4s.4p.(3P°)	z 5D°1	33423.7845
3872.74	Cr	I	5	-	3d5.(4P).4s	b 3P2	27222.9417	3d4.(3D).4s.4p.(3P°)	r 5F°2	53037.458
3874.55	Cr	I	135	-	3d5.(4D).4s	b 5D2	24299.8419	3d5.(4D).4p	s 5F°3	50102.07
3874.9808	Cr	I	4	-	3d5.(4P).4s	a 5P3	21840.8096	3d4.(5D).4s.5p.(3P°)	v 5F°4	47640.0627
3875.1141	Cr	I	4	-	3d4.(5D).4s.4p.(3P°)	z 7D°3	27500.3699	3d4.4s.4d	e 7G4	53298.751
3875.54	Cr	I	3	-	3d4.(5D).4s.4p.(3P°)	z 7D°2	27382.1739	3d4.4s.4d	e 7G2	53177.7
3876.12	Cr	I	6	-	3d5.(6S).4p	z 7P°3	23386.3419	3d5.(6S).7s	g 7S3	49177.87
3876.2	Cr	I	6	-	3d5.(4P).4s	a 5P3	21840.8096	3d4.(5D).4s.5p.(3P°)	v 5F°2	47631.6771
3876.38	Cr	I	6	-	3d4.(5D).4s.4p.(3P°)	z 3F°2	35897.7833	3d4.4s.5s	e 5P2	61687.61
3876.5752	Cr	I	3	-	3d5.(4P).4s	a 5P2	21847.8349	3d4.(5D).4s.5p.(3P°)	v 5F°3	47636.4837
3876.708	Cr	II	60	-	3d4.(5D).4d	f 4D7/2	89885.0091	3d4.(5D3).5f	2[5]°9/2	115672.779
3877.3067	Cr	I	7	-	3d4.4s2	a 3F3	25106.2953	3d4.(3G).4s.4p.(3P°)	w 3F°2	50890.077
3877.79	Cr	I	5	-	3d5.(4G).4s	a 5G2	20517.4222	3d4.(3F1).4s.4p.(3P°)	w 5D°1	46298.2442
3877.87	Cr	I	5	-	3d5.(4F).4s	a 5F1	31352.3828	3d4.(1S1).4s.4p.(3P°)	u 3P°1	57132.47
3878.3	Cr	I	15	-	3d5.(4F).4s	a 5F2	31355.1192	3d4.(1S1).4s.4p.(3P°)	u 3P°1	57132.47
3878.72	Cr	I	5	-	3d5.(4P).4s	a 5P1	21856.9287	3d4.(5D).4s.5p.(3P°)	v 5F°2	47631.6771
3878.86	Cr	I	5	-	3d5.(4P).4s	a 5P2	21847.8349	3d4.(3G).4s.4p.(3P°)	x 5H°3	47621.363
3878.9333	Cr	I	5	-	3d4.4s2	a 3F4	25177.3539	3d4.(3G).4s.4p.(3P°)	w 3F°3	50950.3326
3879.231	Cr	I	105	-	3d4.(5D).4s.4p.(3P°)	y 7P°4	27935.2412	3d4.4s.4d	e 7F5	53706.011
3880.35	Cr	I	20	-	3d6	c 5D4	35397.9566	3d5.(2H).4p	r 3G°5	61161.314
3881.23	Cr	I	105	-	3d5.(4D).4s	b 5D2	24299.8419	3d5.(4D).4p	s 5F°2	50057.53
3881.862	Cr	I	85	-	3d5.(4D).4s	b 5D3	24303.9025	3d5.(4D).4p	s 5F°2	50057.53
3883.2869	Cr	I	135	-	3d4.4s2	a 5D2	7927.441	3d4.(5D).4s.4p.(3P°)	z 5D°3	33671.5273
3883.6351	Cr	I	50	-	3d5.(4D).4s	b 5D0	24277.0546	3d5.(4D).4p	s 5F°1	50018.831
3884.67	Cr	I	5	-	3d4.(5D).4s.4p.(3P°)	z 7D°4	27649.696	3d4.4s.4d	e 7F3	53384.7
3885.083	Cr	I	25	-	3d5.(4D).4s	b 5D1	24286.5418	3d5.(4D).4p	s 5F°1	50018.831
3885.2137	Cr	I	85	-	3d4.4s2	a 5D1	7810.7795	3d4.(5D).4s.4p.(3P°)	z 5D°2	33542.0985
3885.5	Cr	I	20	-	3d4.4s2	a 3P2	24093.1182	3d4.(3P1).4s.4p.(3P°)	y 5S°2	49822.5403
3886.05	Cr	I	15	-	3d4.(5D).4s.4p.(3P°)	z 7D°4	27649.696	3d4.4s.4d	h 7D4	53375.373
3886.7953	Cr	I	210	1	3d4.4s2	a 5D3	8095.1842	3d4.(5D).4s.4p.(3P°)	z 5D°4	33816.0334
3887.08	Cr	I	25	-	3d5.(4D).4s	b 5D2	24299.8419	3d5.(4D).4p	s 5F°1	50018.831
3888.26	Cr	I	15	-	3d5.(2F1).4s	b 3F3	33060.661	3d5.(4P).5p	t 3D°2	58771.89
