λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3805.125	Cs	II	30	-	5p5.(2P°3/2).6p	2[1/2]1	126527.5324	5p5.(2P°3/2).6d	2[3/2]°2	152800.4209
3817.4784	Cs	III	20	-	5s2.5p4.(1D2).5d	2[3]5/2	150093.899	5s2.5p4.(3P1).6p	2[2]°5/2	176281.761
3819.5548	Cs	III	5	-	5s2.5p4.(3P1).6s	2[1]1/2	150467.268	5s2.5p4.(3P2).4f	2[1]°1/2	176640.903
3822.3706	Cs	III	25	-	5s2.5p4.(3P1).4f	2[4]°9/2	185352.206	5s2.5p4.(3P1).6d	2[3]7/2	211506.551
3823.626	Cs	III	35	-	5s2.5p4.(3P1).5d	2[3]7/2	137785.195	5s2.5p4.(3P2).6p	2[3]°7/2	163930.957
3837.462	Cs	III	5	-	5s2.5p4.(3P1).5d	2[3]5/2	135081.058	5s2.5p4.(3P2).6p	2[2]°5/2	161132.553
3861.4996	Cs	II	5	-	5p5.(2P°3/2).5d	2[5/2]°2	115675.5328	5p5.(2P°1/2).6p	2[3/2]1	141564.873
3864.335	Cs	III	5	-	5s2.5p4.(3P0).6s	2[0]1/2	145443.182	5s2.5p4.(3P0).6p	2[1]°1/2	171313.524
3870.1798	Cs	II	5	-	5p5.(2P°1/2).6p	2[1/2]1	143361.3141	5p5.(2P°1/2).6d	2[3/2]°1	169192.5805
3870.436	Cs	III	6	-	5s2.5p4.(1D2).4f	2[2]°3/2	202090.692	5s2.5p4.(3P2).5g	2[2]3/2	227920.278
3876.1486	Cs	I	3	-	5p6.6s	2S1/2	0.0	5p6.8p	2P°3/2	25791.508
3876.501	Cs	II	375	1	5p5.(2P°1/2).6p	2[3/2]2	143403.4304	5p5.(2P°1/2).6d	2[3/2]°1	169192.5805
3883.63	Cs	III	20	-	5s2.5p4.(1S0).6s	2[0]1/2	179561.464	5s2.5p4.(1S0).6p	2[1]°1/2	205303.279
3888.3745	Cs	III	1000	3	5s2.5p4.(3P1).5d	2[3]7/2	137785.195	5s2.5p4.(3P2).6p	2[3]°5/2	163495.585
3888.61141	Cs	I	195	1	5p6.6s	2S1/2	0.0	5p6.8p	2P°1/2	25708.83548
3892.217	Cs	III	5	-	5s2.5p4.(1D2).6s	2[2]3/2	156820.269	5s2.5p4.(3P1).4f	2[2]°3/2	182505.26
3896.986	Cs	II	9	-	5p5.(2P°3/2).6p	2[1/2]1	126527.5324	5p5.(2P°3/2).6d	2[1/2]°1	152181.1184
3900.072	Cs	II	5	-	5p5.(2P°3/2).6p	2[3/2]2	130775.1451	5p5.(2P°3/2).6d	2[3/2]°1	156408.4367
3904.816	Cs	III	5	-	5s2.5p4.(1D2).5d	2[1]3/2	160991.868	5s2.5p4.(1D2).6p	2[2]°5/2	186593.999
3906.94	Cs	II	25	-	5p5.(2P°3/2).6p	2[5/2]2	128098.9117	5p5.(2P°3/2).6d	2[5/2]°3	153687.1457
3910.3156	Cs	III	65	-	5s2.5p4.(3P1).5d	2[3]5/2	135081.058	5s2.5p4.(3P2).6p	2[2]°3/2	160647.193
3913.3552	Cs	II	3	-	5p5.(2P°3/2).6d	2[5/2]°3	153687.1457	5p5.(2P°3/2).8f	2[7/2]4	179233.4398
3925.5957	Cs	III	30	-	5s2.5p4.(3P2).5d	2[3]5/2	138464.327	5s2.5p4.(3P2).6p	2[3]°7/2	163930.957
3938.264	Cs	III	35	-	5s2.5p4.(3P0).5d	2[2]3/2	135747.85	5s2.5p4.(3P2).6p	2[2]°5/2	161132.553
3955.935	Cs	III	15	-	5s2.5p4.(3P1).6s	2[1]1/2	150467.268	5s2.5p4.(3P1).6p	2[2]°3/2	175738.571
