λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3804.14	Dy	II	255	-						
3806.27	Dy	II	1000	1						
3812.27	Dy	I	35	-						
3813.67	Dy	II	240	-						
3816.76	Dy	II	1000	2						
3825.68	Dy	II	540	1						
3836.5	Dy	II	1000	2						
3840.89	Dy	I	55	-						
3841.31	Dy	II	1000	2						
3842.0	Dy	II	210	-						
3844.36	Dy	I	60	-						
3846.34	Dy	II	240	-						
3847.02	Dy	I	95	-						
3849.39	Dy	II	180	-						
3853.03	Dy	II	855	2						
3858.4	Dy	I	40	-						
3866.58	Dy	II	165	-						
3868.45	Dy	II	330	1						
3869.42	Dy	II	165	-						
3869.86	Dy	II	630	1						
3872.11	Dy	II	2000	4	4f10.(5I8).6s1/2	(8,1/2)17/2	0.0	4f10.(5I).6p	°17/2	25818.435
3873.99	Dy	II	585	1						
3879.11	Dy	II	135	-						
3881.99	Dy	II	120	-						
3898.53	Dy	II	375	1	4f10.(5I7).6s1/2	(7,1/2)13/2	4755.673	4f9.(6H°).5d2.(3F)	°15/2	27885.593
3914.87	Dy	II	135	-						
3915.59	Dy	II	210	1						
3917.29	Dy	I	15	-						
3923.38	Dy	II	70	-						
3927.86	Dy	I	10	-						
3930.14	Dy	I	20	-						
3931.52	Dy	II	420	2						
3932.22	Dy	II	60	-						
3933.0	Dy	II	20	-						
3934.21	Dy	II	25	-						
3936.7	Dy	I	20	-						
3942.53	Dy	II	55	-						
3944.68	Dy	II	510	2	4f10.(5I8).6s1/2	(8,1/2)17/2	0.0	4f9.(6H°).5d2.(3P)	°17/2	25343.427
3946.93	Dy	II	50	-						
3950.39	Dy	II	80	-						
3954.55	Dy	II	60	-						
3957.79	Dy	II	100	1						
3962.59	Dy	I	10	-						
3968.39	Dy	II	375	3	4f10.(5I8).6s1/2	(8,1/2)17/2	0.0	4f10.(5I).6p	°15/2	28885.393
3978.57	Dy	II	240	2						
3981.92	Dy	II	180	1						
3983.65	Dy	II	180	1						
3984.21	Dy	II	95	1						
3991.32	Dy	II	45	-						
3996.69	Dy	II	240	3						
4000.45	Dy	II	480	5	4f10.(5I8).6s1/2	(8,1/2)15/2	828.314	4f10.(5I).6p	°17/2	25818.435
4005.84	Dy	I	15	-						
4006.07	Dy	I	10	-						
4011.29	Dy	II	15	-						
4013.82	Dy	I	15	-	4f10.6s2	5I8	0.0	4f10.(5I6).6s.6p.(3P°2)	(6,2)°7	24906.86
4014.7	Dy	II	25	-						
4027.78	Dy	II	20	-						
4028.32	Dy	II	15	-						
4032.47	Dy	II	25	-						
4033.65	Dy	II	20	-						
4036.32	Dy	II	20	-						
4041.98	Dy	II	15	-						
4045.97	Dy	I	195	5	4f10.6s2	5I8	0.0	4f10.(5I8).6s.6p.(1P°1)	(8,1)°7	24708.971
4050.56	Dy	II	35	1						
4055.14	Dy	II	9	-						
4073.12	Dy	II	95	3						
4077.96	Dy	II	195	8	4f10.(5I8).6s1/2	(8,1/2)15/2	828.314	4f9.(6H°).5d2.(3P)	°17/2	25343.427
4096.1	Dy	I	35	2						
4103.3	Dy	II	135	7	4f10.(5I8).6s1/2	(8,1/2)15/2	828.314	4f10.(5I).6p	°15/2	28885.393
4111.34	Dy	II	85	6						
4124.63	Dy	II	45	4						
4128.24	Dy	II	65	6						
4129.42	Dy	II	65	6						
4130.35	Dy	I	40	4	4f10.6s2	5I8	0.0	4f9.(6H°).5d2.(3F) (8I°).6s	°8	20884.87
4133.85	Dy	I	50	5						
4141.5	Dy	II	55	6						
4143.1	Dy	II	150	17						
4146.06	Dy	I	150	20	4f10.6s2	5I5	9211.591	4f10.(5I5).6s.6p.(1P°1)	(5,1)°4	33324.06
4167.97	Dy	I	195	35	4f10.6s2	5I7	4134.222	4f10.(5I7).6s.6p.(1P°1)	(7,1)°6	28119.931
4171.93	Dy	I	15	3						
4186.82	Dy	I	435	105	4f10.6s2	5I8	0.0	4f10.(5I8).6s.6p.(1P°1)	(8,1)°8	23877.739
4191.64	Dy	I	165	40	4f10.6s2	5I7	4134.222	4f9.(6H°).5d2.(3F) (8L°).6s	°7	27984.513
4194.84	Dy	I	195	49	4f10.6s2	5I8	0.0	4f9.(6H°).5d2.(3F) (8K°).6s	°8	23832.06
4195.19	Dy	II	50	13						
4198.02	Dy	I	80	22	4f10.6s2	5I5	9211.591	4f10.(5I5).6s.6p.(1P°1)	(5,1)°5	33025.64
4202.24	Dy	I	80	21	4f10.6s2	5I6	7050.603	4f9.(6F°).5d2.(3F) (8H°).6s	°6	30840.73
4205.06	Dy	I	25	8						
4206.54	Dy	II	45	14						
4211.24	Dy	I	15	5						
4211.72	Dy	I	765	233	4f10.6s2	5I8	0.0	4f10.(5I8).6s.6p.(1P°1)	(8,1)°9	23736.61
4213.18	Dy	I	30	9	4f10.6s2	5I6	7050.603	4f10.(5I6).6s.6p.(1P°1)	(6,1)°6	30778.958
4215.16	Dy	I	195	64	4f10.6s2	5I7	4134.222	4f9.(6H°).5d2.(3P) (8I°).6s	°8	25012.21
4218.09	Dy	I	195	65	4f10.6s2	5I7	4134.222	4f10.(5I7).6s.6p.(1P°1)	(7,1)°7	27834.934
4221.11	Dy	I	240	79	4f10.6s2	5I7	4134.222	4f10.(5I7).6s.6p.(1P°1)	(7,1)°8	27818.0
4225.16	Dy	I	165	58	4f10.6s2	5I6	7050.603	4f10.(5I6).6s.6p.(1P°1)	(6,1)°7	30711.717
4245.91	Dy	I	95	39	4f10.6s2	5I4	10925.277	4f10.(5I4).6s.6p.(1P°1)	(4,1)°5	34470.7
4256.33	Dy	II	105	44						
