λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3807.54	Eu	II	35	-						
3811.33	Eu	I	20	-	4f7.(8S°).6s.6p.(3P°)	z 10P7/2	14067.86	4f7.(8S°).6p2.(3P)	f 10P°7/2	40298.02
3815.5	Eu	II	35	-						
3819.67	Eu	II	855	1	4f7.(8S°).6s	a 9S°4	0.0	4f7.(8S°7/2).6p3/2	(7/2,3/2)5	26172.83
3826.68	Eu	II	25	-						
3844.23	Eu	II	15	-						
3865.57	Eu	I	85	-	4f7.(8S°).5d (9D°).6s	a 8D°7/2	15421.25	6f7.(8S°).6s (9S°).9p	8P5/2	41283.0
3877.27	Eu	II	30	-						
3884.75	Eu	I	405	1	4f7.(8S°).6s.6p.(3P°)	z 10P9/2	14563.57	4f7.(8S°).6p2.(3P)	f 10P°7/2	40298.02
3900.18	Eu	I	120	-						
3907.1	Eu	II	10000	33	4f7.(8S°).6s	a 7S°3	1669.21	4f7.(8S°7/2).6p3/2	(7/2,3/2)2	27256.35
3915.24	Eu	II	45	-						
3916.0	Eu	I	180	1						
3917.29	Eu	I	165	1	4f7.(8S°).5d (9D°).6s	a 10D°7/2	13048.9	4f7.(8S°).6s (9S°).5f?	y 10F?7/2	38569.48
3917.7	Eu	II	40	-						
3919.09	Eu	II	165	1						
3928.87	Eu	II	55	-						
3930.48	Eu	II	5500	22	4f7.(8S°).6s	a 7S°3	1669.21	4f7.(8S°7/2).6p3/2	(7/2,3/2)3	27104.07
3941.56	Eu	II	25	-						
3942.21	Eu	II	75	-						
3942.94	Eu	II	75	-						
3943.08	Eu	II	240	1						
3944.59	Eu	II	25	-						
3945.67	Eu	II	40	-						
3949.13	Eu	II	135	1						
3950.76	Eu	II	40	-						
3951.33	Eu	II	15	-						
3955.75	Eu	I	300	2	4f7.(8S°).6s.6p.(3P°)	z 10P11/2	15581.58	4f7.(8S°).6p2.(3P)	f 10P°9/2	40854.11
3957.92	Eu	II	60	-						
3963.61	Eu	I	40	-	4f7.(8S°).6s.6p.(3P°)	z 8P7/2	15952.31	4f7.(8S°).6s (7S°).7d	f 6D°9/2	41174.74
3964.9	Eu	II	195	1						
3966.59	Eu	II	25	-						
3967.18	Eu	I	105	1	4f7.(8S°).6s.6p.(3P°)	z 10P7/2	14067.86	4f7.(8S°).6s (9S°).7d	f 10D°5/2	39267.62
3971.96	Eu	II	4000	28	4f7.(8S°).6s	a 7S°3	1669.21	4f7.(8S°7/2).6p3/2	(7/2,3/2)4	26838.5
3978.42	Eu	I	120	1	4f7.(8S°).5d (9D°).6s	a 10D°11/2	13457.21	4f7.(8S°).6s (9S°).5f?	y 10F?13/2	38585.73
3979.63	Eu	II	45	-						
3988.24	Eu	II	60	1						
3993.93	Eu	II	165	2						
3995.98	Eu	II	25	-						
4003.71	Eu	II	285	3						
4011.69	Eu	II	285	3						
4017.58	Eu	II	270	4						
4039.19	Eu	I	80	2						
4085.38	Eu	II	95	5						
4096.8	Eu	II	195	11						
4112.04	Eu	II	210	14						
4119.3	Eu	II	450	36						
4129.7	Eu	II	2500	253	4f7.(8S°).6s	a 9S°4	0.0	4f7.(8S°7/2).6p1/2	(7/2,1/2)4	24207.86
4136.59	Eu	II	285	33						
4137.07	Eu	I	210	25	4f7.(8S°).5d (9D°).6s	a 8D°11/2	16079.76	4f7.(8S°).6s (7S°).5f?	x 8F?13/2	40244.66
4141.02	Eu	II	570	66						
4141.72	Eu	II	600	69						
4151.52	Eu	II	105	14						
4151.64	Eu	II	105	14						
4172.8	Eu	II	615	113						
4175.16	Eu	II	435	92						
4195.36	Eu	II	285	78						
4196.18	Eu	II	180	49						
4205.05	Eu	II	3000	876	4f7.(8S°).6s	a 9S°4	0.0	4f7.(8S°7/2).6p1/2	(7/2,1/2)3	23774.28
4221.08	Eu	II	225	76						
4223.88	Eu	II	690	227						
4227.4	Eu	II	150	54						
4229.33	Eu	II	150	55						
4232.45	Eu	II	80	28						
4237.51	Eu	II	25	10						
4238.69	Eu	II	25	10						
4247.06	Eu	II	35	15						
4253.8	Eu	II	60	24						
4270.24	Eu	II	330	143						
4329.36	Eu	I	390	186	4f7.(8S°).5d (7D°).6s	a 6D°9/2	19273.24	4f7.(6I°).6s.6p?	9/2	42364.85
4329.97	Eu	I	405	187	4f7.(8S°).5d (9D°).6s	a 10D°13/2	13778.68	4f7.(8S°).5d (7D°).6p	y 8D11/2	36867.04
4330.61	Eu	II	80	38						
4331.175	Eu	I	330	151	4f7.(8S°).5d (9D°).6s	a 10D°5/2	12923.72	4f6.(7F).5d2.6s?	10P?7/2	36005.73
4355.09	Eu	II	705	335						
4361.57	Eu	II	45	22						
4369.47	Eu	II	105	48						
4372.2	Eu	II	55	25						
4383.17	Eu	II	675	317						
4387.88	Eu	I	1500	656	4f7.(8S°).5d (9D°).6s	a 10D°9/2	13222.04	4f6.(7F).5d2.6s?	10P?7/2	36005.73
4405.27	Eu	II	90	43						
4407.07	Eu	II	70	32						
4419.66	Eu	II	10	5						
4434.81	Eu	II	35	16						
4435.56	Eu	II	3500	1579	4f7.(8S°).6s	a 7S°3	1669.21	4f7.(8S°7/2).6p1/2	(7/2,1/2)4	24207.86
4464.97	Eu	II	990	472						
4485.15	Eu	II	885	433						
