λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3805.83	F	II	7	-						
3847.09	F	II	360	1	2s2.2p3.(4S°).3s	5S°2	176493.93	2s2.2p3.(4S°).3p	5P3	202480.26
3849.99	F	II	270	-	2s2.2p3.(4S°).3s	5S°2	176493.93	2s2.2p3.(4S°).3p	5P2	202460.69
3851.67	F	II	90	-	2s2.2p3.(4S°).3s	5S°2	176493.93	2s2.2p3.(4S°).3p	5P1	202449.35
3898.83	F	II	8	-						
3901.93	F	II	6	-						
3903.82	F	II	4	-						
3972.04	F	II	2	-						
3972.67	F	II	4	-						
3974.78	F	II	8	-						
4024.73	F	II	210	3	2s2.2p3.(4S°).3s	3S°1	182864.4	2s2.2p3.(4S°).3p	3P2	207703.79
4025.01	F	II	65	1	2s2.2p3.(4S°).3s	3S°1	182864.4	2s2.2p3.(4S°).3p	3P0	207702.04
4025.49	F	II	120	2	2s2.2p3.(4S°).3s	3S°1	182864.4	2s2.2p3.(4S°).3p	3P1	207699.07
4083.91	F	II	20	1						
4103.07	F	II	70	4	2s2.2p3.(4S°).3p	3P1	207699.07	2s2.2p3.(4S°).3d	3D°2	232064.16
4103.22	F	II	15	1	2s2.2p3.(4S°).3p	3P1	207699.07	2s2.2p3.(4S°).3d	3D°1	232063.34
4103.51	F	II	135	8	2s2.2p3.(4S°).3p	3P2	207703.79	2s2.2p3.(4S°).3d	3D°3	232066.32
4103.71	F	II	25	1	2s2.2p3.(4S°).3p	3P0	207702.04	2s2.2p3.(4S°).3d	3D°1	232063.34
4103.87	F	II	25	1	2s2.2p3.(4S°).3p	3P2	207703.79	2s2.2p3.(4S°).3d	3D°2	232064.16
4109.16	F	II	45	3	2s2.2p3.(2D°).3s	3D°3	211866.13	2s2.2p3.(2D°).3p	3D3	236195.14
4116.54	F	II	25	2	2s2.2p3.(2D°).3s	3D°2	211887.19	2s2.2p3.(2D°).3p	3D2	236172.61
4119.21	F	II	25	2	2s2.2p3.(2D°).3s	3D°1	211900.26	2s2.2p3.(2D°).3p	3D1	236169.93
4207.15	F	II	25	8						
4225.16	F	II	10	4						
4246.23	F	II	165	68						
4275.36	F	II	60	27						
4277.53	F	II	25	11						
4278.93	F	II	10	5						
4299.17	F	II	100	45	2s2.2p3.(2D°).3s	1D°2	215069.59	2s2.2p3.(2D°).3p	1F3	238323.38
4446.53	F	II	50	24	2s2.2p3.(4S°).3d	3D°1	232063.34	2s2.2p3.(4S°).4f	3F2	254546.49
4446.72	F	II	195	91	2s2.2p3.(4S°).3d	3D°2	232064.16	2s2.2p3.(4S°).4f	3F3	254546.33
4447.19	F	II	255	122	2s2.2p3.(4S°).3d	3D°3	232066.32	2s2.2p3.(4S°).4f	3F4	254546.13
4734.38	F	II	9	6						
4859.39	F	II	165	119						
4933.26	F	II	105	76						
5002.0	F	II	105	80						
5110.99	F	III	15	14						
5173.25	F	II	50	45						
5671.668	F	I	7	7	2s2.2p4.(3P).3p	4P°5/2	115917.91	2s2.2p4.(3P).4d	4D7/2	133544.54
5700.82	F	I	10	10	2s2.2p4.(3P).3p	4P°3/2	116040.88	2s2.2p4.(3P).4d	4D3/2	133577.4
5707.31	F	I	15	13	2s2.2p4.(3P).3p	4P°3/2	116040.88	2s2.2p4.(3P).4d	4D5/2	133557.43
6015.828	F	I	7	5	2s2.2p4.(3P).3p	4D°7/2	116987.39	2s2.2p4.(3P).4d	4F9/2	133605.61
6038.04	F	I	7	5	2s2.2p4.(3P).3p	4D°7/2	116987.39	2s2.2p4.(3P).4d	4D7/2	133544.54
6047.54	F	I	50	38	2s2.2p4.(3P).3s	4P5/2	102405.71	2s2.2p4.(3P).3p	2P°3/2	118936.8
6080.113	F	I	7	5	2s2.2p4.(3P).3p	4D°5/2	117164.01	2s2.2p4.(3P).4d	2F7/2	133606.51
6149.76	F	I	35	22	2s2.2p4.(3P).3s	4P3/2	102680.44	2s2.2p4.(3P).3p	2P°3/2	118936.8
6210.87	F	I	15	10	2s2.2p4.(3P).3s	4P1/2	102840.38	2s2.2p4.(3P).3p	2P°3/2	118936.8
6239.651	F	I	1000	578	2s2.2p4.(3P).3s	4P5/2	102405.71	2s2.2p4.(3P).3p	4S°3/2	118427.82
6348.508	F	I	690	311	2s2.2p4.(3P).3s	4P3/2	102680.44	2s2.2p4.(3P).3p	4S°3/2	118427.82
6413.651	F	I	510	204	2s2.2p4.(3P).3s	4P1/2	102840.38	2s2.2p4.(3P).3p	4S°3/2	118427.82
6463.5	F	I	50	18	2s2.2p4.(3P).3s	4P5/2	102405.71	2s2.2p4.(3P).3p	2D°3/2	117872.92
6569.694	F	I	165	45	2s2.2p4.(3P).3s	4P5/2	102405.71	2s2.2p4.(3P).3p	2D°5/2	117622.92
6580.389	F	I	105	26	2s2.2p4.(3P).3s	4P3/2	102680.44	2s2.2p4.(3P).3p	2D°3/2	117872.92
