λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.8	Fe	IX	1	-	3s2.3p5.3d	3F°3	429310.9	3s2.3p5.3d	3D°3	455612.2
3801.6791	Fe	I	60	-	3d7.(4P).4s	b 3P2	22838.323	3d6.(3F2).4s.4p.(3P°)	v 3D°3	49135.023
3801.8084	Fe	I	9	-	3d7.(4P).4s	b 3P1	22946.816	3d6.(3F2).4s.4p.(3P°)	v 3D°2	49242.621
3801.9837	Fe	I	30	-	3d6.(5D).4s.4p.(3P°)	z 5F°5	26874.55	3d7.(4F).4d	f 5G6	53169.146
3802.2786	Fe	I	30	-	3d7.(2D2).4s	a 3D2	26623.735	3d7.(2D2).4p	v 3P°2	52916.295
3803.5	Fe	V	1	-	3d4	3D3	36630.0	3d4	3P11	62914.1
3804.0092	Fe	I	50	-	3d6.(5D).4s.4p.(3P°)	z 5F°5	26874.55	3d7.(4F).4d	h 5D4	53155.145
3805.342	Fe	I	495	1	3d7.(2H).4s	b 3H4	26627.609	3d7.(2H).4p	y 3I°5	52898.998
3806.2164	Fe	I	50	-	3d7.(2P).4s	a 1P1	27543.003	3d7.(2P).4p	x 3S°1	53808.356
3806.35	Fe	V	1	-	3d4	3P22	26468.2	3d4	1F3	52732.6
3806.6954	Fe	I	240	-	3d7.(2H).4s	b 3H5	26351.04	3d7.(2H).4p	w 3H°5	52613.09
3807.5366	Fe	I	180	-	3d7.(4P).4s	a 5P1	17927.382	3d6.(3P2).4s.4p.(3P°)	w 5D°2	44183.628
3808.2807	Fe	I	5	-	3d7.(2P).4s	c 3P2	24335.766	3d7.(2G).4p	z 1F°3	50586.878
3808.7283	Fe	I	120	-	3d6.4s2	b 3F24	20641.11	3d6.(3F2).4s.4p.(3P°)	x 3F°4	46889.142
3809.0396	Fe	I	2	-	3d7.(4P).4s	b 3P0	23051.75	3d6.(3F2).4s.4p.(3P°)	v 3D°1	49297.635
