λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
4109.65716	Fr	I	2	-	7s	2S1/2	0.0	7d	2D5/2	24332.93
4124.72679	Fr	I	15	1	7s	2S1/2	0.0	7d	2D3/2	24244.03
4226.84532	Fr	I	95	34	7s	2S1/2	0.0	8p	2P°3/2	23658.306
4326.57695	Fr	I	55	25	7s	2S1/2	0.0	8p	2P°1/2	23112.96
4913.45659	Fr	I	1	1	7p	2P°1/2	12237.409	24d	2D3/2	32589.68
4920.02233	Fr	I	1	1	7p	2P°1/2	12237.409	23d	2D3/2	32562.52
4927.6981	Fr	I	1	1	7p	2P°1/2	12237.409	22d	2D3/2	32530.86
4936.75255	Fr	I	2	1	7p	2P°1/2	12237.409	21d	2D3/2	32493.64
4947.53779	Fr	I	2	2	7p	2P°1/2	12237.409	20d	2D3/2	32449.483
4960.52833	Fr	I	2	2	7p	2P°1/2	12237.409	19d	2D3/2	32396.552
4970.41732	Fr	I	1	1	7p	2P°1/2	12237.409	20s	2S1/2	32356.444
4976.3759	Fr	I	3	2	7p	2P°1/2	12237.409	18d	2D3/2	32332.354
4988.58338	Fr	I	1	1	7p	2P°1/2	12237.409	19s	2S1/2	32283.18
4995.99321	Fr	I	3	3	7p	2P°1/2	12237.409	17d	2D3/2	32253.449
5011.31505	Fr	I	1	1	7p	2P°1/2	12237.409	18s	2S1/2	32192.251
5020.69279	Fr	I	4	3	7p	2P°1/2	12237.409	16d	2D3/2	32154.979
5040.30149	Fr	I	2	1	7p	2P°1/2	12237.409	17s	2S1/2	32077.492
5052.41885	Fr	I	5	4	7p	2P°1/2	12237.409	15d	2D3/2	32029.909
5078.10635	Fr	I	2	2	7p	2P°1/2	12237.409	16s	2S1/2	31929.789
5094.17266	Fr	I	6	5	7p	2P°1/2	12237.409	14d	2D3/2	31867.682
5128.79086	Fr	I	3	2	7p	2P°1/2	12237.409	15s	2S1/2	31735.182
5150.76522	Fr	I	8	7	7p	2P°1/2	12237.409	13d	2D3/2	31652.0
5199.11141	Fr	I	3	3	7p	2P°1/2	12237.409	14s	2S1/2	31471.465
5228.41754	Fr	I	1	1	7p	2P°1/2	12237.409	12d	2D5/2	31363.655
5230.37254	Fr	I	10	10	7p	2P°1/2	12237.409	12d	2D3/2	31356.506
5301.0661	Fr	I	5	4	7p	2P°1/2	12237.409	13s	2S1/2	31101.539
5344.95426	Fr	I	2	2	7p	2P°1/2	12237.409	11d	2D5/2	30946.643
5347.90359	Fr	I	15	15	7p	2P°1/2	12237.409	11d	2D3/2	30936.325
5350.56873	Fr	I	1	1	7p	2P°3/2	13923.998	25d	2D5/2	32613.6
5357.27622	Fr	I	1	1	7p	2P°3/2	13923.998	24d	2D5/2	32590.2
5362.34376	Fr	I	1	1	7p	2P°3/2	13923.998	25s	2S1/2	32572.56
5365.0567	Fr	I	1	1	7p	2P°3/2	13923.998	23d	2D5/2	32563.13
5370.97542	Fr	I	1	1	7p	2P°3/2	13923.998	24s	2S1/2	32542.59
5381.12577	Fr	I	1	1	7p	2P°3/2	13923.998	23s	2S1/2	32507.47
5384.88985	Fr	I	2	2	7p	2P°3/2	13923.998	21d	2D5/2	32494.48
5393.17921	Fr	I	2	2	7p	2P°3/2	13923.998	22s	2S1/2	32465.937
5397.67652	Fr	I	2	2	7p	2P°3/2	13923.998	20d	2D5/2	32450.488
5397.96934	Fr	I	1	1	7p	2P°3/2	13923.998	20d	2D3/2	32449.483
5403.19389	Fr	I	2	2	7p	2P°3/2	13923.998	22d	2D5/2	32431.57
5407.64388	Fr	I	2	2	7p	2P°3/2	13923.998	21s	2S1/2	32416.34
5413.08233	Fr	I	3	3	7p	2P°3/2	13923.998	19d	2D5/2	32397.761
5413.4366	Fr	I	1	1	7p	2P°3/2	13923.998	19d	2D3/2	32396.552
5425.21595	Fr	I	2	2	7p	2P°3/2	13923.998	20s	2S1/2	32356.444
5431.88098	Fr	I	3	3	7p	2P°3/2	13923.998	18d	2D5/2	32333.827
5432.31563	Fr	I	2	2	7p	2P°3/2	13923.998	18d	2D3/2	32332.354
