λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3806.678	Ga	III	20	-	3d10.5p	2P°3/2	161304.4	3d10.6s	2S1/2	187566.51
3924.5879	Ga	II	45	-	4s.5p	1P°1	120550.431	4s.7s	1S0	146023.6
4032.984	Ga	I	5000	84	3d10.4s2.4p	2P°1/2	0.0	4s2.5s	2S1/2	24788.53
4172.042	Ga	I	8500	1527	3d10.4s2.4p	2P°3/2	826.19	4s2.5s	2S1/2	24788.53
4173.0	Ga	XVII	4	1	3s2.3p3	2P°1/2	104622.0	3s2.3p3	2P°3/2	128577.0
4240.525	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.70p	2P°1/2	48363.88
4240.651	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.69p	2P°3/2	48363.18
4240.8	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.68p	2P°1/2	48362.35
4240.924	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.67p	2P°1/2	48361.66
4241.098	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.66p	2P°3/2	48360.69
4241.257	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.65p	2P°3/2	48359.81
4241.406	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.64p	2P°1/2	48358.98
4241.588	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.63p	2P°3/2	48357.97
4241.761	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.62p	2P°3/2	48357.01
4241.948	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.61p	2P°1/2	48355.97
4242.157	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.60p	2P°3/2	48354.81
4242.367	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.59p	2P°3/2	48353.64
4242.582	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.58p	2P°1/2	48352.45
4242.826	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.57p	2P°3/2	48351.09
4243.09	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.56p	2P°3/2	48349.627
4243.352	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.55p	2P°3/2	48348.173
4243.63	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.54p	2P°3/2	48346.63
4243.887	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.53p	2P°3/2	48345.2
4244.204	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.52p	2P°3/2	48343.44
4244.531	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.51p	2P°3/2	48341.63
4244.886	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.50p	2P°3/2	48339.66
4245.261	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.49p	2P°3/2	48337.58
4245.675	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.48p	2P°3/2	48335.28
4246.112	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.47p	2P°3/2	48332.86
4246.563	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.46p	2P°3/2	48330.36
4247.046	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.45p	2P°3/2	48327.68
4247.569	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.44p	2P°3/2	48324.78
4248.143	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.43p	2P°3/2	48321.6
4248.743	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.42p	2P°3/2	48318.28
4249.4	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.41p	2P°3/2	48314.64
4251.1546	Ga	II	2	1	4s.4d	3D1	113815.885	4s.4f	3F°2	137332.285
4254.073	Ga	II	9	4	4s.4d	3D2	113842.301	4s.4f	1F°3	137342.57
4254.721	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.35p	2P°3/2	48285.221
4254.731	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.35p	2P°1/2	48285.164
4254.789	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.34d	2D5/2	48284.842
4254.799	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.34d	2D3/2	48284.786
4255.72	Ga	II	15	6	4s.4d	3D2	113842.301	4s.4f	3F°3	137333.474
4260.35	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.30d	2D5/2	48254.176
4260.365	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.30d	2D3/2	48254.091
4262.0144	Ga	II	20	8	4s.4d	3D3	113883.193	4s.4f	3F°4	137339.674
4266.213	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.28p	2P°3/2	48221.925
4266.235	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.28p	2P°1/2	48221.808
4266.348	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.27d	2D5/2	48221.186
4266.367	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.27d	2D3/2	48221.079
4271.519	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.26p	2P°3/2	48192.82
4271.547	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.26p	2P°1/2	48192.664
4271.688	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.25d	2D5/2	48191.895
4271.712	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.25d	2D3/2	48191.759
4278.375	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.24p	2P°3/2	48155.314
4278.411	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.24p	2P°1/2	48155.116
4278.589	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.23d	2D5/2	48154.145
4278.621	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.23d	2D3/2	48153.97
4287.453	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.22p	2P°3/2	48105.838
4287.504	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.22p	2P°1/2	48105.564
4287.731	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.21d	2D5/2	48104.327
4287.774	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.21d	2D3/2	48104.096
4293.459	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.20d	2D5/2	48073.225
4293.507	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.20d	2D3/2	48072.962
4299.838	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.20p	2P°3/2	48038.68
4299.907	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.20p	2P°1/2	48038.305
4300.203	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.19d	2D5/2	48036.706
4300.26	Ga	I	5	2	4s2.5s	2S1/2	24788.53	4s2.19d	2D3/2	48036.4
4380.62	Ga	III	4	2	3d10.4f	2F°5/2	185432.59	3d10.5g	2G7/2	208253.98
4381.84	Ga	III	5	2	3d10.4f	2F°7/2	185439.09	3d10.5g	2G9/2	208254.14
4488.4	Ga	XXXI	15	7	5p	2P°1/2	102527923.0	5d	2D3/2	102550196.3
4597.7	Ga	XXXI	30	16	5s	2S1/2	102528494.0	5p	2P°3/2	102550238.0
4705.17	Ga	II	35	22	4s.4f	3F°3	137333.474	4s.8g	(1/2,9/2)4	158580.7
4706.52	Ga	II	35	22	4s.4f	3F°4	137339.674	4s.8g	(1/2,9/2)5	158580.9
4707.19	Ga	II	35	22	4s.4f	1F°3	137342.57	4s.8g	(1/2,9/2)4	158580.7
4719.07	Ga	II	35	22	4s.5p	3P°1	118518.461	4s.5d	1D2	139703.442
4863.03	Ga	III	55	37	3d10.5s	2S1/2	140746.84	3d10.5p	2P°3/2	161304.4
