λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.29	Gd	II	60	-						
3804.39	Gd	I	20	-						
3805.09	Gd	II	40	-						
3805.52	Gd	II	40	-						
3813.97	Gd	II	390	-						
3814.74	Gd	II	40	-						
3816.64	Gd	II	40	-						
3818.75	Gd	II	55	-						
3826.05	Gd	II	30	-						
3827.33	Gd	II	40	-						
3829.46	Gd	II	95	-						
3831.73	Gd	III	20	-						
3831.8	Gd	II	25	-						
3832.97	Gd	I	7	-						
3834.99	Gd	II	35	-						
3836.91	Gd	II	65	-						
3839.64	Gd	II	90	-						
3842.2	Gd	II	55	-						
3843.28	Gd	I	35	-						
3844.58	Gd	II	50	-						
3850.69	Gd	II	15	-						
3850.97	Gd	II	30	-	4f7.(8S°).5d (9D°).6s	10D°5/2	0.0	4f7.(8S°).5d (9D°).6p	10F3/2	25960.073
3852.45	Gd	II	315	1	4f7.(8S°).5d (9D°).6s	10D°7/2	261.841	4f7.(8S°).5d (9D°).6p	10F5/2	26211.912
3855.56	Gd	II	50	-						
3863.05	Gd	II	30	-						
3866.99	Gd	I	35	-						
3873.57	Gd	I	15	-						
3875.46	Gd	II	15	-						
3894.7	Gd	II	1000	3						
3895.79	Gd	II	180	1						
3902.4	Gd	II	795	2						
3902.71	Gd	I	195	1						
3904.29	Gd	I	80	-						
3905.65	Gd	I	405	1						
3910.24	Gd	III	85	-						
3916.51	Gd	II	1000	4	4f7.(8S°).5d (9D°).6s	8D°11/2	4841.106	4f7.(8S°).5d (9D°).6p	10D11/2	30366.818
3923.25	Gd	II	65	-						
3934.79	Gd	I	525	2						
3935.38	Gd	I	55	-						
3941.8	Gd	I	25	-						
3942.63	Gd	I	300	1						
3943.24	Gd	I	195	1						
3943.62	Gd	I	100	-						
3945.54	Gd	I	945	5						
3952.0	Gd	II	420	2						
3953.37	Gd	I	405	2						
3957.67	Gd	II	1000	6						
3959.44	Gd	II	80	-						
3963.66	Gd	II	165	1						
3966.28	Gd	I	60	-						
3968.26	Gd	II	50	-						
3969.0	Gd	I	100	1						
3969.29	Gd	II	495	3						
3971.75	Gd	II	65	-						
3972.71	Gd	I	50	-						
3973.98	Gd	II	255	2						
3974.81	Gd	I	25	-						
3979.33	Gd	I	285	2						
3987.21	Gd	II	585	5						
3987.84	Gd	I	315	3						
3992.69	Gd	I	120	1						
3993.21	Gd	II	120	1						
3994.16	Gd	II	65	1						
3996.32	Gd	II	765	8						
3997.76	Gd	II	225	2						
4001.26	Gd	II	540	6						
4004.94	Gd	II	45	-						
4008.33	Gd	I	65	1						
4008.91	Gd	II	85	1						
4013.8	Gd	II	85	1						
4015.58	Gd	I	15	-						
4016.91	Gd	III	40	1						
4017.25	Gd	I	25	-						
4017.71	Gd	I	55	1						
4019.73	Gd	I	120	2						
4022.33	Gd	II	150	2						
4023.14	Gd	I	210	3						
4023.35	Gd	I	210	3						
4027.61	Gd	I	150	3						
4028.15	Gd	I	375	6						
4030.88	Gd	I	90	2						
4033.49	Gd	I	75	1						
4035.4	Gd	I	40	1						
4036.84	Gd	I	35	1						
4037.33	Gd	II	315	6						
4037.9	Gd	II	315	6						
4043.71	Gd	I	15	-						
4045.01	Gd	I	55	1						
4046.84	Gd	II	30	1						
4047.09	Gd	I	15	-						
4049.2	Gd	I	15	-						
4049.43	Gd	II	225	5						
4049.86	Gd	II	285	7	4f8.(7F).6s	8F13/2	7992.268	4f8.(7F6).6p1/2	(6,1/2)°13/2	32677.54
4050.37	Gd	I	20	1						
4053.29	Gd	II	270	7						
4053.64	Gd	I	270	7	4f7.(8S°).5d.6s2	9D°5	999.121	4f7.(8S°).5d (7D°).6s.6p.(3P°)	6	25661.34
4054.72	Gd	I	225	5						
4058.22	Gd	I	270	8	4f7.(8S°).5d.6s2	9D°3	215.124	4f7.(8S°).5d (7D°).6s.6p.(3P°)	4	24849.514
4059.88	Gd	I	135	4						
4061.3	Gd	II	30	1						
4062.59	Gd	II	80	2						
4063.39	Gd	II	25	1						
4063.59	Gd	II	25	1						
4066.04	Gd	I	8	-						
4068.35	Gd	I	30	1						
4068.74	Gd	I	15	-						
4070.29	Gd	II	225	8						
4073.2	Gd	II	225	8						
4073.76	Gd	II	285	10						
4078.44	Gd	II	45	2						
4078.7	Gd	I	60	2	4f7.(8S°).5d.6s2	9D°4	532.977	4f7.(8S°).5d (9D°).6s.6p.(1P°)	5	25043.649
4083.7	Gd	I	30	1						
4085.56	Gd	II	315	15						
4087.69	Gd	II	315	15						
4090.41	Gd	I	315	15						
4092.71	Gd	I	330	15						
4093.72	Gd	I	50	2						
4094.48	Gd	II	80	4						
4098.61	Gd	II	85	5	4f7.(8S°).5d2.(3F)	10F°15/2	6605.154	4f7.(8S°).5d (9D°).6p	10D13/2	30996.851
4098.9	Gd	II	345	19						
4100.26	Gd	I	50	3						
4111.44	Gd	II	55	4						
4130.37	Gd	II	600	58	4f7.(8S°).5d2.(3F)	10F°13/2	5897.264	4f7.(8S°).5d (9D°).6p	11/2	30101.366
4131.48	Gd	II	150	14						
4132.28	Gd	II	90	9						
4134.16	Gd	I	120	11						
4137.1	Gd	II	180	21						
4148.86	Gd	I	40	6						
4162.73	Gd	II	165	26						
4163.09	Gd	II	80	13						
4167.16	Gd	II	60	11						
4175.54	Gd	I	315	66	4f7.(8S°).5d.6s2	9D°6	1719.087	4f7.(8S°).5d (7D°).6s.6p.(3P°)	6	25661.34
4177.26	Gd	III	60	13						
4184.25	Gd	II	375	81	4f7.(8S°).5d (9D°).6s	8D°9/2	3972.167	4f7.(8S°).5d (9D°).6p	10F11/2	27864.534
4190.78	Gd	I	240	57	4f7.(8S°).5d.6s2	9D°5	999.121	4f8.(7F).5d (8G).6s	9G6	24854.297
4191.07	Gd	II	240	57						
4191.63	Gd	I	95	23						
4197.68	Gd	II	225	59						
4204.86	Gd	II	70	19						
4212.0	Gd	II	390	119						
4215.02	Gd	II	540	179						
4217.2	Gd	II	270	91						
4225.03	Gd	I	45	16						
4225.85	Gd	I	450	163	4f7.(8S°).5d.6s2	9D°6	1719.087	4f7.(8S°).5d (9D°).6s.6p.(1P°)	7	25376.313
4227.14	Gd	II	165	57						
4229.8	Gd	II	70	24						
4238.78	Gd	II	510	196						
4246.57	Gd	II	195	80						
4251.73	Gd	II	375	151						
4253.37	Gd	II	70	28						
4253.61	Gd	II	70	29						
4260.12	Gd	I	85	35						
4262.09	Gd	I	510	210						
4266.6	Gd	I	225	98						
4267.0	Gd	I	180	80						
4274.17	Gd	I	465	200						
4279.96	Gd	III	15	6						
4280.49	Gd	II	645	287						
4285.82	Gd	I	180	79						
4286.12	Gd	I	180	78						
4296.08	Gd	II	465	210						
4297.17	Gd	II	225	104						
4299.29	Gd	I	45	20						
4306.34	Gd	I	390	179						
4309.29	Gd	I	35	16						
