λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3845.106	Ge	II	1000	2	4s.4p2	4P5/2	53366.738	4s2.5p	2P°3/2	79366.494
3884.78	Ge	III	555	1						
4178.96	Ge	III	600	126						
4226.5625	Ge	I	2000	763	4s2.4p2	1S0	16367.3332	4s2.4p.5s	1P°1	40020.5604
4245.41	Ge	III	420	169						
4260.85	Ge	III	360	152						
4291.71	Ge	III	585	260						
4391.654	Ge	II	210	96	4s2.4f	2F°7/2	100317.283	4s2.9g	2G9/2	123081.34
4391.79	Ge	II	135	64	4s2.4f	2F°5/2	100317.976	4s2.9g	2G7/2	123081.34
4662.31	Ge	II	50	27	4s2.5d	2D3/2	100089.97	4s2.8f	2F°5/2	121532.56
4671.273	Ge	II	85	47	4s2.5d	2D5/2	100130.812	4s2.8f	2F°7/2	121532.26
4674.36	Ge	III	25	15						
4685.8286	Ge	I	25	15	4s2.4p2	1S0	16367.3332	4s2.4p.5s	3P°1	37702.3054
4689.871	Ge	II	180	108	4s2.4f	2F°7/2	100317.283	4s2.8g	2G9/2	121633.87
4690.023	Ge	II	120	72	4s2.4f	2F°5/2	100317.976	4s2.8g	2G7/2	121633.87
4741.8056	Ge	II	450	277	4s2.5p	2P°1/2	79006.853	4s2.5d	2D3/2	100089.97
4814.6084	Ge	II	870	571	4s2.5p	2P°3/2	79366.494	4s2.5d	2D5/2	100130.812
4824.0973	Ge	II	45	30	4s2.5p	2P°3/2	79366.494	4s2.5d	2D3/2	100089.97
4898.737	Ge	II	195	141	4s2.4d	2D3/2	80836.88	4s2.6p	2P°3/2	101244.635
4934.0757	Ge	II	195	144	4s2.4d	2D3/2	80836.88	4s2.6p	2P°1/2	101098.446
4941.2768	Ge	II	405	301	4s2.4d	2D5/2	81012.598	4s2.6p	2P°3/2	101244.635
5016.88	Ge	III	585	460						
5131.7517	Ge	II	720	611	4s2.4d	2D3/2	80836.88	4s2.4f	2F°5/2	100317.976
5134.75	Ge	III	95	81						
5178.46	Ge	II	45	40	4s2.4d	2D5/2	81012.598	4s2.4f	2F°5/2	100317.976
5178.6475	Ge	II	600	528	4s2.4d	2D5/2	81012.598	4s2.4f	2F°7/2	100317.283
5184.103	Ge	II	25	20	4s2.5d	2D3/2	100089.97	4s2.7f	2F°5/2	119374.34
5194.586	Ge	I	15	12	4s2.4p.5s	3P°1	37702.3054	4s2.4p.6p	3P2	56947.7693
5195.219	Ge	II	45	40	4s2.5d	2D5/2	100130.812	4s2.7f	2F°7/2	119373.92
5205.6488	Ge	II	135	117	4s2.4f	2F°7/2	100317.283	4s2.7g	2G9/2	119521.837
5205.8371	Ge	II	100	88	4s2.4f	2F°5/2	100317.976	4s2.7g	2G7/2	119521.835
5229.37	Ge	III	45	40						
5256.61	Ge	III	40	37						
5265.892	Ge	I	95	87	4s2.4p.5s	3P°1	37702.3054	4s2.4p.6p	3P1	56687.1584
5513.264	Ge	I	105	105	4s2.4p.5s	3P°2	39117.9021	4s2.4p.6p	1D2	57250.9427
5522.989	Ge	II	270	263	4s2.6p	2P°3/2	101244.635	4s2.8d	2D5/2	119345.75
5564.742	Ge	I	135	141	4s2.4p.5s	3P°2	39117.9021	4s2.4p.6p	3S1	57083.2021
5607.012	Ge	I	150	142	4s2.4p.5s	3P°2	39117.9021	4s2.4p.6p	3P2	56947.7693
5616.137	Ge	I	105	107	4s2.4p.5s	3P°1	37702.3054	4s2.4p.6p	3P0	55503.2026
5621.428	Ge	I	120	125	4s2.4p.5s	3P°0	37451.6893	4s2.4p.6p	1P1	55235.8344
5655.962	Ge	I	150	142	4s2.4p.5s	3P°2	39117.9021	4s2.4p.6p	3D3	56793.46
5664.227	Ge	I	105	107	4s2.4p.5s	1P°1	40020.5604	4s2.4p.6p	1S0	57670.326
5664.844	Ge	I	90	89	4s2.4p.5s	3P°2	39117.9021	4s2.4p.(2P°1/2).4f	2[7/2]3	56765.748
5691.958	Ge	I	165	160	4s2.4p.5s	3P°1	37702.3054	4s2.4p.6p	3D2	55266.0902
5701.778	Ge	I	105	106	4s2.4p.5s	3P°1	37702.3054	4s2.4p.6p	1P1	55235.8344
5717.878	Ge	I	90	88	4s2.4p.5s	3P°0	37451.6893	4s2.4p.6p	3D1	54935.8479
5801.032	Ge	I	70	64	4s2.4p.5s	3P°1	37702.3054	4s2.4p.6p	3D1	54935.8479
5802.093	Ge	I	105	95	4s2.4p.5s	1P°1	40020.5604	4s2.4p.6p	1D2	57250.9427
5893.3886	Ge	II	2000	1870	4s2.5s	2S1/2	62403.028	4s2.5p	2P°3/2	79366.494
6021.0414	Ge	II	1000	795	4s2.5s	2S1/2	62403.028	4s2.5p	2P°1/2	79006.853
6078.394	Ge	II	225	157	4s.4p.(3P°).5s	4P°5/2	124732.4	4s.4p.(3P°).5p	4D7/2	141179.7
6267.141	Ge	II	50	27	4s2.5d	2D3/2	100089.97	4s2.6f	2F°5/2	116041.81
6268.066	Ge	II	150	81	4s2.4f	2F°7/2	100317.283	4s2.6g	2G9/2	116266.75
6268.344	Ge	II	105	54	4s2.4f	2F°5/2	100317.976	4s2.6g	2G7/2	116266.75
6283.4519	Ge	II	105	52	4s2.5d	2D5/2	100130.812	4s2.6f	2F°7/2	116041.231
6336.3766	Ge	II	75	36	4s2.5p	2P°1/2	79006.853	4s2.6s	2S1/2	94784.381
6484.1812	Ge	II	315	107	4s2.5p	2P°3/2	79366.494	4s2.6s	2S1/2	94784.381
6557.488	Ge	I	135	35	4s2.4p.5s	1P°1	40020.5604	4s2.4p.6p	3D2	55266.0902
6780.51	Ge	II	690	91	4s2.6p	2P°3/2	101244.635	4s2.7d	2D5/2	115988.77
6966.3209	Ge	II	300	19	4s.4p2	2D3/2	65015.672	4s2.5p	2P°3/2	79366.494
7049.3694	Ge	II	930	39	4s.4p2	2D5/2	65184.738	4s2.5p	2P°3/2	79366.494
7130.117	Ge	I	135	4	4s2.4p.5p	3D3	48104.1003	4s2.4p.7d	(3/2,5/2)°4	62125.233
7145.3899	Ge	II	645	16	4s.4p2	2D3/2	65015.672	4s2.5p	2P°1/2	79006.853
7330.38	Ge	I	150	1	4s2.4p.5p	1P1	46765.2705	4s2.4p.7d	(1/2,3/2)°2	60403.365
7353.332	Ge	I	105	1	4s2.4p.5p	3D2	46834.3798	4s2.4p.7d	(1/2,5/2)°3	60429.908
7384.208	Ge	I	150	1	4s2.4p.5p	3D1	45985.592	4s2.4p.8s	(1/2,1/2)°1	59524.276
7402.645	Ge	I	135	1	4s2.4p.5p	1P1	46765.2705	4s2.4p.6d	(3/2,3/2)°2	60270.231
7511.57	Ge	I	150	-	4s2.4p.5s	3P°1	37702.3054	4s2.4p.5p	1S0	51011.4392
