λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3819.6074	He	I	75	-	1s.2p	3P°1	169086.8428979	1s.6d	3D2	195260.07173649
3819.7573	He	I	6	-	1s.2p	3P°0	169087.8308131	1s.6d	3D1	195260.07720298
3867.47234	He	I	20	-	1s.2p	3P°2	169086.7664725	1s.6s	3S1	194936.119697
3867.63159	He	I	6	-	1s.2p	3P°0	169087.8308131	1s.6s	3S1	194936.119697
3871.791	He	I	8	-	1s.2p	1P°1	171134.896946	1s.9d	1D2	196955.44875025
3888.648	He	I	2000	5	1s.2s	3S1	159855.9743297	1s.3p	3P°2	185564.56192
3926.54437	He	I	10	-	1s.2p	1P°1	171134.896946	1s.8d	1D2	196595.37405237
3964.7291	He	I	75	-	1s.2s	1S0	166277.440141	1s.4p	1P°1	191492.711909
4009.2565	He	I	15	-	1s.2p	1P°1	171134.896946	1s.7d	1D2	196070.12838342
4023.973	He	I	7	-	1s.2p	1P°1	171134.896946	1s.7s	1S0	195978.895183
4026.1914	He	I	105	2	1s.2p	3P°1	169086.8428979	1s.5d	3D2	193917.15192855
4026.35695	He	I	7	-	1s.2p	3P°0	169087.8308131	1s.5d	3D1	193917.1613871
4120.8154	He	I	60	5	1s.2p	3P°1	169086.8428979	1s.5s	3S1	193346.991344
4120.99156	He	I	15	1	1s.2p	3P°0	169087.8308131	1s.5s	3S1	193346.991344
4143.761	He	I	195	21	1s.2p	1P°1	171134.896946	1s.6d	1D2	195260.77050808
4168.967	He	I	85	16	1s.2p	1P°1	171134.896946	1s.6s	1S0	195114.8687
4387.9296	He	I	225	110	1s.2p	1P°1	171134.896946	1s.5d	1D2	193918.28990114
4437.551	He	I	990	475	1s.2p	1P°1	171134.896946	1s.5s	1S0	193663.512095
4471.4802	He	I	165	83	1s.2p	3P°1	169086.8428979	1s.4d	3D2	191444.4821307
4471.68324	He	I	10	6	1s.2p	3P°0	169087.8308131	1s.4d	3D1	191444.5006512
4713.1457	He	I	750	440	1s.2p	3P°1	169086.8428979	1s.4s	3S1	190298.11326
4713.37567	He	I	135	78	1s.2p	3P°0	169087.8308131	1s.4s	3S1	190298.11326
4921.9313	He	I	240	178	1s.2p	1P°1	171134.896946	1s.4d	1D2	191446.4557405
5015.6783	He	I	345	273	1s.2s	1S0	166277.440141	1s.3p	1P°1	186209.36494
5047.738	He	I	60	51	1s.2p	1P°1	171134.896946	1s.4s	1S0	190940.226355
5875.621	He	I	2000	1711	1s.2p	3P°1	169086.8428979	1s.3d	3D2	186101.5486891
5875.96626	He	I	20	17	1s.2p	3P°0	169087.8308131	1s.3d	3D1	186101.5928903
6678.151	He	I	870	162	1s.2p	1P°1	171134.896946	1s.3d	1D2	186104.9666893
7065.19	He	I	1000	45	1s.2p	3P°1	169086.8428979	1s.3s	3S1	183236.7917
7065.71	He	I	165	6	1s.2p	3P°0	169087.8308131	1s.3s	3S1	183236.7917
7281.349	He	I	70	1	1s.2p	1P°1	171134.896946	1s.3s	1S0	184864.82932
