λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.38	Hf	I	330	-						
3806.07	Hf	II	330	-						
3811.78	Hf	I	50	-						
3817.2	Hf	II	270	-						
3819.38	Hf	I	375	1						
3820.73	Hf	I	95	-						
3829.67	Hf	I	70	-						
3830.02	Hf	I	225	-						
3849.18	Hf	I	495	1						
3849.52	Hf	II	135	-						
3858.31	Hf	I	195	-						
3860.91	Hf	I	240	-						
3872.55	Hf	II	915	2						
3877.1	Hf	II	1500	3						
3880.82	Hf	II	795	2						
3882.52	Hf	I	3500	8						
3883.77	Hf	II	150	-						
3889.23	Hf	I	165	-						
3889.33	Hf	I	195	1						
3899.94	Hf	I	870	3						
3918.09	Hf	II	1500	5						
3923.9	Hf	II	765	3						
3926.42	Hf	I	645	3						
3927.57	Hf	I	645	3						
3929.54	Hf	II	195	1						
3931.38	Hf	I	675	3						
3935.65	Hf	II	1000	5						
3939.04	Hf	I	585	3						
3951.83	Hf	I	1500	7						
3968.01	Hf	I	420	3						
3973.48	Hf	I	2500	18						
4032.27	Hf	I	270	5						
4047.96	Hf	II	1000	28						
4062.84	Hf	I	405	11						
4066.21	Hf	I	390	13						
4083.35	Hf	I	405	16						
4093.16	Hf	II	975	46	5d2.(3F).6s	a 4F3/2	3644.65	5d.6s.(3D).6p	z 4F°3/2	28068.79
4104.23	Hf	I	450	26						
4106.58	Hf	I	600	40						
4113.53	Hf	II	660	44						
4118.6	Hf	I	195	16						
4127.8	Hf	II	495	47						
4145.76	Hf	I	615	83						
4162.36	Hf	II	405	64						
4162.69	Hf	I	390	62						
4174.34	Hf	I	330	62	5d2.6s2	a 3F3	2356.68	5d2.6s.(a 4F).6p	z 5D°3	26305.78
4190.95	Hf	I	435	106						
4206.58	Hf	II	990	299						
4209.7	Hf	I	495	151						
4228.08	Hf	I	150	54						
4232.44	Hf	II	375	132						
4260.98	Hf	I	615	254						
4263.39	Hf	I	615	256						
4272.85	Hf	II	645	277						
4294.79	Hf	I	1000	543						
4318.14	Hf	I	315	145						
4330.27	Hf	I	210	100						
4336.66	Hf	II	750	353						
4350.51	Hf	II	495	231						
4356.33	Hf	I	555	265						
4367.9	Hf	II	1500	675						
4370.97	Hf	II	2500	1271						
4417.35	Hf	II	720	342						
4417.91	Hf	I	360	171						
4438.04	Hf	I	1000	562						
4457.34	Hf	I	300	141						
4461.18	Hf	I	285	135						
4540.93	Hf	I	915	454						
4565.94	Hf	I	1500	700						
4598.8	Hf	I	390	201						
4620.86	Hf	I	735	396						
4655.19	Hf	I	990	556						
4699.01	Hf	I	615	356						
4782.74	Hf	I	1000	658						
4800.5	Hf	I	1005	651						
4859.24	Hf	I	435	303						
4975.25	Hf	I	540	419						
5018.2	Hf	I	270	213						
5021.75	Hf	I	55	42						
5040.82	Hf	II	2000	1682						
5047.45	Hf	I	195	153						
5079.65	Hf	II	2000	1480						
5112.13	Hf	I	435	367						
5128.53	Hf	II	1000	861						
5157.96	Hf	I	450	388						
5167.42	Hf	I	105	91						
5170.18	Hf	I	330	284						
5181.86	Hf	I	645	568						
5186.84	Hf	I	85	77						
5187.75	Hf	II	630	561						
5243.99	Hf	I	165	154						
5247.1	Hf	II	720	658						
5260.44	Hf	II	525	482						
5264.95	Hf	II	1000	928						
5275.04	Hf	I	70	66						
5286.09	Hf	I	35	31						
5294.87	Hf	I	50	46						
5298.06	Hf	II	420	393						
5307.82	Hf	I	40	37						
5309.68	Hf	I	70	67						
5311.6	Hf	II	2000	1850						
5324.26	Hf	II	390	376						
5346.3	Hf	II	360	343						
5354.73	Hf	I	105	99						
5373.86	Hf	I	330	325						
5389.34	Hf	I	270	265						
5391.36	Hf	II	65	65						
5404.47	Hf	I	60	57						
5424.02	Hf	I	165	159						
5435.78	Hf	I	25	23						
5438.74	Hf	I	30	30						
5444.07	Hf	II	120	123						
5452.92	Hf	I	50	50						
5463.38	Hf	II	375	367						
5497.3	Hf	I	30	29						
5510.12	Hf	I	15	13						
5510.45	Hf	I	55	56						
5524.35	Hf	II	225	224						
5538.02	Hf	I	20	20						
5538.26	Hf	I	15	15						
5550.6	Hf	I	165	162						
5552.12	Hf	I	225	226						
5575.86	Hf	I	255	253						
5600.77	Hf	I	70	71						
5613.27	Hf	I	120	118						
5614.01	Hf	I	30	31						
5628.27	Hf	I	35	35						
5650.83	Hf	I	50	51						
5713.28	Hf	I	15	13						
5719.18	Hf	I	105	101						
5748.72	Hf	I	135	135						
5767.18	Hf	II	270	256						
5809.5	Hf	II	210	196						
5817.47	Hf	I	15	14						
5842.23	Hf	II	135	127						
5845.87	Hf	I	8	7						
5847.77	Hf	I	6	6						
5883.66	Hf	I	75	68						
5926.47	Hf	I	210	182						
5933.69	Hf	I	795	673						
5974.28	Hf	I	615	497						
5974.72	Hf	I	120	98						
5978.66	Hf	I	330	262						
5992.96	Hf	I	120	102						
6016.79	Hf	I	540	417						
6054.17	Hf	I	555	417						
6098.67	Hf	I	540	380						
6185.13	Hf	I	675	409						
6210.7	Hf	I	345	205						
6216.82	Hf	I	240	140						
6238.58	Hf	I	135	76						
6248.95	Hf	II	480	269						
6299.54	Hf	I	150	78						
6311.85	Hf	I	150	76						
6318.33	Hf	I	95	46						
6338.1	Hf	I	135	61						
6380.19	Hf	I	70	29						
6386.23	Hf	I	210	90						
6409.52	Hf	I	50	19						
6556.5	Hf	I	45	12						
6587.23	Hf	I	50	13						
6644.6	Hf	II	660	139						
6647.06	Hf	II	285	58						
6659.4	Hf	I	15	3						
6713.48	Hf	I	390	67						
6754.61	Hf	II	660	97						
6769.95	Hf	I	135	19						
6789.27	Hf	I	795	101						
6818.94	Hf	I	1000	124						
6826.56	Hf	I	135	15						
6850.07	Hf	I	450	46						
6858.7	Hf	I	375	36						
6911.4	Hf	I	840	67						
6926.19	Hf	I	375	27						
6979.59	Hf	I	30	2						
6980.91	Hf	II	300	17						
7019.25	Hf	I	40	2						
7030.33	Hf	II	600	28						
7035.13	Hf	I	40	2						
7061.9	Hf	I	105	4						
7062.87	Hf	I	50	2						
7063.83	Hf	I	345	14						
7094.4	Hf	I	50	2						
7100.54	Hf	I	50	2						
7119.52	Hf	I	165	5						
7131.81	Hf	I	870	25						
7237.1	Hf	I	1000	16	5d2.6s2	a 3F4	4567.64	5d2.6s.(b 2D).6p	z 3D°3	18381.49
7240.87	Hf	I	810	12						
7262.62	Hf	I	20	-						
7267.58	Hf	IV	35	-						
7320.05	Hf	I	225	2						
7321.76	Hf	I	95	1						
7356.1	Hf	I	120	1						
7365.28	Hf	I	120	1						
7390.7	Hf	I	135	1						
7423.69	Hf	I	210	1						
7437.56	Hf	I	285	1						
7463.86	Hf	I	150	1						
7484.56	Hf	I	45	-						
7556.37	Hf	I	30	-						
7562.93	Hf	I	135	-						
7564.22	Hf	I	35	-						
7576.95	Hf	I	35	-						
7592.96	Hf	I	35	-						
