λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.6583	Hg	I	10	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.10s	1S0	80365.528
3806.312	Hg	II	150	-	5d10.7p	2P°1/2	108298.183	5d10.8d	2D3/2	134562.854
3815.8	Hg	I	1	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.10s	3S1	80267.97
3839.259	Hg	II	35	-	5d10.7s	2S1/2	95714.406	5d9.6s.6p	(2D<3/2>,1P<1>)°1/2	121753.739
3893.86	Hg	I	1	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.6f	1F°3	79744.4
3901.868	Hg	I	8	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.8d	3D2	79690.16
3903.638	Hg	I	2	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.8d	3D1	79678.57
3906.371	Hg	I	15	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.8d	1D2	79660.56
3983.92	Hg	I	2	-	5d9.6s2.(2D5/2).6p	2[3/2]°2	68886.43	5d10.6p2	3P1	93980.0
3983.9312	Hg	II	150	1	5d9.6s2	2D5/2	35514.624	5d10.6p	2P°3/2	60608.362
4025.95	Hg	I	15	-	5d10.6s.7s	1S0	63928.12	5d9.6s2.(2D3/2).6p	2[1/2]°1	88759.6
4046.565	Hg	I	795	19	5d10.6s.6p	3P°0	37644.982	5d10.6s.7s	3S1	62350.325
4077.837	Hg	I	25	1	5d10.6s.6p	3P°1	39412.237	5d10.6s.7s	1S0	63928.12
4108.054	Hg	I	5	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.9s	1S0	78404.24
4120.44	Hg	II	15	1	5d10.7p	2P°1/2	108298.183	5d10.9s	2S1/2	132560.55
4122.07	Hg	III	7	1						
4140.0	Hg	I	2	-	5d10.6s.6p	1P°1	54068.6829	5d10.6s.9s	3S1	78216.12
4140.34	Hg	III	95	11						
4216.74	Hg	III	35	11						
4277.995	Hg	II	7	3	5d9.6s.6p	(2D<3/2>,3P<2>)°3/2	109191.648	5d10.9s	2S1/2	132560.55
4339.2232	Hg	I	135	62	5d10.6s.6p	1P°1	54068.6829	5d10.6s.7d	3D2	77107.807
4343.634	Hg	I	20	9	5d10.6s.6p	1P°1	54068.6829	5d10.6s.7d	3D1	77084.42
4347.4945	Hg	I	210	96	5d10.6s.6p	1P°1	54068.6829	5d10.6s.7d	1D2	77063.97
4358.335	Hg	I	3500	1553	5d10.6s.6p	3P°1	39412.237	5d10.6s.7s	3S1	62350.325
4398.617	Hg	II	300	143	5d10.7p	2P°3/2	111971.464	5d10.8d	2D5/2	134699.466
4404.854	Hg	II	45	22	5d10.5f	2F°7/2	123153.775	5d10.9g	2G9/2	145849.628
4425.22	Hg	II	20	9	5d10.7p	2P°3/2	111971.464	5d10.8d	2D3/2	134562.854
4454.395	Hg	II	15	7	5d9.6s.6p	(2D<3/2>,1P<1>)°5/2	121960.399	5d10.8g	2G7/2	144403.864
4455.486	Hg	II	15	6	5d10.5f	2F°5/2	123411.351	5d10.9g	2G7/2	145849.294
4492.831	Hg	II	5	2	5d10.6d	2D5/2	105544.042	5d10.8p	2P°3/2	127795.481
4552.84	Hg	III	20	10						
4660.219	Hg	II	70	38	5d9.6s.6p	(2D<3/2>,3P<1>)°1/2	103873.302	5d10.7d	2D3/2	125325.531
4704.625	Hg	II	45	26	5d10.5f	2F°7/2	123153.775	5d10.8g	2G9/2	144403.51
4762.266	Hg	II	15	11	5d10.5f	2F°5/2	123411.351	5d10.8g	2G7/2	144403.864
4797.01	Hg	III	50	32						
4822.204	Hg	I	2	1	5d10.6s.7s	3S1	62350.325	5d10.6s.14p	1P°1	83081.93
4832.238	Hg	I	2	2	5d10.6s.7s	3S1	62350.325	5d10.6s.14p	3P°0	83038.89
4855.584	Hg	II	135	95	5d10.7p	2P°3/2	111971.464	5d10.9s	2S1/2	132560.55
4882.999	Hg	I	15	11	5d10.6s.7s	3S1	62350.325	5d10.6s.13p	1P°1	82823.816
4889.489	Hg	I	2	1	5d10.6s.7s	3S1	62350.325	5d10.6s.13p	3P°2	82796.65
4896.914	Hg	I	15	10	5d10.6s.7s	3S1	62350.325	5d10.6s.13p	3P°1	82765.67
4897.482	Hg	I	3	2	5d10.6s.7s	3S1	62350.325	5d10.6s.13p	3P°0	82763.28
4916.068	Hg	I	240	175	5d10.6s.6p	1P°1	54068.6829	5d10.6s.8s	1S0	74404.56
4961.873	Hg	II	10	9	5d9.6s.6p	(2D<5/2>,3P<1>)°5/2	84836.143	5d10.6d	2D3/2	104984.138
4980.64	Hg	I	6	4	5d10.6s.7s	3S1	62350.325	5d10.6s.12p	3P°2	82422.47
4991.601	Hg	I	15	10	5d10.6s.7s	3S1	62350.325	5d10.6s.12p	3P°1	82378.38
5025.607	Hg	II	15	10						
5045.8	Hg	I	8	7	5d10.6s.5f	3F°4	77286.86	5d9.6s2.(2D5/2).7s	2[5/2]3	97100.23
5120.637	Hg	I	7	6	5d10.6s.7s	3S1	62350.325	5d10.6s.11p	3P°2	81873.704
5128.442	Hg	II	55	47	5d9.6s.6p	(2D<5/2>,1P<1>)°3/2	106086.013	5d10.7d	2D5/2	125579.636
5137.94	Hg	I	4	3	5d10.6s.7s	3S1	62350.325	5d10.6s.11p	3P°1	81807.95
5139.926	Hg	I	2	2	5d10.6s.7s	3S1	62350.325	5d10.6s.11p	3P°0	81800.43
5162.357	Hg	II	1	1	5d9.6s.6p	(2D<5/2>,3P<1>)°3/2	86178.478	5d10.6d	2D5/2	105544.042
