λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3810.73	Ho	II	180	-	4f11.(4I°15/2).6s1/2	(15/2,1/2)°8	0.0	4f11.(4I°15/2).6p1/2	(15/2,1/2)7	26234.19
3811.86	Ho	I	2000	3						
3813.25	Ho	II	65	-						
3821.73	Ho	II	1500	2						
3829.27	Ho	I	1500	2						
3831.9	Ho	II	25	-						
3835.35	Ho	II	25	-						
3837.51	Ho	II	60	-						
3842.05	Ho	II	30	-						
3843.86	Ho	II	40	-						
3846.73	Ho	II	40	-						
3849.88	Ho	I	1000	2						
3852.4	Ho	II	1000	2						
3854.07	Ho	II	75	-						
3856.94	Ho	II	30	-						
3857.72	Ho	II	15	-						
3861.68	Ho	II	165	-						
3862.62	Ho	I	2000	4						
3872.05	Ho	II	40	-						
3874.09	Ho	II	40	-						
3874.68	Ho	II	30	-						
3881.61	Ho	II	35	-						
3888.96	Ho	II	240	1	4f11.(4I°13/2).6s1/2	(13/2,1/2)°6	5849.74	4f11.(4I°13/2).6p1/2	(13/2,1/2)7	31556.3
3890.42	Ho	I	30	-						
3891.02	Ho	II	1500	3	4f11.(4I°15/2).6s1/2	(15/2,1/2)°7	637.4	4f11.(4I°15/2).6p1/2	(15/2,1/2)8	26330.85
3896.76	Ho	II	35	-						
3902.23	Ho	II	75	-						
3904.44	Ho	I	40	-						
3905.68	Ho	II	315	1						
3911.8	Ho	I	45	-						
3919.45	Ho	I	150	1						
3936.44	Ho	II	645	3						
3938.85	Ho	I	135	1						
3940.53	Ho	II	840	4						
3950.56	Ho	I	390	2						
3955.73	Ho	I	585	4						
3959.51	Ho	II	135	1						
3959.68	Ho	I	195	1						
3975.88	Ho	I	120	1						
3976.93	Ho	I	240	2						
3985.71	Ho	II	330	3						
3993.73	Ho	II	300	3						
3999.58	Ho	I	150	2						
4002.59	Ho	II	75	1						
4003.39	Ho	I	100	1						
4013.5	Ho	I	1000	15						
4014.2	Ho	II	40	1						
4018.09	Ho	II	25	-						
4022.76	Ho	II	1000	18						
4023.94	Ho	II	30	-						
4025.39	Ho	I	25	-						
4027.21	Ho	I	40	1						
4028.86	Ho	I	30	-						
4031.8	Ho	I	25	-						
4037.62	Ho	I	15	-						
4038.87	Ho	II	25	-						
4040.81	Ho	I	900	18	4f11.6s2	4I°15/2	0.0	4f10.5d.6s2	13/2	24740.52
4047.52	Ho	I	15	-						
4053.93	Ho	I	945	23	4f11.6s2	4I°15/2	0.0	4f11.(4I°15/2).6s.6p.(1P°1)	(15/2,1)15/2	24660.8
4054.48	Ho	II	7	-						
4057.55	Ho	I	4	-						
4060.31	Ho	I	6	-						
4065.09	Ho	II	20	1						
4067.57	Ho	I	465	15						
4068.05	Ho	I	15	1						
4071.83	Ho	I	810	27						
4073.13	Ho	I	8	-						
4073.51	Ho	I	765	26						
4080.23	Ho	II	150	6						
4083.67	Ho	I	4	-						
4085.09	Ho	I	180	8						
4087.35	Ho	I	5	-						
4087.59	Ho	I	5	-						
4091.64	Ho	I	135	6						
4094.78	Ho	I	135	6						
4100.22	Ho	I	5	-						
4103.84	Ho	I	495	28	4f11.6s2	4I°15/2	0.0	4f11.(4I°15/2).6s.6p.(1P°1)	(15/2,1)17/2	24360.81
4105.04	Ho	I	150	10						
4106.5	Ho	I	5	-						
4107.36	Ho	I	120	8						
4108.62	Ho	I	135	9	4f11.6s2	4I°13/2	5419.7	4f11.(4I°13/2).6s.6p.(1P°1)	(13/2,1)13/2	29751.91
4112.0	Ho	I	6	-						
4112.72	Ho	I	3	-						
4116.73	Ho	I	8	1						
4120.2	Ho	I	195	16						
4125.65	Ho	I	100	9						
4127.16	Ho	I	735	71	4f11.6s2	4I°13/2	5419.7	4f11.(4I°13/2).6s.6p.(1P°1)	(13/2,1)15/2	29642.6
