λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3963.16	I	III	2	-						
4077.14	I	III	10	-						
4102.226	I	I	255	14	5s2.5p4.(3P2).6s	2[2]5/2	54633.46	5s2.5p4.(1D2).6p	2[3]°7/2	79003.596
4129.206	I	I	15	1	5s2.5p4.(3P2).6s	2[2]5/2	54633.46	5s2.5p4.(3P2).8p	2[3]°7/2	78844.303
4134.146	I	I	75	7	5s2.5p4.(3P2).6s	2[2]5/2	54633.46	5s2.5p4.(3P2).8p	2[2]°3/2	78815.44
4321.836	I	I	85	39	5s2.5p4.(3P2).6s	2[2]3/2	56092.881	5s2.5p4.(3P2).8p	2[1]°3/2	79224.656
4452.858	I	II	345	168	5s2.5p3.(4S°).6p	5P2	99327.14	5s2.5p3.(4S°).6d	5D°3	121778.34
4599.769	I	II	90	48						
4632.446	I	II	105	57	5s2.5p3.(4S°).6s	5S°2	81032.7	5s2.5p3.(4S°).6p	3P2	102613.52
4666.484	I	II	510	285	5s2.5p3.(4S°).6p	5P3	100402.68	5s2.5p3.(4S°).6d	5D°4	121826.09
4675.53	I	II	105	57	5s2.5p3.(2D°).6s	1D°2	97700.81	5s2.5p3.(2D°).6p	1D2	119082.78
4763.307	I	I	195	121	5s2.5p4.(3P2).6s	2[2]5/2	54633.46	5s2.5p4.(3P2).7p	2[1]°3/2	75621.427
4862.315	I	I	150	109	5s2.5p4.(3P2).6s	2[2]5/2	54633.46	5s2.5p4.(3P2).7p	2[3]°7/2	75194.056
4916.937	I	I	60	43	5s2.5p4.(3P2).6s	2[2]5/2	54633.46	5s2.5p4.(3P2).7p	2[2]°5/2	74965.635
4986.922	I	II	95	76	5s2.5p3.(4S°).5d	3D°1	92132.61	5s2.5p3.(2D°).6p	3D2	112179.49
5065.37	I	II	105	85	5s.5p5	3P°2	81907.83	5s2.5p3.(4S°).6p	3P1	101644.21
5119.287	I	I	315	269	5s2.5p4.(3P2).6s	2[2]3/2	56092.881	5s2.5p4.(3P2).7p	2[1]°3/2	75621.427
5149.73	I	II	8	7	5s2.5p3.(4S°).5d	3D°3	93005.95	5s2.5p3.(2D°).6p	3F3	112419.04
5161.2	I	II	270	241	5s2.5p3.(4S°).6s	5S°2	81032.7	5s2.5p3.(4S°).6p	5P3	100402.68
5176.19	I	II	225	202	5s2.5p3.(2P°).6s	3P°2	110458.93	5s2.5p3.(2P°).6p	3P2	129772.76
5216.27	I	II	5	5	5s2.5p3.(4S°).5d	3D°1	92132.61	5s2.5p3.(2D°).6p	3F2	111298.09
5228.97	I	II	25	21	5s2.5p3.(2P°).6s	3P°1	106103.28	5s2.5p3.(2P°).6p	3D2	125222.2
5234.567	I	I	95	85	5s2.5p4.(3P2).6s	2[2]3/2	56092.881	5s2.5p4.(3P2).7p	2[3]°5/2	75191.337
5245.71	I	II	85	80	5s2.5p3.(2D°).6s	3D°3	96650.55	5s2.5p3.(2D°).6p	3P2	115708.45
5269.36	I	II	25	24	5s2.5p3.(2P°).6s	3P°2	110458.93	5s2.5p3.(2P°).6p	3D3	129431.27
5299.78	I	II	7	7	5s2.5p3.(2P°).6s	1P°1	111961.58	5s2.5p3.(2P°).6p	1P1	130824.99
5322.8	I	II	9	8	5s.5p5	3P°1	84222.19	5s2.5p3.(4S°).6p	3P0	103004.04
5338.22	I	II	70	66	5s2.5p3.(2D°).6s	3D°2	93691.35	5s2.5p3.(2D°).6p	3F3	112419.04
5345.15	I	II	60	57	5s2.5p3.(2D°).6s	3D°3	96650.55	5s2.5p3.(2D°).6p	3F4	115353.94
5369.86	I	II	25	23	5s2.5p3.(2D°).6s	3D°3	96650.55	5s2.5p3.(2D°).6p	3D3	115267.82
5405.42	I	II	40	39	5s.5p5	3P°2	81907.83	5s2.5p3.(4S°).6p	5P3	100402.68
5407.36	I	II	315	304	5s2.5p3.(2D°).6s	3D°2	93691.35	5s2.5p3.(2D°).6p	3D2	112179.49
5427.055	I	I	105	104	5s2.5p4.(3P2).6s	2[2]5/2	54633.46	5s2.5p4.(3P1).6p	2[1]°3/2	73054.598
5435.83	I	II	165	159	5s.5p5	3P°1	84222.19	5s2.5p3.(4S°).6p	3P2	102613.52
5438.0	I	II	40	42	5s2.5p3.(2D°).6s	1D°2	97700.81	5s2.5p3.(2D°).6p	3P1	116084.84
5464.62	I	II	390	385	5s2.5p3.(4S°).6s	5S°2	81032.7	5s2.5p3.(4S°).6p	5P2	99327.14
5491.5	I	II	25	26	5s2.5p3.(4S°).6p	5P3	100402.68	5s2.5p3.(4S°).7s	5S°2	118607.56
5496.94	I	II	255	253	5s2.5p3.(4S°).6s	5S°2	81032.7	5s2.5p3.(4S°).6p	5P1	99219.61
5504.72	I	II	20	20	5s2.5p3.(4S°).6s	3S°1	84842.87	5s2.5p3.(4S°).6p	3P0	103004.04
5522.06	I	II	15	16	5s2.5p3.(2P°).6s	3P°2	110458.93	5s2.5p3.(2P°).6p	3S1	128563.14
5598.52	I	II	20	19	5s.5p5	1P°1	95955.85	5s2.5p3.(2D°).6p	1P1	113812.79
5600.32	I	II	40	38	5s2.5p3.(2D°).5d	3G°3	107625.89	5s2.5p3.(4S°).4f	3F4	125477.08
5612.89	I	II	15	17	5s2.5p3.(2P°).6s	1P°1	111961.58	5s2.5p3.(2P°).6p	3P2	129772.76
5625.69	I	II	90	92	5s2.5p3.(4S°).6s	3S°1	84842.87	5s2.5p3.(4S°).6p	3P2	102613.52
5678.08	I	II	60	59	5s2.5p3.(2D°).6s	3D°2	93691.35	5s2.5p3.(2D°).6p	3F2	111298.09
5690.91	I	II	25	24	5s2.5p3.(2D°).6s	1D°2	97700.81	5s2.5p3.(2D°).6p	3D3	115267.82
5702.05	I	II	20	20	5s2.5p3.(2D°).5d	3D°3	98175.75	5s2.5p3.(2D°).6p	3P2	115708.45
5710.53	I	II	180	175	5s2.5p3.(2D°).6s	3D°3	96650.55	5s2.5p3.(2D°).6p	1F3	114157.21
