λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.76	In	II	7	-	5s.6p	3P°2	108430.337	5s.7d	3D1	134726.488
3808.24	In	II	35	-	5s.4f	1F°3	123699.17	5s1/2,F=4.14g		149950.61
3834.6306	In	II	555	1	5s.5d	1D2	97628.436	5s.4f	1F°3	123699.17
3842.189	In	II	390	1	5s.5d	1D2	97628.436	5s.4f	3F°3	123648.096
3842.918	In	II	90	-	5s.5d	1D2	97628.436	5s.4f	3F°2	123642.95
3852.82	In	III	2	-						
3853.55	In	II	180	-	5s.4f	3F°3	123648.096	5s1/2,F=4.13g		149590.82
3855.52	In	II	1	-	5s.4f	3F°4	123664.85	5s1/2,F=5.13g		149594.31
3860.63	In	II	80	-	5s.4f	1F°3	123699.17	5s1/2,F=5.13g		149594.31
3888.0738	In	II	10	-	5s.6p	3P°1	107841.992	5s.8s	1S0	133554.382
3889.78	In	II	1000	3	5p2	1D2	113884.919	5s.6f	1F°3	139586.14
3894.82	In	II	180	-	5p2	1D2	113884.919	5s.6f	3F°3	139552.75
3902.0795	In	II	165	-	5s.6p	1P°1	109780.221	5s.7d	1D2	135400.325
3922.12	In	II	50	-	5s.4f	3F°3	123648.096	5s1/2,F=4.12g		149137.36
3924.14	In	II	9	-	5s.4f	3F°4	123664.85	5s1/2,F=5.12g		149140.89
3929.44	In	II	40	-	5s.4f	1F°3	123699.17	5s1/2,F=5.12g		149140.89
3929.98	In	II	20	-	5s.4f	1F°3	123699.17	5s1/2,F=4.12g		149137.36
3934.3742	In	II	20	-	5s.6p	3P°0	107662.707	5s.8s	3S1	133072.511
3936.106	In	II	3	-	5s.5d	3D2	102174.69	5s.7p	1P°1	127573.319
3962.333	In	II	65	-	5s.6p	3P°1	107841.992	5s.8s	3S1	133072.511
3986.213	In	II	2	-	5s.5d	3D2	102174.69	5s.7p	3P°2	127254.067
4004.668	In	II	30	-	5s.6p	1P°1	109780.221	5s.7d	3D2	134744.019
4007.4829	In	II	2	-	5s.6p	1P°1	109780.221	5s.7d	3D1	134726.488
4007.583	In	II	20	-	5s.5d	3D3	102308.397	5s.7p	3P°2	127254.067
4013.1	In	II	20	-	5s.4f	3F°2	123642.95	5s1/2,F=4.11g		148554.36
4013.35	In	II	60	1	5s.4f	3F°3	123648.096	5s1/2,F=5.11g		148557.89
4013.935	In	II	165	2	5s.5d	3D1	102088.72	5s.7p	3P°1	126994.89
4016.04	In	II	95	1	5s.4f	3F°4	123664.85	5s1/2,F=5.11g		148557.89
4016.61	In	II	4	-	5s.4f	3F°4	123664.85	5s1/2,F=4.11g		148554.36
4021.58	In	II	90	1	5s.4f	1F°3	123699.17	5s1/2,F=5.11g		148557.89
4022.17	In	II	20	-	5s.4f	1F°3	123699.17	5s1/2,F=4.11g		148554.36
4023.77	In	III	25	-						
4027.79	In	II	85	1	5s.5d	3D2	102174.69	5s.7p	3P°1	126994.89
4056.9378	In	II	690	19	5s.6p	3P°2	108430.337	5s.8s	3S1	133072.511
4101.745	In	I	2000	117	5s2.5p	2P°1/2	0.0	5s2.6s	2S1/2	24372.957
4109.34	In	II	5	-	5s.6d	3D1	124742.729	5s.12f	3F°2	149070.69
4115.61	In	II	2	-	5s.6d	3D2	124776.714	5s.12f	3F°3	149067.58
4122.79	In	II	30	2	5s.6d	3D3	124830.176	5s.12f	3F°4	149078.76
4140.588	In	II	6	1	5s.4f	3F°2	123642.95	5s1/2,F=4.10g		147787.35
4140.854	In	II	6	1	5s.4f	3F°3	123648.096	5s1/2,F=5.10g		147790.88
4141.458	In	II	15	2	5s.4f	3F°3	123648.096	5s1/2,F=4.10g		147787.35
4149.63	In	II	30	4	5s.4f	1F°3	123699.17	5s1/2,F=5.10g		147790.88
4205.0626	In	II	80	25	5s.6p	1P°1	109780.221	5s.8s	1S0	133554.382
4213.01	In	II	25	8	5s.6d	3D1	124742.729	5s.11f	3F°2	148472.06
4213.66	In	II	25	8	5s.6d	3D1	124742.729	5s.11f	3F°3	148468.39
4219.7	In	II	95	31	5s.6d	3D2	124776.714	5s.11f	3F°3	148468.39
4227.16	In	II	105	36	5s.6d	3D3	124830.176	5s.11f	3F°4	148479.98
4325.684	In	II	10	5	5s.4f	3F°2	123642.95	5s1/2,F=5.9g		146754.16
4326.375	In	II	10	5	5s.4f	3F°2	123642.95	5s1/2,F=4.9g		146750.53
4326.645	In	II	30	14	5s.4f	3F°3	123648.096	5s1/2,F=5.9g		146754.16
4327.332	In	II	165	75	5s.4f	3F°3	123648.096	5s1/2,F=4.9g		146750.53
4329.8	In	II	4	2	5s.4f	3F°4	123664.85	5s1/2,F=5.9g		146754.16
4336.26	In	II	30	14	5s.4f	1F°3	123699.17	5s1/2,F=5.9g		146754.16
4358.0	In	II	4	2	5s.6d	3D1	124742.729	5s.10f	3F°2	147682.61
4358.39	In	II	4	2	5s.6d	3D1	124742.729	5s.10f	3F°3	147680.47
4360.31	In	II	20	9	5s.6d	3D2	124776.714	5s.10f	1F°3	147704.35
4364.46	In	II	25	11	5s.6d	3D2	124776.714	5s.10f	3F°2	147682.61
4364.87	In	II	20	9	5s.6d	3D2	124776.714	5s.10f	3F°3	147680.47
4372.9	In	II	165	76	5s.6d	3D3	124830.176	5s.10f	3F°4	147691.91
4375.08	In	II	4	2	5s.6d	3D3	124830.176	5s.10f	3F°3	147680.47
4448.423	In	II	2	1	5p2	1S0	121289.53	5s.10p	1P°1	143763.1
4489.11	In	II	2	1	5s.7p	3P°2	127254.067	5s.16s	3S1	149523.97
4500.804	In	II	60	29	5p2	1D2	113884.919	5s.8p	1P°1	136096.93
4511.299	In	I	10000	4899	5s2.5p	2P°3/2	2212.599	5s2.6s	2S1/2	24372.957
4549.007	In	II	30	15	5p2	1D2	113884.919	5s.8p	3P°1	135861.62
4570.877	In	II	25	12	5s.6d	3D1	124742.729	5s.9f	3F°2	146614.22
4571.32	In	II	8	4	5s.6d	3D1	124742.729	5s.9f	3F°3	146612.28
4572.95	In	II	15	8	5s.6d	3D2	124776.714	5s.9f	1F°3	146638.37
4578.02	In	II	75	37	5s.6d	3D2	124776.714	5s.9f	3F°2	146614.22
4578.4	In	II	85	45	5s.6d	3D2	124776.714	5s.9f	3F°3	146612.28
4586.527	In	II	1	1	5s.7p	3P°2	127254.067	5s.15s	3S1	149050.95
4616.083	In	II	10	7	5s.4f	3F°2	123642.95	5s1/2,F=4.8g		145300.34
4616.405	In	II	8	4	5s.4f	3F°3	123648.096	5s1/2,F=5.8g		145303.91
4617.175	In	II	165	87	5s.4f	3F°3	123648.096	5s1/2,F=4.8g		145300.34
