λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.12	Ir	I	3000	3	5d7.6s2	a 4F9/2	0.0	5d7.6s.(5F).6p	z 6D°9/2	26307.5
3817.24	Ir	I	720	1	5d7.6s2	a 4F7/2	6323.91	5d7.6s.(5F).6p	z 6F°9/2	32513.43
3827.569	Ir	II	210	-	5d7.(2D2).6s	3D3	26391.28	5d7.(4F5/2).6p	(5/2,1/2)°2	52510.06
3845.948	Ir	II	105	-	5d7.(2G).6s	1G4	34319.49	5d7.(4F9/2).6p	(9/2,3/2)°3	60313.63
3865.64	Ir	I	600	1	5d8.(3F).6s	b 4F3/2	11831.09	5d7.6s.(5F).6p	z 6G°3/2	37692.75
3873.633	Ir	II	30	-	5d6.6s2	5D2	25563.67	5d7.(4P5/2).6p	(5/2,1/2)°2	51371.97
3895.592	Ir	II	720	2	5d6.6s2	5D2	25563.67	5d7.(4F7/2).6p	(7/2,1/2)°3	51226.52
3902.51	Ir	I	345	1	5d8.(3F).6s	b 4F9/2	2834.98	5d7.6s.(5F).6p	z 6F°11/2	28452.32
3915.38	Ir	I	3000	10	5d8.(3F).6s	b 4F5/2	9877.54	5d7.6s.(5F).6p	z 6G°7/2	35410.63
3934.84	Ir	I	3000	12	5d8.(3F).6s	b 4F7/2	7106.61	5d7.6s.(5F).6p	z 6F°9/2	32513.43
3951.952	Ir	II	315	2	5d6.6s2	5D4	19279.04	5d7.(4F9/2).6p	(9/2,1/2)°4	44575.7
3952.91	Ir	II	30	-	5d7.(2H).6s	3H5	25011.17	5d6.6s.(6D9/2).6p	(9/2,1/2)°4	50302.01
3986.381	Ir	II	50	-	5d6.6s2	5D1	28600.34	5d7.(4F3/2).6p	(3/2,1/2)°2	53678.68
3992.12	Ir	I	4000	35	5d8.(3F).6s	b 4F5/2	9877.54	5d7.6s.(5F).6p	z 6F°5/2	34919.83
4001.95	Ir	II	105	1	5d7.(2D2).6s	3D3	26391.28	5d7.(4P5/2).6p	(5/2,1/2)°2	51371.97
4020.03	Ir	I	2500	34	5d7.6s.(5F).6p	z 6D°9/2	26307.5	5d7.6s.(5F).7s	e 6F11/2	51175.94
4025.33	Ir	II	20	-	5d7.(2F).6s	3F3	31518.49	5d6.6s.(6D5/2).6p	(5/2,1/2)°2	56354.21
4025.4	Ir	II	150	2	5d7.(2D2).6s	3D3	26391.28	5d7.(4F7/2).6p	(7/2,1/2)°3	51226.52
4033.76	Ir	I	2000	31	5d8.(3F).6s	a 2F7/2	13087.9	5d7.6s.(5F).6p	z 4F°9/2	37871.69
4040.08	Ir	I	735	15	5d7.6s2	a 4F5/2	5784.62	5d7.6s.(5F).6p	z 6D°7/2	30529.66
4041.41	Ir	II	165	3	5d7.(2H).6s	3H6	22266.92	5d7.(4F9/2).6p	(9/2,1/2)°5	47003.95
4044.892	Ir	II	105	2	5d7.(2F).6s	3F3	31518.49	5d7.(4F9/2).6p	(9/2,3/2)°4	56233.93
4069.92	Ir	I	345	11	5d8.(3P).6s	a 4P5/2	12951.67	5d7.6s.(5F).6p	z 4D°7/2	37515.31
