λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.14	K	II	35	-	3p5.4p	3D2	186681.4	3p5.(2P°3/2).5s	2[3/2]°1	212988.6
3816.56	K	II	35	-	3p5.4p	3P2	189657.4	3p5.4d	3P°2	215851.5
3817.5	K	II	45	-	3p5.4p	3D3	186383.8	3p5.(2P°3/2).5s	2[3/2]°2	212571.2
3821.3	K	II	10	-	3p5.4p	1P1	189239.5	3p5.4d	3P°1	215400.9
3844.02	K	II	10	-	3p5.4s	3P°1	163232.2	3p5.4p	1P1	189239.5
3861.41	K	II	10	-	3p5.4p	3D2	186681.4	3p5.(2P°3/2).5s	2[3/2]°2	212571.2
3873.74	K	II	20	-	3p5.3d	3P°0	163432.1	3p5.4p	1P1	189239.5
3878.62	K	II	15	-	3p5.4p	1P1	189239.5	3p5.(2P°1/2).5s	2[1/2]°1	215014.6
3883.42	K	II	10	-	3p5.4p	3P2	189657.4	3p5.4d	3P°1	215400.9
3885.5	K	III	3	-	3s2.3p4.(3P).4s	2P3/2	212725.4	3s2.3p4.(3P).4p	4P°1/2	238455.1
3886.84	K	II	6	-	3p5.4p	3P1	190130.7	3p5.4d	3P°2	215851.5
3897.92	K	II	65	-	3p5.4s	3P°2	162502.7	3p5.4p	1D2	188150.3
3899.28	K	II	10	-	3p5.3d	3P°1	164492.0	3p5.4p	3P1	190130.7
3900.11	K	II	10	-	3p5.4p	3P0	189768.0	3p5.4d	3P°1	215400.9
3923.0	K	II	20	-	3p5.4p	1P1	189239.5	3p5.(2P°1/2).5s	2[1/2]°0	214722.7
3926.36	K	II	20	-	3p5.4p	3D1	187527.0	3p5.(2P°3/2).5s	2[3/2]°1	212988.6
3934.36	K	II	20	-	3p5.3d	1P°1	201957.6	3p5.(2P°3/2).4f	2[5/2]2	227367.2
3942.53	K	II	35	-	3p5.4p	3P2	189657.4	3p5.(2P°1/2).5s	2[1/2]°1	215014.6
3955.21	K	II	35	-	3p5.3d	3P°1	164492.0	3p5.4p	3P0	189768.0
3956.1	K	II	10	-	3p5.4p	3P1	190130.7	3p5.4d	3P°1	215400.9
3959.84	K	II	10	-	3p5.4p	3P0	189768.0	3p5.(2P°1/2).5s	2[1/2]°1	215014.6
3966.72	K	II	35	-	3p5.3d	3P°2	164927.9	3p5.4p	3P1	190130.7
3972.58	K	II	35	-	3p5.3d	3P°1	164492.0	3p5.4p	3P2	189657.4
3991.8	K	II	15	-	3p5.4p	3D1	187527.0	3p5.(2P°3/2).5s	2[3/2]°2	212571.2
3995.1	K	II	35	-	3p5.4s	3P°2	162502.7	3p5.4p	3D1	187527.0
4001.24	K	II	50	1	3p5.4s	3P°0	165145.4	3p5.4p	3P1	190130.7
4012.1	K	II	45	1	3p5.4s	3P°1	163232.2	3p5.4p	1D2	188150.3
4017.52	K	II	40	1	3p5.4p	3P1	190130.7	3p5.(2P°1/2).5s	2[1/2]°1	215014.6
4024.88	K	II	45	1	3p5.4p	1D2	188150.3	3p5.(2P°3/2).5s	2[3/2]°1	212988.6
4039.69	K	II	45	1	3p5.3d	3P°1	164492.0	3p5.4p	1P1	189239.5
4042.59	K	II	85	2	3p5.3d	3P°2	164927.9	3p5.4p	3P2	189657.4
4044.136	K	I	2500	46	3p6.4s	2S1/2	0.0	3p6.5p	2P°3/2	24720.139
