λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.5431	Kr	I	3	-	4s2.4p5.(2P°3/2).5s	2[3/2]°1	80916.768	4s2.4p5.(2P°3/2).7p	2[3/2]1	107221.333
3804.67	Kr	II	3	-	4s2.4p4.(3P).5p	4P°1/2	135781.264	4s2.4p4.(3P).5d	4D3/2	162057.31
3812.215	Kr	I	2	-	4s2.4p5.(2P°3/2).5s	2[3/2]°1	80916.768	4s2.4p5.(2P°3/2).7p	2[5/2]2	107140.8
3817.11	Kr	II	2	-	4s2.4p4.(3P).5p	4S°3/2	141720.955	4s2.4p4.(3P).5d	2P3/2	167911.34
3836.54	Kr	II	3	-	4s2.4p4.(3P).5p	4D°3/2	138379.61	4s2.4p4.(3P).5d	4P1/2	164437.45
3837.7028	Kr	I	3	-	4s2.4p5.(2P°3/2).5s	2[3/2]°2	79971.7417	4s2.4p5.(2P°3/2).4f	2[5/2]2	106021.607
3837.8152	Kr	I	3	-	4s2.4p5.(2P°3/2).5s	2[3/2]°2	79971.7417	4s2.4p5.(2P°3/2).4f	2[5/2]3	106020.843
3842.28	Kr	II	2	-	4s2.4p4.(3P).5p	4P°1/2	135781.264	4s2.4p4.(3P).6s	2P3/2	161800.17
3844.45	Kr	II	5	-	4s2.4p4.(1D).5p	2D°5/2	152314.48	4s2.4p4.(1D).5d	2D5/2	178318.69
3845.9778	Kr	I	2	-	4s2.4p5.(2P°3/2).5s	2[3/2]°2	79971.7417	4s2.4p5.(2P°3/2).4f	2[3/2]2	105965.562
3857.32	Kr	II	2	-	4s2.4p4.(3P).5p	2D°3/2	141993.94	4s2.4p4.(3P).5d	2P3/2	167911.34
3875.44	Kr	II	15	-	4s2.4p4.(3P).5p	4S°3/2	141720.955	4s2.4p4.(3P).5d	4P5/2	167517.16
3894.71	Kr	II	6	-	4s2.4p4.(3P).5p	4D°7/2	135781.415	4s2.4p4.(3P).5d	4D5/2	161450.1
3898.7	Kr	III	1	-	4s2.4p3.(2D°).4d	3D°2	172465.48	4s2.4p3.(2D°).5p	3P2	198107.78
3901.15	Kr	II	1	-	4s2.4p4.(3P).5p	4P°1/2	135781.264	4s2.4p4.(1S).4d	2D3/2	161407.57
3906.1769	Kr	II	15	-	4s2.4p4.(1D).5p	2D°5/2	152314.48	4s2.4p4.(1D).5d	2F7/2	177907.24
3912.5809	Kr	II	7	-	4s2.4p4.(3P).5s	4P5/2	112828.27	4s2.4p4.(3P).5p	4D°3/2	138379.61
3917.5542	Kr	II	5	-	4s2.4p4.(1D).5p	2D°3/2	152190.13	4s2.4p4.(1D).5d	2F5/2	177708.5
3920.0809	Kr	II	20	-	4s2.4p4.(3P).5p	4D°7/2	135781.415	4s2.4p4.(3P).5d	4D7/2	161283.59
3929.26	Kr	II	2	-	4s2.4p4.(1D).5p	2P°1/2	152239.19	4s2.4p4.(1D).5d	2P3/2	177682.11
3938.88	Kr	II	2	-	4s2.4p4.(3P).5p	4D°5/2	136069.229	4s2.4p4.(3P).5d	4D5/2	161450.1
3953.6	Kr	II	2	-	4s.4p6	2S1/2	109000.36	4s2.4p4.(3P).5p	4P°3/2	134286.667
3954.78	Kr	II	9	-	4s2.4p4.(3P).5p	4S°3/2	141720.955	4s2.4p4.(3P).5d	2F5/2	166999.69
3957.67	Kr	III	3	-	4s2.4p3.(2P°).4d	1D°2	165463.4	4s2.4p3.(2D°).5p	3D1	190723.58
3962.34	Kr	II	1	-	4s2.4p4.(3P).5p	4S°3/2	141720.955	4s2.4p4.(3P).5d	2P1/2	166951.56
3964.89	Kr	II	3	-	4s2.4p4.(3P).5p	4D°5/2	136069.229	4s2.4p4.(3P).5d	4D7/2	161283.59
3987.78	Kr	II	2	-	4s2.4p4.(3P).5s	4P3/2	115092.012	4s2.4p4.(3P).5p	4D°1/2	140161.462
3990.66	Kr	II	1	-	4s2.4p4.(3P).5p	2D°3/2	141993.94	4s2.4p4.(3P).5d	4P3/2	167045.38
3991.0797	Kr	I	2	-	4s2.4p5.(2P°3/2).5s	2[3/2]°1	80916.768	4s2.4p5.(2P°3/2).4f	2[3/2]2	105965.562
3991.94	Kr	II	1	-	4s2.4p4.(3P).5s	4P3/2	115092.012	4s2.4p4.(3P).5p	2P°3/2	140135.395
3994.8398	Kr	II	9	-	4s2.4p4.(3P).5s	4P3/2	115092.012	4s2.4p4.(3P).5p	2D°5/2	140117.228
3997.9545	Kr	II	9	-	4s2.4p4.(3P).5p	2D°3/2	141993.94	4s2.4p4.(3P).5d	2F5/2	166999.69
4002.61	Kr	III	1	-	4s2.4p3.(2P°).4d	3D°3	184891.82	4s2.4p3.(2P°).5p	3D3	209868.53
4005.57	Kr	II	3	-	4s2.4p4.(3P).5p	2D°3/2	141993.94	4s2.4p4.(3P).5d	2P1/2	166951.56
