λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.67	Lu	I	10	-	5d2.(3F).6s	4F5/2	19403.29	5d2.(3F?).6p	2F°5/2	45706.97
3829.07	Lu	I	20	-						
3841.18	Lu	I	210	-	5d.6s2	2D5/2	1993.92	5d.6s.(1D).6p	2F°5/2	28020.11
3843.61	Lu	I	30	-						
3853.29	Lu	I	20	-						
3874.61	Lu	I	8	-	6s2.6p	2P°1/2	4136.13	5d2.(3P).6s	2P3/2	29937.9
3876.65	Lu	II	195	-						
3911.77	Lu	I	6	-						
3918.86	Lu	I	8	-	6s2.6p	2P°3/2	7476.39	6s.6p2	4P1/2	32986.62
3926.62	Lu	I	4	-	5d2.(3F).6s	4F7/2	20247.29	5d2.(3F?).6p	2F°5/2	45706.97
3968.46	Lu	I	95	1	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	4P°5/2	25191.56
3991.38	Lu	I	6	-						
4054.45	Lu	I	45	1	6s2.6p	2P°1/2	4136.13	5d2.(3P).6s	2P1/2	28793.42
4107.44	Lu	I	65	4						
4112.67	Lu	I	9	1	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	4P°3/2	24308.09
4122.49	Lu	I	30	2	5d2.(3F).6s	4F9/2	21242.26	5d2.(3F).6p	4G°11/2	45492.6
4124.73	Lu	I	375	30	6s2.6p	2P°3/2	7476.39	6s2.6d	2D5/2	31713.6
4131.79	Lu	I	20	2						
4154.08	Lu	I	120	16	6s2.6p	2P°3/2	7476.39	6s2.6d	2D3/2	31542.24
4158.98	Lu	I	80	13						
4184.25	Lu	II	1000	250						
4251.44	Lu	III	300	120						
4271.91	Lu	III	570	246						
4277.5	Lu	I	80	36						
4281.03	Lu	I	105	49	5d2.(3F).6s	4F7/2	20247.29	5d2.(3F).6p	4G°9/2	43599.65
4295.97	Lu	I	80	38	6s2.6p	2P°3/2	7476.39	5d2.(1S).6s	2S1/2	30747.3
4296.09	Lu	I	15	8						
4309.57	Lu	I	60	28	5d.6s2	2D5/2	1993.92	5d.6s.(3D).6p	4P°5/2	25191.56
4332.72	Lu	I	20	9						
4341.98	Lu	II	55	27						
4420.96	Lu	I	30	13	5d.6s.(3D).6p	2D°5/2	21462.38	5d.6s.(3D).7s?	2D5/2	44075.53
4430.48	Lu	I	55	27	5d2.(3F).6s	4F5/2	19403.29	5d2.(3F).6p	4G°7/2	41968.0
4438.79	Lu	I	8	4						
4450.81	Lu	I	75	36	6s2.6p	2P°3/2	7476.39	5d2.(3P).6s	2P3/2	29937.9
4471.55	Lu	I	15	8	5d2.(3F).6s	4F9/2	21242.26	5d2.(3F).6p	4G°9/2	43599.65
4480.15	Lu	I	8	4	5d.6s2	2D5/2	1993.92	5d.6s.(3D).6p	4P°3/2	24308.09
4490.0	Lu	III	585	284						
4498.85	Lu	I	35	17	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	4D°5/2	22221.68
4518.57	Lu	I	1000	535	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	2D°3/2	22124.76
4605.39	Lu	I	40	21	5d2.(3F).6s	4F3/2	18851.31	5d2.(3F).6p	4G°5/2	40558.92
4645.47	Lu	I	495	270						
4648.21	Lu	I	510	281						
4648.85	Lu	I	510	283						
4658.02	Lu	I	2000	1194	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	2D°5/2	21462.38
4659.03	Lu	I	210	119						
4689.77	Lu	I	50	29	6s2.6p	2P°3/2	7476.39	5d2.(3P).6s	2P1/2	28793.42
4716.7	Lu	I	40	22	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	4D°3/2	21195.37
4726.2	Lu	I	20	13						
4785.42	Lu	II	375	243						
4815.05	Lu	I	40	26	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	4D°1/2	20762.47
4839.62	Lu	II	210	144						
4865.36	Lu	II	45	31						
4904.88	Lu	I	150	105	6s2.6p	2P°1/2	4136.13	5d2.(1D).6s	2D3/2	24518.3
4942.34	Lu	I	105	76	5d.6s2	2D5/2	1993.92	5d.6s.(3D).6p	4D°5/2	22221.68
4956.43	Lu	III	675	515						
4966.13	Lu	I	9	7	5d.6s2	2D5/2	1993.92	5d.6s.(3D).6p	2D°3/2	22124.76
4994.13	Lu	II	1000	831						
5001.14	Lu	I	270	210	6s2.6p	2P°1/2	4136.13	6s2.7s	2S1/2	24125.99
5046.12	Lu	III	20	15						
5057.6	Lu	I	50	39	5d.6s.(3D).6p	4F°3/2	17427.28	5d.6s.(3D).7s	4D3/2	37193.98
5134.05	Lu	I	100	84	5d.6s.(3D).6p	4F°3/2	17427.28	5d.6s.(3D).7s	4D1/2	36899.72
5135.09	Lu	I	990	844	5d.6s2	2D5/2	1993.92	5d.6s.(3D).6p	2D°5/2	21462.38
5145.86	Lu	III	630	549						
5196.61	Lu	I	315	280	5d.6s.(3D).6p	4F°5/2	18504.58	5d.6s.(3D).7s	4D5/2	37742.56
5206.47	Lu	I	330	299	5d.6s2	2D5/2	1993.92	5d.6s.(3D).6p	4D°3/2	21195.37
5304.4	Lu	I	150	145	5d.6s.(3D).6p	4F°7/2	20432.53	5d.6s.(3D).7s	4D7/2	39279.48
5349.12	Lu	I	85	82	5d.6s.(3D).6p	4F°5/2	18504.58	5d.6s.(3D).7s	4D3/2	37193.98
5402.57	Lu	I	285	277	5d.6s2	2D3/2	0.0	5d.6s.(3D).6p	4F°5/2	18504.58
5419.42	Lu	III	55	54						
5421.9	Lu	I	95	93	5d.6s2	2D5/2	1993.92	5d.6s.(3D).6p	4F°7/2	20432.53
5437.88	Lu	I	55	56	6s2.6p	2P°3/2	7476.39	5d2.(3F).6s	2F5/2	25860.78
5453.57	Lu	I	15	15	6s2.6p	2P°1/2	4136.13	5d2.(3P).6s	4P3/2	22467.56
5476.69	Lu	II	2000	1880	5d.6s	3D3	14199.08	6s.6p	3P°2	32453.26
5519.88	Lu	III	165	164						
5526.8	Lu	III	15	16						
5664.89	Lu	II	35	34						
5713.49	Lu	II	25	22						
