λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.87	Mg	I	10	-	3s.3p	1P°1	35051.264	3s.19d	1D2	61346.7
3801.9	Mg	XI	10	-	1s.3s	3S1	12691170.0	1s.3p	3P°0	12717465.0
3805.54	Mg	IV	10	-	2s2.2p4.(1D).3p	2P°1/2	651093.9	2s2.2p4.(3P).3d	4F3/2	677363.9
3807.41	Mg	I	15	-	3s.3p	1P°1	35051.264	3s.18d	1D2	61308.4
3808.073	Mg	III	30	-	2s2.2p5.(2P°1/2).4p	2[1/2]1	564731.6	2s2.2p5.(2P°1/2).5s	2[1/2]°0	590984.2
3814.02	Mg	I	15	-	3s.3p	1P°1	35051.264	3s.17d	1D2	61262.9
3817.575	Mg	III	100	-	2s2.2p5.(2P°3/2).4p	2[3/2]2	562939.5	2s2.2p5.(2P°3/2).5s	2[3/2]°1	589126.8
3822.0	Mg	I	15	-	3s.3p	1P°1	35051.264	3s.16d	1D2	61208.2
3829.3549	Mg	I	2500	4	3s.3p	3P°0	21850.405	3s.3d	3D1	47957.058
3829.359	Mg	I	15	-	3s.3p	3P°0	21850.405	3s.3d	3D2	47957.027
3831.68	Mg	I	15	-	3s.3p	1P°1	35051.264	3s.15d	1D2	61142.1
3832.299	Mg	I	15	-	3s.3p	3P°1	21870.464	3s.3d	3D1	47957.058
3832.2996	Mg	I	15	-	3s.3p	3P°1	21870.464	3s.3d	3D1	47957.058
3832.301	Mg	I	15	-	3s.3p	3P°1	21870.464	3s.3d	3D3	47957.045
3832.3037	Mg	I	1500	2	3s.3p	3P°1	21870.464	3s.3d	3D2	47957.027
3832.304	Mg	I	4000	6	3s.3p	3P°1	21870.464	3s.3d	3D2	47957.027
3836.2	Mg	VIII	15	-	2s.2p.(3P°).3p	2S1/2	1460910.0	2s.2p.(1P°).3s	2P°3/2	1486970.0
3838.29	Mg	I	5000	8	3s.3p	3P°2	21911.178	3s.3d	3D1	47957.058
3838.2918	Mg	I	1500	2	3s.3p	3P°2	21911.178	3s.3d	3D3	47957.045
3838.292	Mg	I	15	-	3s.3p	3P°2	21911.178	3s.3d	3D3	47957.045
3838.2943	Mg	I	15	-	3s.3p	3P°2	21911.178	3s.3d	3D2	47957.027
3838.295	Mg	I	15	-	3s.3p	3P°2	21911.178	3s.3d	3D2	47957.027
3843.7	Mg	I	15	-	3s.3p	1P°1	35051.264	3s.14d	1D2	61060.5
3844.951	Mg	I	150	-	3s.3p	3P°0	21850.405	3s.4p	3P°2	47851.162
3845.949	Mg	I	15	-	3s.3p	3P°0	21850.405	3s.4p	3P°1	47844.414
3847.92	Mg	I	15	-	3s.3p	3P°1	21870.464	3s.4p	3P°2	47851.162
3848.209	Mg	II	150	-	2p6.3d	2D5/2	71490.19	2p6.5p	2P°3/2	97468.92
3848.335	Mg	II	150	-	2p6.3d	2D3/2	71491.06	2p6.5p	2P°3/2	97468.92
3848.914	Mg	I	30	-	3s.3p	3P°1	21870.464	3s.4p	3P°1	47844.414
3848.92	Mg	I	30	-	3s.3p	3P°1	21870.464	3s.4p	3P°1	47844.414
3849.408	Mg	I	15	-	3s.3p	3P°1	21870.464	3s.4p	3P°0	47841.119
3850.385	Mg	II	120	-	2p6.3d	2D3/2	71491.06	2p6.5p	2P°1/2	97455.12
3852.18	Mg	IV	15	-	2s2.2p4.(1S).3s	2S1/2	624109.6	2s2.2p4.(1D).3p	2P°3/2	650061.6
3853.96	Mg	I	120	-	3s.3p	3P°2	21911.178	3s.4p	3P°2	47851.162
3854.962	Mg	I	15	-	3s.3p	3P°2	21911.178	3s.4p	3P°1	47844.414
3854.965	Mg	I	35	-	3s.3p	3P°2	21911.178	3s.4p	3P°1	47844.414
3855.452	Mg	I	15	-	3s.3p	3P°2	21911.178	3s.4p	3P°0	47841.119
3858.86	Mg	I	70	-	3s.3p	1P°1	35051.264	3s.13d	1D2	60958.31
3870.456	Mg	III	95	-	2s2.2p5.(2P°3/2).4p	2[3/2]2	562939.5	2s2.2p5.(2P°3/2).5s	2[3/2]°2	588768.9
3878.306	Mg	I	95	-	3s.3p	1P°1	35051.264	3s.12d	1D2	60828.41
3890.241	Mg	I	95	-	3p2	3P0	57812.77	3p.3d	3D°1	83511.25
3891.906	Mg	I	65	-	3p2	3P1	57833.4	3p.3d	3D°2	83520.47
3893.304	Mg	I	95	-	3p2	3P1	57833.4	3p.3d	3D°1	83511.25
3895.572	Mg	I	180	1	3p2	3P2	57873.94	3p.3d	3D°3	83536.84
3898.12	Mg	I	90	-	3p2	3P2	57873.94	3p.3d	3D°2	83520.47
3899.1	Mg	VIII	10	-	2s.2p.(3P°).3s	2P°3/2	1383760.0	2s.2p.(3P°).3p	2P3/2	1409400.0
3899.46	Mg	I	10	-	3p2	3P2	57873.94	3p.3d	3D°1	83511.25
3903.859	Mg	I	135	-	3s.3p	1P°1	35051.264	3s.11d	1D2	60659.69
3938.4	Mg	I	105	-	3s.3p	1P°1	35051.264	3s.10d	1D2	60435.099
3946.88	Mg	IV	10	-	2s2.2p4.(1D).3s	2D5/2	582562.4	2s2.2p4.(3P).3p	2D°5/2	607891.7
3949.37	Mg	IV	10	-	2s2.2p4.(1D).3s	2D3/2	582578.4	2s2.2p4.(3P).3p	2D°5/2	607891.7
3949.4	Mg	VI	10	-	2s.2p4	2S1/2	401822.0	2s.2p4	2P1/2	427135.0
3975.738	Mg	III	35	-	2s2.2p5.(2P°3/2).4d	2[1/2]°0	581567.5	2s2.2p5.(2P°3/2).5f	2[3/2]1	606713.1
3984.212	Mg	I	15	-	3s.3p	1P°1	35051.264	3s.10s	1S0	60143.23
3986.7533	Mg	I	150	1	3s.3p	1P°1	35051.264	3s.9d	1D2	60127.239
4001.345	Mg	III	30	-	2s2.2p5.(2P°3/2).4d	2[1/2]°1	581734.7	2s2.2p5.(2P°3/2).5f	2[3/2]2	606719.4
4002.304	Mg	III	15	-	2s2.2p5.(2P°3/2).4d	2[1/2]°1	581734.7	2s2.2p5.(2P°3/2).5f	2[3/2]1	606713.1
4026.78	Mg	III	30	-	2s2.2p5.(2P°3/2).4p	2[1/2]0	564300.0	2s2.2p5.(2P°3/2).5s	2[3/2]°1	589126.8
4038.255	Mg	III	70	1	2s2.2p5.(2P°3/2).4d	2[3/2]°2	582074.4	2s2.2p5.(2P°3/2).5f	2[5/2]3	606830.7
4039.135	Mg	III	40	1	2s2.2p5.(2P°3/2).4p	2[1/2]1	559987.1	2s2.2p5.(2P°1/2).4d	2[3/2]°2	584737.9
4054.689	Mg	I	25	1	3s.3p	1P°1	35051.264	3s.9s	1S0	59707.11
4056.48	Mg	III	10	-	2s2.2p5.(2P°3/2).4d	2[3/2]°2	582074.4	2s2.2p5.(2P°3/2).5f	2[3/2]2	606719.4
4057.35	Mg	III	85	2	2s2.2p5.(2P°3/2).4d	2[7/2]°4	582134.8	2s2.2p5.(2P°3/2).5f	2[9/2]5	606774.5
4057.5052	Mg	I	100	3	3s.3p	1P°1	35051.264	3s.8d	1D2	59689.991
4062.2	Mg	VIII	10	-	2s.2p.(3P°).3s	2P°3/2	1383760.0	2s.2p.(3P°).3p	2P1/2	1408370.0
4071.729	Mg	I	10	-	3s.3p	3P°0	21850.405	3s.3d	1D2	46403.065
4075.058	Mg	I	10	-	3s.3p	3P°1	21870.464	3s.3d	1D2	46403.065
4075.059	Mg	I	40	2	3s.3p	3P°1	21870.464	3s.3d	1D2	46403.065
4081.832	Mg	I	10	-	3s.3p	3P°2	21911.178	3s.3d	1D2	46403.065
4081.833	Mg	I	30	1	3s.3p	3P°2	21911.178	3s.3d	1D2	46403.065
4082.939	Mg	III	95	4	2s2.2p5.(2P°3/2).4d	2[7/2]°3	582290.1	2s2.2p5.(2P°3/2).5f	2[9/2]4	606775.4
4094.375	Mg	III	105	5	2s2.2p5.(2P°1/2).4d	2[5/2]°2	584628.5	2s2.2p5.(2P°1/2).5f	2[7/2]3	609045.4
4099.787	Mg	I	20	1	3s.5d	1D2	56308.381	3p.3d	1D°2	80693.01
4111.992	Mg	III	195	13	2s2.2p5.(2P°1/2).4d	2[5/2]°3	584733.4	2s2.2p5.(2P°1/2).5f	2[7/2]4	609045.7
4112.835	Mg	III	100	7	2s2.2p5.(2P°1/2).4d	2[3/2]°2	584737.9	2s2.2p5.(2P°1/2).5f	2[5/2]3	609045.2
4140.688	Mg	III	240	28	2s2.2p5.(2P°3/2).4d	2[5/2]°2	582747.3	2s2.2p5.(2P°3/2).5f	2[7/2]3	606891.1
4143.1	Mg	VI	85	10	2s.2p3.(3P°).3s	4P°5/2	1172610.0	2s2.2p2.(3P).4s	4P5/2	1196740.0
4147.487	Mg	III	95	13	2s2.2p5.(2P°1/2).4p	2[3/2]2	564664.6	2s2.2p5.(2P°3/2).5s	2[3/2]°2	588768.9
4156.475	Mg	III	270	43	2s2.2p5.(2P°3/2).4d	2[5/2]°3	582839.7	2s2.2p5.(2P°3/2).5f	2[7/2]4	606891.8
