λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.24	Mn	II	20	-	3d5.(6S).4d	e 5D4	82136.483	3d5.(6S).5f	5F°5	108443.15
3800.55	Mn	I	270	-	3d5.(6S).4s.4p.(3P°)	z 4P°5/2	31001.15	3d6.(5D).5s	f 4D7/2	57305.62
3801.0	Mn	XXIV	4	-	1s.4p	3P°1	61672500.0	1s.4d	3D1	61698800.0
3801.142	Mn	II	45	-	3d5.(4F).4s	a 5F2	43850.341	3d5.(4D).4p	y 5F°1	70150.76
3801.65	Mn	II	25	-	3d5.(6S).4d	e 5D3	82144.603	3d5.(6S).5f	5F°4	108441.49
3801.91	Mn	I	90	-	3d5.4s2	a 4G11/2	25265.74	3d5.(4G).4s.4p.(3P°)	z 4G°11/2	51560.93
3802.97	Mn	II	4	-	3d5.(6S).4d	e 5D2	82151.292	3d5.(6S).5f	5F°3	108439.04
3803.072	Mn	I	4	-	3d6.(3F2).4s	a 4F9/2	34938.7	3d5.(2I).4s.4p.(3P°)	y 4I°11/2	61225.77
3803.89	Mn	II	4	-	3d5.(6S).4d	e 5D1	82155.98	3d5.(6S).5f	5F°2	108437.42
3804.018	Mn	I	4	-	3d5.4s2	a 4G11/2	25265.74	3d5.(4G).4s.4p.(3P°)	z 4G°9/2	51546.27
3804.47	Mn	II	4	-	3d5.(6S).4d	e 5D0	82158.392	3d5.(6S).5f	5F°1	108435.83
3806.72	Mn	I	225	-	3d6.(5D).4s	a 6D9/2	17052.29	3d6.(5D).4p	z 6F°11/2	43314.23
3808.505	Mn	I	4	-	3d5.4s2	a 4G5/2	25281.04	3d5.(4G).4s.4p.(3P°)	z 4G°7/2	51530.61
3809.5	Mn	XI	675	1	3s2.3p3	2D°5/2	42702.0	3s2.3p3	2P°1/2	68945.0
3809.59	Mn	I	675	1	3d6.(5D).4s	a 6D7/2	17282.0	3d6.(5D).4p	z 6F°7/2	43524.08
3810.69	Mn	I	65	-	3d5.4s2	a 4G5/2	25281.04	3d5.(4G).4s.4p.(3P°)	z 4G°5/2	51515.63
3811.653	Mn	I	4	-	3d5.4s2	a 4G7/2	25287.74	3d5.(4G).4s.4p.(3P°)	z 4G°5/2	51515.63
3812.21	Mn	II	25	-	3d5.(2F).4s	b 3F4	44521.54	3d5.(4P).4p	z 3D°3	70745.387
3812.519	Mn	II	25	-	3d6	c 1G4	59537.455	3d5.(a 2G).4p	1G°4	85759.41
3816.75	Mn	I	270	-	3d6.(5D).4s	a 6D5/2	17451.52	3d6.(5D).4p	z 6F°3/2	43644.45
3817.258	Mn	II	240	-	3d4.4s2	c 5D4	55697.014	3d5.(4F).4p	x 5F°5	81886.37
3823.51	Mn	I	330	-	3d6.(5D).4s	a 6D7/2	17282.0	3d6.(5D).4p	z 6F°9/2	43428.58
3823.89	Mn	I	225	-	3d6.(5D).4s	a 6D5/2	17451.52	3d6.(5D).4p	z 6F°5/2	43595.5
3825.04	Mn	II	90	-	3d5.(2F).4s	b 3F4	44521.54	3d5.(4D).4p	y 5F°5	70657.595
3826.613	Mn	I	4	-	3d5.(6S).4s.4p.(3P°)	z 6P°3/2	24779.32	3d5.4s.(7S).6s	g 6S5/2	50904.68
3829.68	Mn	I	270	-	3d6.(5D).4s	a 6D3/2	17568.48	3d6.(5D).4p	z 6F°1/2	43672.66
3833.86	Mn	I	1500	2	3d6.(5D).4s	a 6D3/2	17568.48	3d6.(5D).4p	z 6F°3/2	43644.45
3834.36	Mn	I	330	-	3d6.(5D).4s	a 6D5/2	17451.52	3d6.(5D).4p	z 6F°7/2	43524.08
3837.2	Mn	I	4	-	3d6.(3F2).4s	a 2F5/2	38934.94	3d5.(a 2D).4s.4p.(3P°)	w 2F°7/2	64988.22
3839.052	Mn	II	60	-	3d5.(2F).4s	b 3F3	44899.851	3d5.(4P).4p	z 3D°2	70940.568
3839.78	Mn	I	555	1	3d6.(5D).4s	a 6D1/2	17637.15	3d6.(5D).4p	z 6F°1/2	43672.66
3841.08	Mn	I	225	-	3d6.(5D).4s	a 6D3/2	17568.48	3d6.(5D).4p	z 6F°5/2	43595.5
3843.98	Mn	I	450	1	3d6.(5D).4s	a 6D1/2	17637.15	3d6.(5D).4p	z 6F°3/2	43644.45
3844.167	Mn	II	540	1	3d5.(2F).4s	b 3F4	44521.54	3d5.(4G).4p	z 3G°5	70527.61
3845.023	Mn	I	4	-	3d6.(3F2).4s	a 4F9/2	34938.7	3d5.(a 2D).4s.4p.(3P°)	w 4F°9/2	60938.97
3848.57	Mn	II	25	-	3d5.(2F).4s	b 3F4	44521.54	3d5.(4D).4p	y 5F°4	70497.79
3855.106	Mn	I	4	-	3d6.(3P2).4s	b 4P3/2	34463.37	3d6.(a 3P).4p	2D°3/2	60395.64
3857.91	Mn	II	8	-	3d6	a 1D2	43131.51	3d5.(4P).4p	z 3P°2	69044.91
3859.207	Mn	II	45	-	3d5.(4F).4s	a 5F1	43311.324	3d5.(4P).4p	z 3P°1	69216.059
3863.402	Mn	II	105	-	3d5.(2D).4s	c 3D2	43339.452	3d5.(4P).4p	z 3P°1	69216.059
3870.785	Mn	I	4	-	3d6.(3G).4s	b 4G9/2	37630.62	3d5.(4G).4s.4p.(1P°)	w 4H°11/2	63457.85
3871.683	Mn	I	4	-	3d5.4s2	a 4P1/2	27281.85	3d5.(4P).4s.4p.(3P°)	y 4D°3/2	53103.09
3872.093	Mn	I	45	-	3d6.(3G).4s	b 4G9/2	37630.62	3d5.(a 2F).4s.4p.(3P°)	4G°11/2	63449.13
3873.179	Mn	I	55	-	3d6.(3G).4s	b 4G7/2	37737.22	3d6.(3G).4p	2H°9/2	63548.49
3876.701	Mn	I	4	-	3d6.(3F2).4s	a 4F5/2	35114.98	3d5.(a 2D).4s.4p.(3P°)	w 4F°7/2	60902.8
3879.004	Mn	II	165	-	3d5.(2F).4s	b 3F2	44745.501	3d5.(4G).4p	z 3G°3	70518.06
3888.83	Mn	I	4	-	3d6.(3G).4s	b 4G7/2	37737.22	3d5.(4G).4s.4p.(1P°)	w 4H°9/2	63444.61
3889.132	Mn	II	60	-	3d5.(2D).4s	c 3D2	43339.452	3d5.(4P).4p	z 3P°2	69044.91
3891.614	Mn	I	4	-	3d6.(3H).4s	a 4H13/2	34138.88	3d6.(3H).4p	z 2I°11/2	59827.88
3894.73	Mn	I	180	-	3d5.4s2	a 4P5/2	27201.54	3d5.(4D).4s.4p.(3P°)	x 6D°7/2	52869.99
3897.618	Mn	II	285	1	3d5.(2D).4s	c 3D3	43395.395	3d5.(4P).4p	z 3P°2	69044.91
3898.067	Mn	II	285	1	3d5.(2F).4s	b 3F3	44899.851	3d5.(4G).4p	z 3G°4	70546.34
3898.344	Mn	I	135	-	3d6.(3P2).4s	b 4P5/2	33825.49	3d6.(a 3P).4p	4D°7/2	59470.14
3899.313	Mn	I	105	-	3d6.(3P2).4s	b 4P3/2	34463.37	3d6.(a 3P).4p	4D°5/2	60101.65
3902.378	Mn	II	30	-	3d5.(2F).4s	b 3F3	44899.851	3d5.(4G).4p	z 3G°3	70518.06
3905.465	Mn	II	90	-	3d5.(2F).4s	b 3F3	44899.851	3d5.(4D).4p	y 5F°4	70497.79
3912.728	Mn	I	20	-	3d6.(3P2).4s	b 4P1/2	34845.26	3d6.(a 3P).4p	2D°3/2	60395.64
3914.148	Mn	I	4	-	3d5.(6S).4s.4p.(3P°)	z 4P°1/2	31124.95	3d6.(5D).5s	i 6D1/2	56666.06
3917.324	Mn	II	90	-	3d5.(2F).4s	c 1F3	55759.322	3d5.(a 2F).4p	z 1G°4	81279.77
3918.32	Mn	I	225	1						
3918.8	Mn	VI	4	-	3p6.3d2	3F2	0.0	3p6.3d2	1G4	25511.0
3919.303	Mn	I	4	-	3d6.(3G).4s	a 2G7/2	41230.3	3d6.(a 1G).4p	v 2G°7/2	66737.82
3920.635	Mn	I	4	-	3d6.(3G).4s	b 4G5/2	37789.93	3d5.(4G).4s.4p.(1P°)	°7/2	63288.78
3923.317	Mn	I	90	-	3d6.(3H).4s	a 4H11/2	34250.52	3d6.(a 3F).4p	x 4G°9/2	59731.94
3926.11	Mn	II	15	-	3d5.(2H).4s	b 3H4	48317.83	3d5.(4D).4p	y 3F°3	73781.117
3928.292	Mn	I	4	-	3d6.(3H).4s	a 2H11/2	38008.7	3d5.(4G).4s.4p.(1P°)	w 4H°11/2	63457.85
3929.642	Mn	I	105	-	3d6.(3H).4s	a 4H9/2	34343.9	3d6.(a 3F).4p	x 4G°7/2	59784.31
3930.97	Mn	II	65	-	3d5.(2G).4s	b 1G4	52653.327	3d5.(2I).4p	z 3I°5	78085.26
3931.512	Mn	I	4	-	3d6.(3H).4s	a 2H9/2	38120.18	3d6.(3G).4p	2H°9/2	63548.49
3935.525	Mn	I	4	-	3d6.(3H).4s	a 4H11/2	34250.52	3d6.(a 3F).4p	x 4G°11/2	59652.9
3936.757	Mn	I	225	1	3d6.(3H).4s	a 4H7/2	34423.27	3d6.(a 3F).4p	x 4G°5/2	59817.7
3937.748	Mn	I	65	-	3d6.(3H).4s	a 4H9/2	34343.9	3d6.(a 3F).4p	x 4G°9/2	59731.94
3941.216	Mn	II	150	1	3d5.(2H).4s	b 3H4	48317.83	3d5.(4D).4p	y 3F°4	73683.44
3942.87	Mn	I	330	2	3d5.(6S).4s.4p.(3P°)	z 4P°5/2	31001.15	3d6.(5D).5s	i 6D7/2	56356.21
3943.6	Mn	II	75	-	3d5.(2H).4s	b 3H5	48333.08	3d5.(4D).4p	y 3F°4	73683.44
3943.858	Mn	II	105	1	3d5.(4F).4s	a 5F3	43696.217	3d5.(4P).4p	z 3P°2	69044.91
3951.963	Mn	I	225	1	3d6.(3P2).4s	b 4P1/2	34845.26	3d6.(a 3P).4p	4D°1/2	60141.98
3952.42	Mn	II	80	-	3d5.(2D).4s	d 3D1	62564.771	3d5.(a 2G).4p	u 3F°2	87858.48
3952.84	Mn	I	330	2	3d6.(3P2).4s	b 4P5/2	33825.49	3d6.(a 3F).4p	4D°5/2	59116.64
3953.59	Mn	II	20	-	3d6	a 1D2	43131.51	3d5.(4P).4p	y 5P°2	68417.697
3954.565	Mn	I	4	-	3d6.(3H).4s	a 2H11/2	38008.7	3d6.(3G).4p	2H°11/2	63288.78
3967.989	Mn	II	75	1	3d5.(4F).4s	a 5F2	43850.341	3d5.(4P).4p	z 3P°2	69044.91
3970.235	Mn	II	75	1	3d5.(2D).4s	c 3D1	44139.031	3d5.(4P).4p	z 3P°0	69319.33
3975.74	Mn	II	70	1	3d5.(2D).4s	d 3D2	62572.199	3d5.(a 2G).4p	u 3F°3	87717.66
3975.89	Mn	I	180	1	3d6.(3P2).4s	b 4P1/2	34845.26	3d6.(a 3P).4p	4D°3/2	59989.77
3977.08	Mn	I	345	3	3d6.(3P2).4s	b 4P3/2	34463.37	3d6.(a 3P).4p	2D°5/2	59600.35
3978.778	Mn	I	3	-	3d6.(3H).4s	a 4H9/2	34343.9	3d6.(a 3P).4p	4D°7/2	59470.14
