λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.839	Mo	I	35	-	4d5.(4D).5s	b 5D4	20157.802	4d5.(4F).5p	v 5F°3	46453.388
3801.874	Mo	I	6	-	4d5.(4P).5s	a 5P3	18229.152	4d5.(4D).5p	y 3D°2	44524.504
3805.989	Mo	I	15	-	4d4.5s2	a 3F2	23534.407	4d5.(4F).5p	u 3F°2	49801.329
3822.545	Mo	V	4	-	4p6.4d.(2D3/2).6s	2[3/2]1	254125.95	4p6.4d.6p	3P°0	280279.09
3826.693	Mo	I	35	-	4d4.5s2	a 5D2	11454.362	4d4.5s.(6D).5p	z 5D°2	37579.174
3827.154	Mo	I	30	-	4d4.5s2	a 3F3	23668.079	4d5.(4F).5p	u 3F°3	49789.746
3828.876	Mo	I	45	-	4d4.5s2	a 5D3	11858.498	4d4.5s.(6D).5p	z 5D°3	37968.418
3833.746	Mo	I	90	-	4d4.5s2	a 5D4	12346.28	4d4.5s.(6D).5p	z 5D°4	38423.03
3839.089	Mo	V	6	-	4p6.4d.(2D3/2).6s	2[3/2]2	254464.98	4p6.4d.6p	3P°1	280505.47
3847.245	Mo	I	25	-	4d4.5s2	a 5D1	11142.784	4d4.5s.(6D).5p	z 5D°0	37128.043
3864.103	Mo	I	765	1	4d5.(6S).5s	a 7S3	0.0	4d5.(6S).5p	z 7P°3	25871.887
3869.081	Mo	I	20	-	4d4.5s2	a 5D2	11454.362	4d4.5s.(6D).5p	z 5D°1	37292.965
3886.821	Mo	I	20	-	4d4.5s2	a 5D3	11858.498	4d4.5s.(6D).5p	z 5D°2	37579.174
3901.769	Mo	I	10	-	4d4.5s2	a 5D4	12346.28	4d4.5s.(6D).5p	z 5D°3	37968.418
3902.953	Mo	I	495	1	4d5.(6S).5s	a 7S3	0.0	4d5.(6S).5p	z 7P°2	25614.367
3915.429	Mo	I	25	-	4d4.5s2	a 3P2	22875.942	4d4.5s.(4D).5p	v 5D°2	48408.687
3938.915	Mo	V	4	-	4p6.4d.(2D5/2).6s	2[5/2]3	256676.48	4p6.4d.6p	3P°2	282057.02
3941.48	Mo	II	60	-						
3943.04	Mo	I	4	-	4d4.5s2	a 3F4	23516.476	4d4.5s.(4D).5p	v 5D°4	48870.471
3943.077	Mo	I	4	-	4d5.(4D).5s	b 5D2	20280.968	4d4.5s.(4F).5p	w 5F°3	45634.691
3991.85	Mo	I	1	-	4d5.(4D).5s	a 3D1	20930.425	4d5.(4F).5p	x 3D°1	45974.34
4009.435	Mo	V	10	-	4p6.4d.(2D3/2).6s	2[3/2]1	254125.95	4p6.4d.6p	1D°2	279060.06
4036.483	Mo	VI	2	-	4p6.7f	2F°5/2	467829.78	4p6.8g	2G7/2	492596.81
4051.18	Mo	I	5	-	4d4.5s2	b 1I6	31484.615	4d5.(2H).5p	y 1H°5	56161.808
4056.012	Mo	I	15	-	4d5.(4G).5s	a 5G4	16747.72	4d5.(4G).5p	y 5F°4	41395.523
