λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3838.37	N	II	120	-	2s2.2p.3p	3P2	170666.23	2s2.2p.4s	3P°2	196711.54
3919.0	N	II	180	1	2s2.2p.3p	1P1	164610.76	2s2.2p.3d	1P°1	190120.24
3955.85	N	II	165	1	2s2.2p.3s	3P°1	148940.17	2s2.2p.3p	1D2	174212.03
3995.0	N	II	2500	24	2s2.2p.3s	1P°1	149187.8	2s2.2p.3p	1D2	174212.03
3998.63	N	III	1	-	2s2.4d	2D3/2	317747.7	2s2.5f	2F°5/2	342749.2
4003.58	N	III	2	-	2s2.4d	2D5/2	317779.5	2s2.5f	2F°7/2	342750.1
4035.08	N	II	120	2						
4041.31	N	II	150	3						
4043.53	N	II	75	2						
4057.76	N	IV	1	-	1s2.2s.3p	1P°1	404522.4	1s2.2s.3d	1D2	429159.6
4097.33	N	III	360	20	2s2.3s	2S1/2	221302.2	2s2.3p	2P°3/2	245701.3
4099.94	N	I	510	29	2s2.2p2.(3P).3s	2P1/2	86137.35	2s2.2p2.(1D).3p	2D°3/2	110521.05
4103.43	N	III	255	15	2s2.3s	2S1/2	221302.2	2s2.3p	2P°1/2	245665.4
4109.95	N	I	3000	203	2s2.2p2.(3P).3s	2P3/2	86220.51	2s2.2p2.(1D).3p	2D°5/2	110544.85
4176.16	N	II	55	12						
4195.76	N	III	2	1	2s.2p.(3P°).3s	2P°1/2	297151.2	2s.2p.(3P°).3p	2D3/2	320978.2
4200.1	N	III	4	1	2s.2p.(3P°).3s	2P°3/2	297264.4	2s.2p.(3P°).3p	2D5/2	321066.8
4227.74	N	II	375	133	2s2.2p.3p	1D2	174212.03	2s2.2p.4s	1P°1	197858.69
4236.91	N	II	1000	414						
4237.05	N	II	8	3						
4241.78	N	II	3500	1285						
4332.91	N	III	6	3	2s.2p.(3P°).3p	4D5/2	309753.5	2s.2p.(3P°).3d	4D°5/2	332826.0
4345.68	N	III	5	2	2s.2p.(3P°).3p	4D7/2	309849.8	2s.2p.(3P°).3d	4D°7/2	332854.0
4379.11	N	III	6	3						
4432.74	N	II	600	285						
4447.03	N	II	6000	2928	2s2.2p.3p	1P1	164610.76	2s2.2p.3d	1D°2	187091.37
4510.91	N	III	2	1	2s.2p.(3P°).3s	4P°1/2	287529.4	2s.2p.(3P°).3p	4D3/2	309691.8
4514.86	N	III	3	1	2s.2p.(3P°).3s	4P°5/2	287706.9	2s.2p.(3P°).3p	4D7/2	309849.8
4530.41	N	II	525	259						
4601.48	N	II	2500	1412	2s2.2p.3s	3P°1	148940.17	2s2.2p.3p	3P2	170666.23
4603.73	N	V	9	5	1s2.3s	2S1/2	456126.6	1s2.3p	2P°3/2	477842.0
4606.33	N	IV	2	1						
4607.16	N	II	1500	711	2s2.2p.3s	3P°0	148908.59	2s2.2p.3p	3P1	170607.89
4613.87	N	II	795	422	2s2.2p.3s	3P°1	148940.17	2s2.2p.3p	3P1	170607.89
4619.98	N	V	7	4	1s2.3s	2S1/2	456126.6	1s2.3p	2P°1/2	477765.7
4621.39	N	II	1500	701	2s2.2p.3s	3P°1	148940.17	2s2.2p.3p	3P0	170572.61
4630.54	N	II	7500	4146	2s2.2p.3s	3P°2	149076.52	2s2.2p.3p	3P2	170666.23
4634.14	N	III	2	1	2s2.3p	2P°1/2	245665.4	2s2.3d	2D3/2	267238.4
4640.64	N	III	3	2	2s2.3p	2P°3/2	245701.3	2s2.3d	2D5/2	267244.0
4643.08	N	II	2500	1331	2s2.2p.3s	3P°2	149076.52	2s2.2p.3p	3P1	170607.89
4788.13	N	II	3000	1813	2s2.2p.3p	3D2	166582.45	2s2.2p.3d	3D°2	187461.56
4803.29	N	II	2500	1742	2s2.2p.3p	3D3	166678.64	2s2.2p.3d	3D°3	187491.9
4847.38	N	I	300	206						
4858.82	N	III	3	2	2s.2p.(3P°).3p	4D1/2	309656.2	2s.2p.(3P°).3d	4F°3/2	330232.1
4867.15	N	III	3	2	2s.2p.(3P°).3p	4D7/2	309849.8	2s.2p.(3P°).3d	4F°9/2	330389.9
4895.11	N	II	2	1	2s.2p3	1D°2	144187.94	2s2.2p.3p	1P1	164610.76
4914.94	N	I	100	71	2s2.2p2.(3P).3s	2P1/2	86137.35	2s2.2p2.(3P).4p	2S°1/2	106477.8
4935.12	N	I	1000	832	2s2.2p2.(3P).3s	2P3/2	86220.51	2s2.2p2.(3P).4p	2S°1/2	106477.8
4944.56	N	V	1	1						
4963.98	N	I	3	2						
4987.37	N	II	75	58	2s2.2p.3p	3S1	168892.21	2s2.2p.3d	3P°0	188937.24
4994.36	N	II	150	119	2s.2p2.(4P).3s	5P2	205654.22	2s.2p2.(4P).3p	5P°3	225671.22
5001.48	N	II	1000	814	2s2.2p.3p	3D2	166582.45	2s2.2p.3d	3F°3	186570.98
5002.7	N	II	80	61	2s2.2p.3s	3P°0	148908.59	2s2.2p.3p	3S1	168892.21
5005.15	N	II	2500	2062	2s2.2p.3p	3D3	166678.64	2s2.2p.3d	3F°4	186652.49
5007.32	N	II	780	620	2s2.2p.3p	3S1	168892.21	2s2.2p.3d	3P°2	188857.37
5010.62	N	II	525	414	2s2.2p.3s	3P°1	148940.17	2s2.2p.3p	3S1	168892.21
5016.39	N	II	375	292	2s2.2p.3p	3D2	166582.45	2s2.2p.3d	3F°2	186511.58
5025.66	N	II	525	417	2s2.2p.3p	3D3	166678.64	2s2.2p.3d	3F°3	186570.98
5045.1	N	II	990	808	2s2.2p.3s	3P°2	149076.52	2s2.2p.3p	3S1	168892.21
5175.89	N	II	360	319	2s.2p2.(4P).3p	5D°3	223731.59	2s.2p2.(4P).3d	5F4	243046.56
5281.2	N	I	80	74	2s.2p4	4P5/2	88107.26	2s2.2p2.(3P).4p	4P°5/2	107037.069
5292.68	N	I	1	1						
5314.35	N	III	20	21	2s.2p.(3P°).3p	4P5/2	317395.2	2s.2p.(3P°).3d	4P°5/2	336206.9
5320.82	N	III	225	213	2s.2p.(3P°).3p	2D5/2	321066.8	2s.2p.(3P°).3d	2F°7/2	339855.5
5327.18	N	III	1	1	2s.2p.(3P°).3p	2D3/2	320978.2	2s.2p.(3P°).3d	2F°5/2	339744.6
5495.67	N	II	270	264	2s2.2p.3p	3P2	170666.23	2s2.2p.3d	3P°2	188857.37
