λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
4123.082	Na	II	30	2	2s2.2p5.3p	1S0	308860.8	2s2.2p5.(2P°1/2).4s	2[1/2]°1	333107.74
4165.0	Na	X	6	1	1s.3s	3S1	10558946.0	1s.3p	3P°1	10582947.0
4249.41	Na	I	6	2	2p6.3p	2P°1/2	16956.17025	2p6.12s	2S1/2	40482.236
4252.52	Na	I	6	2	2p6.3p	2P°3/2	16973.36619	2p6.12s	2S1/2	40482.236
4308.817	Na	II	2	1	2s2.2p5.(2P°3/2).3d	2[1/2]°1	330636.75	2s2.2p5.(2P°3/2).4f	2[3/2]2	353838.44
4309.043	Na	II	2	1	2s2.2p5.(2P°3/2).3d	2[1/2]°1	330636.75	2s2.2p5.(2P°3/2).4f	2[3/2]1	353837.23
4320.913	Na	II	25	12	2s2.2p5.(2P°3/2).3d	2[3/2]°2	330789.05	2s2.2p5.(2P°3/2).4f	2[5/2]3	353925.81
4326.98	Na	II	1	1						
4337.294	Na	II	2	1	2s2.2p5.(2P°3/2).3d	2[3/2]°2	330789.05	2s2.2p5.(2P°3/2).4f	2[3/2]2	353838.44
4341.489	Na	I	15	7	2p6.3p	2P°1/2	16956.17025	2p6.10s	2S1/2	39983.27
4344.108	Na	II	1	1	2s2.2p5.3p	1S0	308860.8	2s2.2p5.(2P°3/2).4s	2[3/2]°1	331873.93
4390.029	Na	I	35	17	2p6.3p	2P°1/2	16956.17025	2p6.8d	2D3/2	39728.7
4393.34	Na	I	45	22	2p6.3p	2P°3/2	16973.36619	2p6.8d	2D3/2	39728.7
4419.885	Na	I	10	6	2p6.3p	2P°1/2	16956.17025	2p6.9s	2S1/2	39574.85
4423.246	Na	I	10	6	2p6.3p	2P°3/2	16973.36619	2p6.9s	2S1/2	39574.85
4432.3	Na	I	1	1	2p5.(2P°).3s.3p.(3P°)	4S3/2	263745.3	2p5.3s.(3P°).4s	4P°5/2	286300.4
4494.177	Na	I	285	135	2p6.3p	2P°1/2	16956.17025	2p6.7d	2D3/2	39200.93
4497.658	Na	I	330	159	2p6.3p	2P°3/2	16973.36619	2p6.7d	2D5/2	39200.93
4524.977	Na	II	1	-	2s2.2p5.(2P°3/2).3d	2[3/2]°1	331745.06	2s2.2p5.(2P°3/2).4f	2[3/2]2	353838.44
4533.323	Na	II	1	1	2s2.2p5.(2P°3/2).4s	2[3/2]°1	331873.93	2s2.2p5.(2P°3/2).4f	2[5/2]2	353926.69
4541.633	Na	I	55	27	2p6.3p	2P°1/2	16956.17025	2p6.8s	2S1/2	38968.51
4545.186	Na	I	85	42	2p6.3p	2P°3/2	16973.36619	2p6.8s	2S1/2	38968.51
4551.518	Na	II	1	1	2s2.2p5.(2P°3/2).4s	2[3/2]°1	331873.93	2s2.2p5.(2P°3/2).4f	2[3/2]2	353838.44
4664.8107	Na	I	315	172	2p6.3p	2P°1/2	16956.17025	2p6.6d	2D3/2	38387.268
4668.5595	Na	I	765	430	2p6.3p	2P°3/2	16973.36619	2p6.6d	2D5/2	38387.255
4722.333	Na	II	2	1	2s2.2p5.(2P°1/2).3d	2[5/2]°2	332802.21	2s2.2p5.(2P°3/2).4f	2[7/2]3	353972.42
4731.141	Na	II	2	1	2s2.2p5.(2P°1/2).3d	2[5/2]°3	332841.93	2s2.2p5.(2P°3/2).4f	2[7/2]4	353972.63
4732.502	Na	II	1	1	2s2.2p5.(2P°1/2).3d	2[5/2]°2	332802.21	2s2.2p5.(2P°3/2).4f	2[5/2]2	353926.69
4741.669	Na	II	2	1	2s2.2p5.(2P°1/2).3d	2[5/2]°3	332841.93	2s2.2p5.(2P°3/2).4f	2[5/2]3	353925.81
4747.941	Na	I	195	118	2p6.3p	2P°1/2	16956.17025	2p6.7s	2S1/2	38012.042
4751.8218	Na	I	225	142	2p6.3p	2P°3/2	16973.36619	2p6.7s	2S1/2	38012.042
4978.5414	Na	I	45	36	2p6.3p	2P°1/2	16956.17025	2p6.5d	2D3/2	37036.772
4982.8134	Na	I	675	518	2p6.3p	2P°3/2	16973.36619	2p6.5d	2D5/2	37036.752
5682.6333	Na	I	150	153	2p6.3p	2P°1/2	16956.17025	2p6.4d	2D3/2	34548.764
5688.2046	Na	I	585	572	2p6.3p	2P°3/2	16973.36619	2p6.4d	2D5/2	34548.729
5889.95095	Na	I	10000	8766	2p6.3s	2S1/2	0.0	2p6.3p	2P°3/2	16973.36619
5895.92424	Na	I	5000	4319	2p6.3s	2S1/2	0.0	2p6.3p	2P°1/2	16956.17025
6154.2253	Na	I	660	432	2p6.3p	2P°1/2	16956.17025	2p6.5s	2S1/2	33200.673
6160.747	Na	I	660	422	2p6.3p	2P°3/2	16973.36619	2p6.5s	2S1/2	33200.673
