λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3802.92	Nb	I	3	-						
3803.88	Nb	I	2	-						
3804.74	Nb	I	3	-						
3810.49	Nb	I	3	-						
3815.51	Nb	I	2	-						
3818.86	Nb	II	15	-						
3824.88	Nb	I	2	-						
3825.697	Nb	IV	735	1	4d.6p	1F°3	196387.02	4d.6d	3D3	222518.65
3825.877	Nb	IV	915	1	4d.6p	3P°2	196388.25	4d.6d	3D3	222518.65
3852.873	Nb	IV	180	-	4d.6p	3P°1	195422.41	4d.6d	3D2	221369.7
3858.95	Nb	I	1	-						
3869.551	Nb	IV	25	-	4d.6p	3P°2	196388.25	4d.6d	1P1	222223.75
3877.56	Nb	I	2	-						
3882.203	Nb	IV	180	-	4d.6p	1P°1	191823.16	4d.6d	1S0	225617.55
3883.14	Nb	I	1	-						
3885.44	Nb	I	4	-						
3885.68	Nb	I	1	-						
3891.3	Nb	I	5	-						
3898.028	Nb	IV	570	2	4d.5d	3S1	169775.68	4d.6p	3P°1	195422.41
3900.115	Nb	IV	150	-	4d.6p	3P°0	195159.26	4d.6d	3D1	220792.27
3914.7	Nb	I	7	-						
3916.92	Nb	IV	75	-	4d.5d	3F4	170864.0	4d.6p	1F°3	196387.02
3920.2	Nb	I	8	-						
3921.877	Nb	IV	50	-	4d.5d	1P1	167417.56	4d.6p	3D°1	192908.33
3937.44	Nb	I	3	-						
3940.565	Nb	IV	240	1	4d.6p	3P°1	195422.41	4d.6d	3D1	220792.27
3943.313	Nb	IV	180	1	4d.5d	3F3	170114.71	4d.6p	3F°4	195466.91
3943.67	Nb	I	5	-						
3965.69	Nb	I	3	-						
3966.09	Nb	I	3	-						
3971.85	Nb	I	1	-						
3985.762	Nb	IV	150	1	4d.(2D3/2).6s	2[3/2]2	174784.05	4d.6p	1P°1	191823.16
4001.853	Nb	IV	165	2	4d.6p	3P°2	196388.25	4d.6d	3D2	221369.7
4032.235	Nb	IV	225	4	4d.5d	3F2	169198.99	4d.6p	3D°2	193992.14
4032.52	Nb	I	3	-						
4039.53	Nb	I	5	-						
4049.979	Nb	IV	50	1	4d.5d	3F2	169198.99	4d.6p	3F°3	193883.5
4052.624	Nb	IV	55	1	4d.5d	1P1	167417.56	4d.6p	1D°2	192086.01
4058.94	Nb	I	30	1						
4063.413	Nb	IV	165	4	4d.5d	3F4	170864.0	4d.6p	3F°4	195466.91
4079.73	Nb	I	45	2						
4084.86	Nb	I	1	-						
4096.533	Nb	IV	105	6	4d.6p	3P°2	196388.25	4d.6d	3D1	220792.27
4100.4	Nb	I	8	-						
4100.92	Nb	I	120	7						
4116.9	Nb	I	5	-						
4123.81	Nb	I	150	12						
4129.43	Nb	I	25	2						
4129.93	Nb	I	35	3						
4137.1	Nb	I	180	20						
4139.44	Nb	I	20	2						
4139.71	Nb	I	90	10						
4143.21	Nb	I	15	2						
4150.12	Nb	I	20	2						
4152.58	Nb	I	255	34						
4163.47	Nb	I	15	3						
4163.66	Nb	I	210	33						
4164.66	Nb	I	180	28						
4168.13	Nb	I	330	60						
4184.44	Nb	I	195	42						
4190.88	Nb	I	150	37						
4192.07	Nb	I	95	23						
4195.09	Nb	I	120	33						
4195.66	Nb	I	35	9						
4198.51	Nb	I	45	13						
4201.52	Nb	I	135	35						
4205.31	Nb	I	100	30						
4214.73	Nb	I	45	13						
4217.94	Nb	I	35	12						
4229.15	Nb	I	165	57						
4255.44	Nb	I	195	80						
4262.05	Nb	I	180	75						
4266.02	Nb	I	195	83						
4270.69	Nb	I	135	60						
4286.99	Nb	I	240	111						
4299.6	Nb	I	210	96						
4300.99	Nb	I	210	94						
