λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.457	Ne	II	3	-	2s2.2p4.(1D).3p	2P°1/2	276511.8	2s2.2p4.(3P).4d	4P3/2	302816.9602
3817.886	Ne	III	10	-	2s2.2p3.(2D°).4p	1F3	472473.64	2s2.2p3.(2D°).5s	1D°2	498658.714
3818.4236	Ne	II	1	-	2s2.2p4.(3P).3p	2P°1/2	254292.1683	2s2.2p4.(3P).3d	2D3/2	280473.555
3823.157	Ne	II	6	-	2s2.2p4.(1D).3p	2P°3/2	276276.8361	2s2.2p4.(3P).4d	2D3/2	302425.8139
3829.7503	Ne	II	2	-	2s2.2p4.(3P).3p	2P°3/2	254164.9888	2s2.2p4.(3P).3d	2D5/2	280268.9453
3840.5	Ne	II	8	-	2s2.2p4.(1D).3p	2P°3/2	276276.8361	2s2.2p4.(3P).4d	2D5/2	302307.723
3843.32	Ne	III	15	-	2s2.2p3.(2D°).4p	3F2	472027.94	2s2.2p3.(2D°).5s	3D°1	498039.74
3844.97	Ne	III	15	-	2s2.2p3.(2D°).4p	3F3	472020.08	2s2.2p3.(2D°).5s	3D°2	498020.88
3847.85	Ne	III	15	-	2s2.2p3.(2D°).4p	3F4	472013.12	2s2.2p3.(2D°).5s	3D°3	497994.44
3848.85	Ne	III	10	-	2s2.2p3.(2D°).4p	3F3	472020.08	2s2.2p3.(2D°).5s	3D°3	497994.44
3857.812	Ne	II	3	-	2s2.2p4.(1D).3p	2P°1/2	276511.8	2s2.2p4.(3P).4d	2D3/2	302425.8139
3864.5	Ne	VII	9	-	1s2.2s.7h	3H°	1562003.0	1s2.2s.8i		1587873.0
3866.8	Ne	VII	2	-	1s2.2s.3p	3P°1	1028499.59	1s2.2s.3d	3D2	1054354.4
3872.95	Ne	III	10	-	2s2.2p3.(4S°).4p	3P2	434325.76	2s2.2p3.(2P°).3d	3D°3	460138.75
3873.2	Ne	VII	1	-	1s2.2s.3p	3P°1	1028499.59	1s2.2s.3d	3D1	1054310.0
3874.72	Ne	III	6	-	2s2.2p3.(4S°).4p	3P2	434325.76	2s2.2p3.(2P°).3d	3D°2	460126.7
3877.43	Ne	III	10	-	2s2.2p3.(4S°).4p	3P1	434343.564	2s2.2p3.(2P°).3d	3D°2	460126.7
3879.18	Ne	III	7	-	2s2.2p3.(4S°).4p	3P1	434343.564	2s2.2p3.(2P°).3d	3D°1	460114.91
3881.52	Ne	III	7	-	2s2.2p3.(4S°).4p	3P0	434359.09	2s2.2p3.(2P°).3d	3D°1	460114.91
3882.698	Ne	I	1	-	2s2.2p5.(2P°1/2).3s	2[1/2]°1	135888.7173	2s2.2p5.(2P°3/2).3d	2[3/2]°1	161636.6175
3883.1	Ne	VI	2	-	2s2.4s	2S1/2	976220.0	2s2.4p	2P°3/2	1001965.0
3884.2	Ne	VII	15	-	1s2.2s.7i		1562152.0	1s2.2s.8k		1587889.0
3889.427	Ne	I	3	-	2s2.2p5.(2P°1/2).3s	2[1/2]°1	135888.7173	2s2.2p5.(2P°3/2).3d	2[7/2]°3	161592.12
3894.0	Ne	VII	2	-	1s2.2s.3p	3P°2	1028755.1	1s2.2s.3d	3D3	1054428.3
3896.847	Ne	II	6	-	2s2.2p4.(3P).4s	2P3/2	283322.3319	2s2.2p4.(3P).5p	2P°1/2	308976.8347
3899.723	Ne	I	1	-	2s2.2p5.(2P°1/2).3s	2[1/2]°1	135888.7173	2s2.2p5.(2P°3/2).3d	2[1/2]°1	161524.1739
3907.4	Ne	III	5	-	2s2.2p3.(2D°).4d	3F°3	487624.9	2s2.2p3.(2D°).5f	1G4	513210.29
3909.66	Ne	III	10	-	2s2.2p3.(2D°).4d	3F°3	487624.9	2s2.2p3.(2D°).5f	3G4	513195.13
3917.24	Ne	III	10	-	2s2.2p3.(2D°).4d	3F°4	487633.1	2s2.2p3.(2D°).5f	3G5	513154.05
