λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3986.89	Np	I	300	3						
5044.66	Np	I	300	241						
5380.98	Np		2000	1948						
5601.7	Np	I	300	299						
5652.75	Np	I	300	297						
5784.39	Np	I	300	283						
5878.04	Np	I	1000	883						
6011.22	Np	I	300	235						
6056.09	Np	I	300	221						
6073.9	Np	I	300	219						
6080.05	Np	I	300	216						
6120.49	Np	I	300	204						
6188.59	Np	I	300	184						
6200.0	Np	I	300	181						
6215.9	Np	I	300	175						
6317.84	Np	I	300	145						
6341.38	Np	I	300	139						
6566.11	Np	I	300	79						
6720.68	Np	I	300	49						
6751.32	Np	I	300	44						
6795.21	Np	I	300	37						
6802.62	Np	I	300	37						
6805.81	Np	I	300	35						
6816.44	Np	I	300	34						
6865.45	Np	I	300	28						
6907.13	Np	I	300	24						
6912.91	Np	I	300	24						
6930.31	Np	I	1000	72						
6963.63	Np	I	300	19						
6972.09	Np	I	3000	182						
7014.02	Np	I	300	15						
7018.91	Np	I	300	15						
7039.14	Np	I	300	13						
7080.01	Np	I	300	11						
7174.83	Np	I	300	7						
7184.93	Np	I	300	6						
7284.28	Np	I	300	4						
7292.29	Np	I	300	3						
7332.52	Np	I	300	3						
7370.6	Np	I	300	2						
7381.03	Np	I	300	2						
7381.65	Np	I	300	2						
7402.7	Np	I	300	2						
7512.22	Np	I	300	1						
7515.15	Np	I	300	1						
7546.05	Np	I	300	1						
