λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3802.985	O	II	50	-	2s2.2p2.(3P).3p	2P°3/2	214229.671	2s2.2p2.(3P).4s	2P3/2	240517.35
3821.538	O	II	25	-	2s2.2p2.(3P).3p	2P°1/2	214169.92	2s2.2p2.(3P).4s	2P1/2	240330.01
3823.41	O	I	300	-	2s2.2p3.(2D°).3s	3D°3	101135.407	2s2.2p3.(2P°).3p	3D3	127282.626
3830.29	O	II	45	-	2s2.2p2.(3P).3p	2P°3/2	214229.671	2s2.2p2.(3P).4s	2P1/2	240330.01
3833.074	O	II	25	-	2s2.2p2.(3P).3p	4D°5/2	206877.865	2s2.2p2.(3P).3d	2F7/2	232959.21
3842.815	O	II	25	-	2s2.2p2.(3P).3p	4D°1/2	206730.762	2s2.2p2.(3P).3d	4D3/2	232745.981
3843.587	O	II	25	-	2s2.2p2.(3P).3p	4D°3/2	206786.286	2s2.2p2.(3P).3d	2F5/2	232796.298
3847.892	O	II	25	-	2s2.2p2.(3P).3p	4D°1/2	206730.762	2s2.2p2.(3P).3d	4D1/2	232711.642
3850.797	O	II	10	-	2s2.2p2.(3P).3p	4D°3/2	206786.286	2s2.2p2.(3P).3d	4D5/2	232747.562
3851.032	O	II	25	-	2s2.2p2.(3P).3p	4D°3/2	206786.286	2s2.2p2.(3P).3d	4D3/2	232745.981
3851.471	O	II	5	-	2s2.2p2.(3P).3p	4D°7/2	207002.482	2s2.2p2.(3P).3d	2F7/2	232959.21
3856.134	O	II	45	-	2s2.2p2.(3P).3p	4D°3/2	206786.286	2s2.2p2.(3P).3d	4D1/2	232711.642
3857.166	O	II	25	-	2s2.2p2.(3P).3p	4D°5/2	206877.865	2s2.2p2.(3P).3d	2F5/2	232796.298
3863.502	O	II	10	-	2s2.2p2.(3P).3p	4D°5/2	206877.865	2s2.2p2.(3P).3d	4D7/2	232753.816
3864.426	O	II	45	-	2s2.2p2.(3P).3p	4D°5/2	206877.865	2s2.2p2.(3P).3d	4D5/2	232747.562
3864.667	O	II	10	-	2s2.2p2.(3P).3p	4D°5/2	206877.865	2s2.2p2.(3P).3d	4D3/2	232745.981
3874.092	O	II	10	-	2s2.2p2.(3P).3p	4D°1/2	206730.762	2s2.2p2.(3P).3d	4P3/2	232535.949
3875.796	O	II	30	-	2s2.2p2.(3P).3p	4D°7/2	207002.482	2s2.2p2.(3P).3d	2F5/2	232796.298
3882.192	O	II	85	-	2s2.2p2.(3P).3p	4D°7/2	207002.482	2s2.2p2.(3P).3d	4D7/2	232753.816
3882.446	O	II	25	-	2s2.2p2.(3P).3p	4D°3/2	206786.286	2s2.2p2.(3P).3d	4P3/2	232535.949
3883.13	O	II	15	-	2s2.2p2.(3P).3p	4D°7/2	207002.482	2s2.2p2.(3P).3d	4D5/2	232747.562
3893.516	O	II	10	-	2s2.2p2.(3P).3p	4D°3/2	206786.286	2s2.2p2.(3P).3d	4P5/2	232462.724
3907.455	O	II	40	-	2s2.2p2.(3P).3p	4D°5/2	206877.865	2s2.2p2.(3P).3d	4P5/2	232462.724
3911.957	O	II	345	1	2s2.2p2.(1D).3s	2D5/2	206971.68	2s2.2p2.(1D).3p	2P°3/2	232527.09
3912.107	O	II	10	-	2s2.2p2.(1D).3s	2D3/2	206972.72	2s2.2p2.(1D).3p	2P°3/2	232527.09
3919.285	O	II	75	-	2s2.2p2.(1D).3s	2D3/2	206972.72	2s2.2p2.(1D).3p	2P°1/2	232480.44
