λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3836.06	Os	I	165	-						
3840.3	Os	I	150	-						
3841.29	Os	I	30	-						
3849.94	Os	I	120	-						
3857.09	Os	I	150	-						
3865.47	Os	I	210	-						
3876.77	Os	I	390	1						
3881.86	Os	I	195	-						
3900.39	Os	I	95	-						
3901.71	Os	I	285	1						
3930.0	Os	I	65	-						
3938.59	Os	I	70	-						
3949.78	Os	I	15	-						
3961.02	Os	I	50	-						
3963.63	Os	I	315	2						
3964.96	Os	I	40	-						
3969.67	Os	I	35	-						
3975.44	Os	I	35	-						
3977.23	Os	I	360	3						
3988.18	Os	I	80	1						
4003.48	Os	I	85	1						
4004.02	Os	I	85	1						
4005.16	Os	I	60	1						
4018.26	Os	I	405	6						
4037.84	Os	I	150	3						
4041.92	Os	I	165	3						
4048.05	Os	I	35	1						
4066.69	Os	I	270	9						
4070.86	Os	I	40	1						
4071.56	Os	I	60	2						
4074.68	Os	I	135	5						
4091.82	Os	I	180	8						
4100.3	Os	I	135	8						
4112.02	Os	I	360	24						
4124.6	Os	I	45	4						
4128.96	Os	I	80	8						
4135.78	Os	I	330	38						
4137.84	Os	I	165	20						
4172.57	Os	I	210	37						
4173.23	Os	I	345	63						
4175.63	Os	I	345	73						
4184.13	Os	I	75	16						
4189.91	Os	I	165	41						
4201.45	Os	I	95	26						
4202.06	Os	I	330	88						
4211.86	Os	I	705	214						
4213.86	Os	I	150	45						
4215.16	Os	I	40	13						
4233.46	Os	I	30	11						
4260.85	Os	I	1000	491						
4264.75	Os	I	120	52						
4269.61	Os	I	180	79						
4285.9	Os	I	330	150						
4293.95	Os	I	465	207						
4311.4	Os	I	360	164						
4326.25	Os	I	240	109						
4328.68	Os	I	495	235						
4338.75	Os	I	75	35						
4351.53	Os	I	45	21						
4365.67	Os	I	240	115						
4370.66	Os	I	195	92						
4394.86	Os	I	810	381						
4397.26	Os	I	95	46						
4402.74	Os	I	270	125						
4420.47	Os	I	1500	620						
4432.41	Os	I	80	37						
4436.32	Os	I	195	91						
4439.64	Os	I	70	33						
4447.35	Os	I	450	217						
4484.76	Os	I	360	172						
4548.66	Os	I	300	153						
4550.41	Os	I	465	236						
4551.3	Os	I	480	237						
4616.78	Os	I	390	209						
4631.83	Os	I	390	214						
4663.82	Os	I	270	151						
4793.99	Os	I	510	325						
4865.6	Os	I	525	371						
5031.83	Os	I	105	83						
5039.12	Os	I	195	152						
5072.88	Os	I	100	81						
5074.77	Os	I	100	81						
5079.09	Os	I	120	96						
5103.5	Os	I	120	103						
5110.81	Os	I	135	119						
5122.23	Os	I	105	86						
5145.54	Os	I	50	42						
5149.74	Os	I	240	210						
5152.01	Os	I	20	18						
5168.98	Os	I	60	53						
5193.52	Os	I	120	110						
5202.63	Os	I	120	108						
5203.23	Os	I	50	43						
5255.82	Os	I	80	73						
5265.15	Os	I	90	83						
5283.89	Os	I	20	17						
5295.65	Os	I	65	61						
5298.78	Os	I	65	61						
5302.58	Os	I	50	46						
5336.23	Os	I	55	54						
5346.03	Os	I	25	23						
5352.25	Os	I	65	63						
5376.79	Os	I	165	164						
5403.43	Os	I	15	16						
5412.14	Os	I	45	43						
5416.34	Os	I	255	249						
5416.69	Os	I	165	156						
5417.51	Os	I	120	124						
5441.82	Os	I	15	16						
5443.31	Os	I	70	70						
5446.93	Os	I	30	30						
5447.76	Os	I	6	6						
5449.37	Os	I	45	45						
5453.4	Os	I	50	51						
5457.3	Os	I	80	78						
5470.0	Os	I	70	68						
5474.58	Os	I	20	19						
5475.13	Os	I	35	36						
5477.27	Os	I	75	76						
5481.85	Os	I	45	44						
5509.33	Os	I	80	79						
5516.01	Os	I	45	46						
5523.53	Os	I	675	671						
5546.82	Os	I	20	19						
5549.79	Os	I	15	14						
5552.88	Os	I	25	26						
5560.62	Os	I	15	14						
5580.66	Os	I	15	15						
5584.44	Os	I	105	106						
5600.5	Os	I	8	8						
5620.08	Os	I	55	55						
5637.41	Os	I	20	17						
5642.56	Os	I	15	12						
5645.25	Os	I	25	23						
5648.98	Os	I	15	13						
5660.21	Os	I	20	21						
5674.38	Os	I	25	26						
5680.88	Os	I	120	113						
5709.37	Os	I	4	4						
5721.93	Os	I	60	57						
5737.89	Os	I	4	4						
5739.72	Os	I	4	4						
5765.05	Os	I	15	15						
5780.82	Os	I	50	47						
5800.6	Os	I	50	48						
5842.49	Os	I	6	6						
5857.76	Os	I	195	177						
5860.64	Os	I	25	21						
5882.92	Os	I	60	54						
5903.98	Os	I	75	67						
5906.84	Os	I	85	75						
5908.95	Os	I	95	82						
5981.36	Os	I	30	23						
5983.22	Os	I	35	30						
5996.0	Os	I	225	179						
6015.79	Os	I	30	24						
6054.63	Os	I	150	115						
6144.53	Os	I	80	53						
6158.03	Os	I	35	22						
6227.7	Os	I	210	117						
6241.7	Os	I	20	12						
6269.41	Os	I	90	49						
6274.94	Os	I	40	21						
6286.83	Os	I	80	40						
6398.86	Os	I	45	19						
6403.15	Os	I	225	90						
6448.13	Os	I	135	49						
6520.85	Os	I	20	6						
6528.87	Os	I	20	5						
6533.14	Os	I	25	8						
6538.3	Os	I	85	24						
6576.83	Os	I	150	38						
6614.56	Os	I	95	22						
6615.43	Os	I	60	13						
6661.81	Os	I	15	3						
6729.56	Os	I	120	20						
6791.53	Os	I	120	15						
