λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3802.032	P	III	2000	2	3s.3p.(3P°).4s	4P°5/2	185045.62	3s.3p.(3P°).4p	4S3/2	211339.88
3895.056	P	III	1500	5	3s.3p.(3P°).4s	4P°3/2	184639.75	3s.3p.(3P°).4p	4P5/2	210306.05
3904.812	P	III	1500	5	3s.3p.(3P°).4s	4P°1/2	184453.79	3s.3p.(3P°).4p	4P3/2	210055.97
3914.314	P	III	1500	5						
3922.703	P	III	810	3	3s.3p.(3P°).4s	4P°1/2	184453.79	3s.3p.(3P°).4p	4P1/2	209939.2
3933.382	P	III	795	3	3s.3p.(3P°).4s	4P°3/2	184639.75	3s.3p.(3P°).4p	4P3/2	210055.97
3951.537	P	III	1000	6	3s.3p.(3P°).4s	4P°3/2	184639.75	3s.3p.(3P°).4p	4P1/2	209939.2
3957.641	P	III	1500	9	3s.3p.(3P°).4s	4P°5/2	185045.62	3s.3p.(3P°).4p	4P5/2	210306.05
3978.307	P	III	2000	17						
3997.214	P	III	960	10	3s.3p.(3P°).4s	4P°5/2	185045.62	3s.3p.(3P°).4p	4P3/2	210055.97
4057.44	P	III	600	17	3s2.3d	2D3/2	116874.56	3s2.4p	2P°3/2	141513.63
4059.312	P	III	1000	34	3s2.3d	2D5/2	116885.87	3s2.4p	2P°3/2	141513.63
4080.084	P	III	1500	69	3s2.3d	2D3/2	116874.56	3s2.4p	2P°1/2	141376.91
4083.18	P	V	1500	60						
4087.0	P	IIII	10	1	1s2.3p	2P°1/2	2846080.0	1s2.3d	2D3/2	2870540.0
4094.95	P	V	1000	54						
4178.48	P	II	3000	608						
4222.195	P	III	2500	898	3s2.4s	2S1/2	117835.95	3s2.4p	2P°3/2	141513.63
4246.72	P	III	1500	529	3s2.4s	2S1/2	117835.95	3s2.4p	2P°1/2	141376.91
4249.656	P	IV	885	352	3s.4s	1S0	233997.96	3s.4p	1P°1	257522.66
4288.6	P	II	420	190						
4385.35	P	II	795	378	3s2.3p.4p	1P1	101635.69	3s2.3p.5s	1P°1	124432.26
4402.104	P	II	8	4	3s2.3p.4p	3P0	105224.06	3s2.3p.4d	3P°1	127934.09
4417.337	P	II	240	113	3s2.3p.4p	3P1	105302.37	3s2.3p.4d	3P°1	127934.09
4420.71	P	II	555	264	3s2.3p.4s	1P°1	88893.22	3s2.3p.4p	1S0	111507.66
4424.091	P	II	240	113	3s2.3p.4p	3P1	105302.37	3s2.3p.4d	3P°0	127899.54
4428.171	P	III	555	264						
4452.46	P	II	1000	570						
4463.0	P	II	555	267						
4463.668	P	III	555	267						
4466.14	P	II	240	115	3s2.3p.4p	3P2	105549.67	3s2.3p.4d	3P°1	127934.09
4467.98	P	II	405	192						
4475.26	P	II	1000	578	3s2.3p.4p	3P2	105549.67	3s2.3p.4d	3D°3	127888.42
4479.776	P	III	555	270						
4499.24	P	II	1000	587	3s2.3p.4p	1D2	107922.93	3s2.3p.4d	1F°3	130142.72
4520.0	P	IIII	8	4	1s2.3p	2P°3/2	2849410.0	1s2.3d	2D5/2	2871530.0
4530.81	P	II	1000	606	3s2.3p.4p	3P1	105302.37	3s2.3p.4d	3P°2	127367.23
4540.288	P	IV	570	286						
4541.112	P	IV	570	286						
4548.056	P	IV	570	287						
4548.449	P	IV	405	207						
4554.83	P	II	825	415						
4558.07	P	II	825	419	3s2.3p.4p	3S1	106001.25	3s2.3p.4d	3P°1	127934.09
4565.287	P	II	840	424	3s2.3p.4p	3S1	106001.25	3s2.3p.4d	3P°0	127899.54
4581.71	P	II	255	130						
4582.18	P	II	8	4	3s2.3p.4p	3P2	105549.67	3s2.3p.4d	3P°2	127367.23
4588.04	P	II	2500	1317	3s2.3p.4p	3D2	103339.14	3s2.3p.4d	3F°3	125128.87
4589.86	P	II	2500	1319	3s2.3p.4p	3D1	103165.61	3s2.3p.4d	3F°2	124946.73
4602.08	P	II	2500	1349	3s2.3p.4p	3D3	103667.86	3s2.3p.4d	3F°4	125391.13
4626.7	P	II	615	334	3s2.3p.4p	3D2	103339.14	3s2.3p.4d	3F°2	124946.73
4658.31	P	II	990	552	3s2.3p.4p	3D3	103667.86	3s2.3p.4d	3F°3	125128.87
4669.248	P	II	9	5	3s2.3p2	3P1	164.9	3s2.3p2	1S0	21575.63
4679.028	P	II	945	536	3s2.3p.4p	3S1	106001.25	3s2.3p.4d	3P°2	127367.23
4698.183	P	II	10	6	3s2.3p.4p	3D3	103667.86	3s2.3p.4d	3F°2	124946.73
4731.0	P	IIII	10	6	1s2.3p	2P°3/2	2849410.0	1s2.3d	2D3/2	2870540.0
4736.55	P	II	10	6	3s2.3p2	3P2	469.12	3s2.3p2	1S0	21575.63
4823.696	P	II	10	8	3s2.3p.4p	3D1	103165.61	3s2.3p.5s	3P°2	123890.81
4864.42	P	II	675	471	3s2.3p.4p	3D2	103339.14	3s2.3p.5s	3P°2	123890.81
4927.2	P	II	585	427	3s2.3p.4p	3D1	103165.61	3s2.3p.5s	3P°1	123455.46
4935.631	P	II	180	136	3s2.3p.4p	1S0	111507.66	3s2.3p.4d	1P°1	131762.84
4943.53	P	II	2000	1418	3s2.3p.4p	3D3	103667.86	3s2.3p.5s	3P°2	123890.81
4954.39	P	II	930	699	3s2.3p.4p	3D1	103165.61	3s2.3p.5s	3P°0	123344.19
4969.71	P	II	2000	1587	3s2.3p.4p	3D2	103339.14	3s2.3p.5s	3P°1	123455.46
4978.15	P	I	15	11	3s2.3p2.(3P).4s	4P1/2	55939.421	3s2.3p2.(3P).5p	4S°3/2	76021.601
5015.917	P	I	15	12	3s2.3p2.(3P).4s	4P3/2	56090.626	3s2.3p2.(3P).5p	4S°3/2	76021.601
5040.805	P	II	1000	862	3s2.3p.4p	1D2	107922.93	3s2.3p.4d	1D°2	127755.5
5045.406	P	I	15	12	3s2.3p2.(3P).4s	4P3/2	56090.626	3s2.3p2.(3P).5p	4P°5/2	75905.112
5059.213	P	I	15	12	3s2.3p2.(3P).4s	4P1/2	55939.421	3s2.3p2.(3P).5p	4P°1/2	75699.831
5061.916	P	I	15	12	3s2.3p2.(3P).4s	4P1/2	55939.421	3s2.3p2.(3P).5p	4P°3/2	75689.282
5079.381	P	I	225	189	3s2.3p2.(3P).4s	4P5/2	56339.656	3s2.3p2.(3P).5p	4S°3/2	76021.601
5098.221	P	I	1500	1093	3s2.3p2.(3P).4s	4P3/2	56090.626	3s2.3p2.(3P).5p	4P°1/2	75699.831
5100.974	P	I	150	128	3s2.3p2.(3P).4s	4P3/2	56090.626	3s2.3p2.(3P).5p	4P°3/2	75689.282
5109.628	P	I	225	193	3s2.3p2.(3P).4s	4P5/2	56339.656	3s2.3p2.(3P).5p	4P°5/2	75905.112
5152.221	P	II	765	660	3s2.3p.4s	3P°0	86597.55	3s2.3p.4p	3S1	106001.25
5154.844	P	I	150	132	3s2.3p2.(3P).4s	4P3/2	56090.626	3s2.3p2.(3P).5p	4D°5/2	75484.459
5156.72	P	V	765	665						
5162.266	P	I	465	399	3s2.3p2.(3P).4s	4P5/2	56339.656	3s2.3p2.(3P).5p	4D°7/2	75705.601
5162.29	P	I	2000	1586						
