λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3873.35	Pa	I	3000	6						
3931.83	Pa	I	3000	12						
3952.62	Pa	II	3000	16						
3957.85	Pa	II	10000	61						
3970.07	Pa	II	3000	21						
3981.82	Pa	I	3000	24						
3982.23	Pa	I	10000	80						
4012.96	Pa	II	3000	37						
4018.21	Pa	II	3000	44						
4030.16	Pa	II	3000	51						
4046.93	Pa	II	3000	71						
4056.2	Pa	II	10000	281						
4070.4	Pa	II	10000	334						
4176.18	Pa	II	3000	638						
4217.23	Pa	II	10000	3308						
4248.08	Pa	II	10000	4004						
4291.34	Pa	II	3000	1350						
4601.43	Pa	II	3000	1565						
6035.78	Pa	I	3000	2268						
6162.56	Pa	I	3000	1927						
6358.61	Pa	I	3000	1335						
6379.25	Pa	I	3000	1277						
6438.97	Pa	I	3000	1111						
6792.75	Pa	I	3000	381						
6945.72	Pa	I	10000	664						
6960.09	Pa	I	3000	191						
6961.78	Pa	I	3000	191						
6992.73	Pa	I	3000	167						
7076.27	Pa	I	3000	109						
7100.94	Pa	I	3000	98						
7114.89	Pa	I	10000	312						
7171.55	Pa	I	3000	68						
7227.13	Pa	I	3000	49						
7318.79	Pa	I	3000	29						
7368.25	Pa	I	10000	71						
7471.89	Pa	I	3000	11						
7493.15	Pa	I	10000	32						
7558.26	Pa	I	3000	6						
