λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3854.08	Pb	III	195	-						
3951.92	Pb	III	55	-						
3962.48	Pb	IV	1	-						
4019.6321	Pb	I	4	-	6s2.6p2	(3/2,3/2)2	21457.7982	6s2.6p.(2P°1/2).6d	2[5/2]°3	46328.6668
4031.16	Pb	III	7	-						
4049.8	Pb	IV	2	-						
4057.8067	Pb	I	4000	108	6s2.6p2	(3/2,1/2)2	10650.3271	6s2.6p.7s	(1/2,1/2)°1	35287.2244
4062.136	Pb	I	35	1	6s2.6p2	(3/2,3/2)2	21457.7982	6s2.6p.(2P°1/2).6d	2[3/2]°1	46068.4385
4094.54	Pb	III	7	-						
4110.76	Pb	II	15	1						
4113.35	Pb	II	15	1						
4128.11	Pb	III	70	7						
4152.82	Pb	II	345	47						
4157.8144	Pb	I	80	13	6s2.6p2	(3/2,3/2)0	29466.8303	6s2.6p.9s	(1/2,1/2)°1	53511.1485
4168.0328	Pb	I	1500	248	6s2.6p2	(3/2,3/2)2	21457.7982	6s2.6p.(2P°1/2).6d	2[5/2]°2	45443.171
4242.14	Pb	II	105	38						
4244.92	Pb	II	1000	409	6s2.6d	2D5/2	68964.31	6s2.5f	2F°7/2	92515.24
4272.66	Pb	III	240	104						
4293.82	Pb	II	20	9						
4296.65	Pb	II	15	8						
4340.41258	Pb	I	285	136	6s2.6p2	(3/2,3/2)0	29466.8303	6s2.6p.(2P°1/2).7d	2[3/2]°1	52499.6391
4352.74	Pb	II	225	103						
4386.46	Pb	II	1500	732	6s2.6d	2D3/2	69739.603	6s2.5f	2F°5/2	92530.66
4496.15	Pb	IV	120	57						
4499.34	Pb	III	120	60						
4534.6	Pb	IV	465	234						
4571.21	Pb	III	255	129						
4579.051	Pb	II	75	38						
4582.27	Pb	II	75	38						
4596.45	Pb	III	8	4						
4605.4	Pb	IV	20	9						
4761.12	Pb	III	135	84						
4798.59	Pb	III	135	88						
4809.36	Pb	V	7	4						
4826.86	Pb	III	6	4						
4855.06	Pb	III	6	4						
5005.41642	Pb	I	1000	822	6s2.6p2	(3/2,3/2)0	29466.8303	6s2.6p.7s	(3/2,1/2)°1	49439.6165
5042.58	Pb	II	285	233	6s2.7p	2P°1/2	74458.99	6s2.7d	2D3/2	94284.58
5065.12	Pb	III	5	4						
5070.58	Pb	II	180	150						
5074.53	Pb	II	180	147						
5076.352	Pb	I	4	4	6s2.6p.7s	(1/2,1/2)°0	34959.9084	6s2.6p.9p	(1/2,1/2)1	54653.72
5107.2423	Pb	I	5	4	6s2.6p.7s	(1/2,1/2)°1	35287.2244	6s2.6p.9p	(1/2,1/2)0	54861.806
5111.64	Pb	II	6	5						
5191.56	Pb	III	65	59						
5201.43711	Pb	I	360	320	6s2.6p2	(3/2,3/2)0	29466.8303	6s2.6p.8s	(1/2,1/2)°1	48686.934
5367.64	Pb	II	9	9						
5372.099	Pb	II	420	403						
5523.97	Pb	III	3	3						
5544.25	Pb	II	3	3						
5608.85	Pb	II	1500	1727	6s2.7s	2S1/2	59448.56	6s2.7p	2P°3/2	77272.57
5692.3465	Pb	I	55	55	6s2.6p.7s	(1/2,1/2)°1	35287.2244	6s2.6p.(2P°1/2).5f	2[5/2]2	52849.7991
5857.96	Pb	III	4	3						
5895.6245	Pb	I	105	95	6s2.6p.7s	(1/2,1/2)°0	34959.9084	6s2.6p.8p	(1/2,3/2)1	51916.9408
5914.54	Pb	IV	4	4						
6001.8624	Pb	I	600	475	6s2.6p.7s	(1/2,1/2)°1	35287.2244	6s2.6p.8p	(1/2,3/2)2	51944.1059
6009.58	Pb	II	555	429						
6041.17	Pb	II	3	2						
6075.74	Pb	II	195	143	6s2.5f	2F°7/2	92515.24	6s2.6g	2G9/2	108969.58
6081.409	Pb	II	105	80	6s2.5f	2F°5/2	92530.66	6s2.6g	2G7/2	108969.67
6159.89	Pb	II	195	127						
6235.2656	Pb	I	40	23	6s2.6p.7s	(1/2,1/2)°1	35287.2244	6s2.6p.8p	(1/2,1/2)1	51320.5981
6650.99	Pb	V	2	-						
6660.2	Pb	II	1000	206	6s2.7s	2S1/2	59448.56	6s2.7p	2P°1/2	74458.99
6753.2	Pb	V	1	-						
6892.111	Pb	I	2	-	6s2.6p.7p	(1/2,1/2)1	42918.6434	6s2.6p.(2P°1/2).10d	2[5/2]°2	57423.972
7128.942	Pb	I	2	-	6s2.6p.7p	(1/2,1/2)1	42918.6434	6s2.6p.11s	(1/2,1/2)°1	56942.128
7193.6	Pb	II	180	4						
7228.9653	Pb	I	85	1	6s2.6p2	(3/2,3/2)2	21457.7982	6s2.6p.7s	(1/2,1/2)°1	35287.2244
7304.683	Pb	I	2	-	6s2.6p.7p	(1/2,1/2)1	42918.6434	6s2.6p.(2P°1/2).9d	2[3/2]°1	56604.735
7330.154	Pb	I	15	-	6s2.6p2	(3/2,1/2)1	7819.2626	6s2.6p2	(3/2,3/2)2	21457.7982
7346.6757	Pb	I	2	-	6s2.6p.7p	(1/2,1/2)1	42918.6434	6s2.6p.(2P°1/2).9d	2[5/2]°2	56526.4925
7558.97	Pb	II	1	-						
