λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3832.286	Pd	I	2000	3	4d9.(2D3/2).5s	2[3/2]1	10093.992	4d9.(2D5/2).5p	2[3/2]°1	36180.677
3894.1988	Pd	I	2000	5	4d9.(2D3/2).5s	2[3/2]2	11721.809	4d9.(2D5/2).5p	2[5/2]°3	37393.762
3958.6232	Pd	I	3000	17	4d9.(2D3/2).5s	2[3/2]2	11721.809	4d9.(2D5/2).5p	2[5/2]°2	36975.973
4087.3434	Pd	I	1500	67	4d9.(2D3/2).5s	2[3/2]2	11721.809	4d9.(2D5/2).5p	2[3/2]°1	36180.677
4169.8388	Pd	I	2500	434	4d9.(2D3/2).5s	2[3/2]1	10093.992	4d9.(2D5/2).5p	2[3/2]°2	34068.977
4212.9537	Pd	I	2500	789	4d9.(2D3/2).5s	2[3/2]2	11721.809	4d9.(2D5/2).5p	2[7/2]°3	35451.443
4473.5857	Pd	I	2000	1020	4d9.(2D3/2).5s	2[3/2]2	11721.809	4d9.(2D5/2).5p	2[3/2]°2	34068.977
4788.1874	Pd	I	1500	968	4d9.(2D5/2).5p	2[3/2]°2	34068.977	4d9.(2D5/2).5d	2[5/2]3	54947.87
4817.5067	Pd	I	1500	1146	4d9.(2D5/2).5p	2[3/2]°2	34068.977	4d9.(2D5/2).5d	2[3/2]2	54820.803
4875.4253	Pd	I	1500	1168	4d9.(2D5/2).5p	2[3/2]°2	34068.977	4d9.(2D5/2).5d	2[1/2]1	54574.282
5110.809	Pd	I	2000	1581	4d9.(2D5/2).5p	2[7/2]°3	35451.443	4d9.(2D5/2).5d	2[7/2]3	55012.365
5117.0072	Pd	I	960	807	4d9.(2D3/2).5p	2[5/2]°2	38811.896	4d9.(2D3/2).5d	2[7/2]3	58349.125
5163.8404	Pd	I	4500	3865	4d9.(2D5/2).5p	2[7/2]°3	35451.443	4d9.(2D5/2).5d	2[9/2]4	54811.482
5234.861	Pd	I	735	674	4d9.(2D5/2).5p	2[7/2]°4	35927.948	4d9.(2D5/2).5d	2[7/2]4	55025.335
5295.6266	Pd	I	3000	2796	4d9.(2D5/2).5p	2[7/2]°4	35927.948	4d9.(2D5/2).5d	2[9/2]5	54806.202
5312.5864	Pd	I	225	211	4d9.(2D5/2).5p	2[3/2]°1	36180.677	4d9.(2D5/2).5d	2[5/2]2	54998.664
5345.1045	Pd	I	150	143	4d9.(2D3/2).5p	2[5/2]°3	39858.361	4d9.(2D3/2).5d	2[5/2]3	58561.866
5395.2201	Pd	I	735	726	4d9.(2D3/2).5p	2[5/2]°3	39858.361	4d9.(2D3/2).5d	2[7/2]4	58388.133
5542.8067	Pd	I	1000	1081	4d9.(2D5/2).5p	2[5/2]°2	36975.973	4d9.(2D5/2).5d	2[7/2]3	55012.365
5547.0202	Pd	I	540	533	4d9.(2D5/2).5p	2[5/2]°2	36975.973	4d9.(2D5/2).5d	2[5/2]2	54998.664
5619.4632	Pd	I	450	445	4d9.(2D3/2).5p	2[3/2]°2	40771.51	4d9.(2D3/2).5d	2[5/2]3	58561.866
5642.7039	Pd	I	85	87	4d9.(2D3/2).5p	2[1/2]°1	40838.874	4d9.(2D3/2).5d	2[3/2]2	58555.957
5655.4365	Pd	I	105	103	4d9.(2D3/2).5p	2[3/2]°2	40771.51	4d9.(2D3/2).5d	2[5/2]2	58448.705
5670.0697	Pd	I	870	861	4d9.(2D5/2).5p	2[5/2]°3	37393.762	4d9.(2D5/2).5d	2[7/2]4	55025.335
5690.1283	Pd	I	90	87	4d9.(2D3/2).5p	2[1/2]°1	40838.874	4d9.(2D3/2).5d	2[3/2]1	58408.296
5695.0916	Pd	I	450	438	4d9.(2D5/2).5p	2[5/2]°3	37393.762	4d9.(2D5/2).5d	2[5/2]3	54947.87
5736.6171	Pd	I	120	113	4d9.(2D5/2).5p	2[5/2]°3	37393.762	4d9.(2D5/2).5d	2[3/2]2	54820.803
6774.5166	Pd	I	2000	289	4d8.5s2	3F4	25101.235	4d9.(2D3/2).5p	2[5/2]°3	39858.361
6784.4887	Pd	I	2000	246	4d9.(2D5/2).5p	2[3/2]°2	34068.977	4d9.(2D5/2).6s	2[5/2]3	48804.413
6833.4456	Pd	I	690	75	4d9.(2D3/2).5p	2[3/2]°1	40368.796	4d9.(2D5/2).5d	2[5/2]2	54998.664
7016.446	Pd	I	150	7	4d9.(2D3/2).5p	2[1/2]°0	38088.192	4d9.(2D3/2).6s	2[3/2]1	52336.492
7310.053	Pd	I	75	1	4d9.(2D3/2).5p	2[5/2]°2	38811.896	4d9.(2D3/2).6s	2[3/2]2	52487.92
7368.095	Pd	I	300	2	4d9.(2D5/2).5p	2[7/2]°3	35451.443	4d9.(2D5/2).6s	2[5/2]2	49019.733
7391.9	Pd	I	150	1	4d9.(2D3/2).5p	2[5/2]°2	38811.896	4d9.(2D3/2).6s	2[3/2]1	52336.492
7486.908	Pd	I	120	-	4d9.(2D5/2).5p	2[7/2]°3	35451.443	4d9.(2D5/2).6s	2[5/2]3	48804.413
