λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.3	Pr	II	960	1						
3804.84	Pr	II	480	1						
3809.18	Pr	II	765	1						
3811.84	Pr	II	240	-	4f3.(4I°9/2).6s1/2	(9/2,1/2)°4	0.0	4f3.(4I°).6p?	4	26226.56
3817.25	Pr	III	10	-						
3817.66	Pr	II	20	-						
3818.28	Pr	II	1000	2						
3819.14	Pr	II	30	-						
3821.8	Pr	II	465	1	4f2.(3H).5d2.(3F)?	5I?4	7227.99	4f2.5d.6p?	°5	33387.62
3823.18	Pr	II	1000	2	4f2.5d.6s?	5I4	7832.43	4f2.5d.6p?	°4	34322.69
3826.67	Pr	II	35	-	4f3.(4I°).5d	5L°6	3893.46	4f3.(4I°).6p?	5H?7	30018.1
3830.72	Pr	II	885	1						
3834.93	Pr	II	255	-						
3840.99	Pr	II	255	-						
3842.34	Pr	II	675	1						
3844.54	Pr	II	420	1						
3846.59	Pr	II	570	1						
3850.79	Pr	II	405	1						
3851.55	Pr	II	1500	3	4f3.(4I°11/2).6s1/2	(11/2,1/2)°6	1649.01	4f3.(4I°).6p?	6	26398.52
3852.8	Pr	II	795	1						
3858.25	Pr	II	150	-						
3859.14	Pr	II	30	-						
3861.8	Pr	III	8	-						
3865.45	Pr	II	1500	3						
3867.52	Pr	II	150	-						
3876.19	Pr	II	570	1						
3877.18	Pr	II	885	2	4f3.(4I°9/2).6s1/2	(9/2,1/2)°5	441.95	4f3.(4I°).6p?	4	26226.56
3879.2	Pr	II	705	2						
3889.34	Pr	II	990	3	4f3.(4I°9/2).6s1/2	(9/2,1/2)°5	441.95	4f3.(4I°).6p?	5	27198.24
3897.25	Pr	II	120	-	4f2.(3H).5d.6s.(3D)?	5K?5	8379.44	4f2.5d.6p?	°6	34031.3
3898.84	Pr	II	95	-						
3908.05	Pr	II	600	2	4f3.(4I°15/2).6s1/2	(15/2,1/2)°8	4437.15	4f3.(4I°).6p?	5H?7	30018.1
3912.9	Pr	II	870	3	4f3.(4I°11/2).6s1/2	(11/2,1/2)°6	1649.01	4f3.(4I°).6p?	5	27198.24
3914.76	Pr	II	55	-						
3918.85	Pr	II	570	2	4f3.(4I°13/2).6s1/2	(13/2,1/2)°7	2998.36	4f3.(4I°).6p	3I6	28508.79
3919.63	Pr	II	195	1						
3920.53	Pr	II	165	1	4f3.(4I°9/2).6s1/2	(9/2,1/2)°4	0.0	4f3.(4I°).6p?	5	27198.24
3927.46	Pr	II	435	2	4f3.(4I°11/2).6s1/2	(11/2,1/2)°5	1743.72	4f3.(4I°).6p?	5	27198.24
3929.29	Pr	II	210	1						
3938.3	Pr	II	210	1						
3949.43	Pr	II	735	4	4f3.(4I°11/2).6s1/2	(11/2,1/2)°6	1649.01	4f3.(4I°).6p?	6	26398.52
3953.51	Pr	II	735	4	4f3.(4I°15/2).6s1/2	(15/2,1/2)°8	4437.15	4f3.(4I°).6p?	8	29723.97
3956.75	Pr	II	95	1						
3959.44	Pr	I	120	1						
3964.26	Pr	II	285	2	4f3.(4I°11/2).6s1/2	(11/2,1/2)°5	1743.72	4f3.(4I°).6p?	6	26398.52
3964.81	Pr	II	600	4	4f3.(4I°9/2).6s1/2	(9/2,1/2)°5	441.95	4f3.(4I°).6p	5I6	25656.69
3966.57	Pr	II	480	3	4f3.(4I°13/2).6s1/2	(13/2,1/2)°7	2998.36	4f3.(4I°).6p	5I8	28201.95
3971.67	Pr	II	285	2						
3974.85	Pr	II	70	1						
3980.51	Pr	III	15	-						
3989.68	Pr	II	975	9	4f3.(4I°9/2).6s1/2	(9/2,1/2)°5	441.95	4f3.(4I°).6p?	5	27198.24
3991.91	Pr	II	120	1						
3992.16	Pr	II	120	1						
3995.83	Pr	II	20	-						
3997.04	Pr	II	495	5	4f3.(4I°13/2).6s1/2	(13/2,1/2)°7	2998.36	4f3.(4I°).6p?	7	28009.8
3997.96	Pr	II	100	1						
3999.12	Pr	II	240	3						
4000.2	Pr	III	240	3						
4008.69	Pr	II	750	9	4f3.(4I°15/2).6s1/2	(15/2,1/2)°7	5079.35	4f3.(4I°).6p?	5H?7	30018.1
4010.6	Pr	II	40	-						
4018.36	Pr	III	6	-						
4020.96	Pr	II	195	3						
4022.71	Pr	II	55	1						
4025.54	Pr	II	180	3						
4026.83	Pr	II	90	2						
4029.0	Pr	II	50	1						
4029.6	Pr	III	10	-						
4029.72	Pr	II	65	1						
4032.47	Pr	II	85	1	4f3.(4I°).5d	5K°6	5226.52	4f3.(4I°).6p?	5H?7	30018.1
4038.22	Pr	II	45	1						
4038.45	Pr	II	60	1	4f3.(4I°9/2).6s1/2	(9/2,1/2)°4	0.0	4f3.(4I°).6p?	4	26226.56
