λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.0723	Pt	I	30	-	5d8.6s2	3F2	15501.8344	5d8.6s.(2D).6p	a 3D°1	41802.733
3802.3589	Pt	I	20	-	5d8.6s.(2D).6p	a 3D°1	41802.733	5d9.6d	3F2	68094.734
3805.2973	Pt	I	8	-	5d8.6s.(4F).6p	a 5G°4	36296.294	5d9.8s	3D3	62567.983
3806.925	Pt	II	35	-	5d7.6s2	4F7/2	34647.266	5d8.(3F).6p	(4,3/2)°9/2	60907.72
3815.0673	Pt	I	40	-	5d8.6s2	3P0	16983.435	5d8.6s.(4F).6p	5D°1	43187.829
3817.5962	Pt	II	15	-	5d7.6s.6p	79607°5/2	79607.522	5d8.(3F).7s	(3,1/2)7/2	105794.571
3818.6874	Pt	I	300	-	5d8.6s2	3F3	10116.7158	5d8.6s.(4F).6p	a 5G°4	36296.294
3822.7531	Pt	II	45	-	5d7.6s.6p	75365°5/2	75365.892	5d8.(3P).7s	(2,1/2)3/2	101517.63
3837.288	Pt	I	6	-	5d9.6s	3D2	6567.4517	5d9.6p	a 3P°2	32620.0047
3842.9632	Pt	II	15	-	5d8.(1G).6p	(4,1/2)°7/2	75184.933	5d8.(3P).7s	(2,1/2)5/2	101199.134
3850.41	Pt	II	5	-	5d8.(1G).6p	84182°9/2	84182.738	5d8.(3P).6d	(2,5/2)7/2	110146.852
3854.5252	Pt	II	30	-	5d8.6p	75581°3/2	75581.466	5d8.(3P).7s	(2,1/2)3/2	101517.63
3863.2223	Pt	I	60	-	5d8.6s2	3P1	18566.545	5d8.6s.(4F).6p	5F°2	44444.346
3865.7875	Pt	I	8	-	5d9.6p	3P°1	36844.695	5d9.8s	1D2	62705.315
3868.4209	Pt	I	15	-	5d8.6s.(4F).6p	b 5F°5	38536.1439	5d8.(3F4).6s.6d	b (4,?)5	64379.15
3869.8816	Pt	II	9	-	5d7.6s.6p	75365°5/2	75365.892	5d8.(3P).7s	(2,1/2)5/2	101199.134
3875.715	Pt	I	15	-	5d8.6s.(4F).6p	b 5F°5	38536.1439	5d8.(3F4).6s.6d	b (4,?)6	64330.516
3876.9749	Pt	I	15	-	5d9.6p	3F°3	34122.1452	5d9.6d	a 1D2	59908.156
3880.8488	Pt	I	20	-	5d9.6p	3F°3	34122.1452	5d9.6d	3F4	59882.41
3882.3976	Pt	I	25	-	5d9.6p	3F°3	34122.1452	5d9.6d	1F3	59872.128
3885.2172	Pt	I	15	-	5d8.6s.(4F).6p	b 5F°5	38536.1439	5d8.(3F4).6s.6d.(3D?)	a (4,?)5	64267.433
3894.329	Pt	II	2	-	5d7.6s.6p	91669°7/2	91669.99	5d8.(1G).7s	(4,1/2)9/2	117340.901
3898.7316	Pt	I	150	-	5d9.6p	3F°3	34122.1452	5d9.6d	3D3	59764.253
3900.7228	Pt	I	300	1	5d9.6p	3F°3	34122.1452	5d9.6d	a 3G4	59751.167
3902.451	Pt	II	45	-	5d8.6p	75581°3/2	75581.466	5d8.(3P).7s	(2,1/2)5/2	101199.134
3903.7085	Pt	I	15	-	5d9.6p	3F°3	34122.1452	5d9.6d	3P2	59731.559
3904.3823	Pt	I	35	-	5d8.6s.(4F).6p	b 5F°5	38536.1439	5d8.(3F4).6s.6d.(3D?)	a (4,?)6	64141.143
3905.57	Pt	II	6	-	5d8.(1G).6p	(4,3/2)°7/2	80197.371	5d8.(3F).7s	(3,1/2)7/2	105794.571
3908.749	Pt	II	5	-	5d7.6s.6p	80858°5/2	80858.512	5d8.(3F).6d	(4,5/2)5/2	106434.974
3910.8955	Pt	I	35	-	5d8.6s.(4F).6p	a 5D°3	35321.637	5d8.(3F4).6s.7s.(1S0)	(4,0)4	60883.985
