λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3805.93	Pu	I	3000	4						
3811.4	Pu	I	3000	4						
3812.3	Pu	II	285	-						
3827.57	Pu	I	285	-						
3835.52	Pu	I	3000	5						
3836.96	Pu	I	285	-						
3838.92	Pu	I	285	-						
3842.1	Pu	I	285	-						
3851.01	Pu	I	3000	5						
3851.85	Pu	I	2000	4						
3878.54	Pu	I	3000	7						
3895.89	Pu	I	2000	6						
3928.53	Pu	I	285	1						
3975.43	Pu	II	285	2						
4097.12	Pu	I	285	16						
4101.96	Pu	I	285	16						
4105.95	Pu	II	285	19						
4111.07	Pu	I	285	19						
4114.91	Pu	I	285	19						
4128.12	Pu	I	285	27						
4129.93	Pu	II	285	27						
4133.01	Pu	I	3000	267						
4135.97	Pu	I	285	32						
4140.04	Pu	I	3000	317						
4141.2	Pu	II	285	32						
4151.09	Pu	I	3000	375						
4151.45	Pu	I	3000	375						
4155.46	Pu	I	285	44						
4159.39	Pu	II	285	44						
4167.77	Pu	I	285	51						
4170.95	Pu	I	285	51						
4178.28	Pu	II	285	59						
4189.9	Pu	II	285	67						
4190.06	Pu	II	285	67						
4196.2	Pu	II	285	76						
4206.48	Pu	I	5500	1680						
4208.23	Pu	I	3000	840						
4221.87	Pu	I	285	92						
4224.2	Pu	I	285	92						
4229.77	Pu	II	285	99						
4254.76	Pu	II	285	111						
4261.88	Pu	I	3000	1159						
4269.77	Pu	I	285	120						
4273.34	Pu	II	285	120						
4281.17	Pu	I	285	123						
4289.08	Pu	II	285	125						
4337.18	Pu	II	285	130						
4352.71	Pu	II	285	131						
4367.41	Pu	I	285	131						
4379.91	Pu	II	285	131						
4385.35	Pu	II	285	131						
4393.93	Pu	II	285	131						
4404.9	Pu	I	3000	1316						
4441.65	Pu	II	285	133						
4468.54	Pu	II	285	134						
4472.79	Pu	II	285	134						
4493.78	Pu	II	285	135						
4504.91	Pu	II	285	135						
4536.15	Pu	II	5500	2767						
4735.4	Pu	I	285	170						
4989.34	Pu	I	285	216						
5269.86	Pu	I	285	258						
5381.02	Pu	I	285	270						
5498.5	Pu	I	285	277						
5510.72	Pu	I	285	278						
5537.59	Pu	I	285	278						
5549.62	Pu	I	285	278						
5590.54	Pu	I	285	277						
5592.33	Pu	I	285	277						
5712.39	Pu	I	3000	2699						
5770.26	Pu	I	285	263						
5839.05	Pu	I	285	253						
5983.35	Pu	I	285	224						
6012.78	Pu	I	285	217						
6192.8	Pu	I	3000	1702						
6304.66	Pu	I	4500	2237						
6449.75	Pu	I	3000	1004						
6486.71	Pu	I	4500	1452						
6488.86	Pu	I	5500	1815						
6535.27	Pu	I	3000	794						
6544.21	Pu	I	3000	794						
6608.95	Pu	I	3000	648						
6672.72	Pu	I	285	54						
6784.66	Pu	I	285	37						
6880.16	Pu	I	285	25						
6887.71	Pu		4500	381						
6891.38	Pu	I	285	24						
7059.23	Pu	I	285	11						
7068.9	Pu	I	285	11						
7092.46	Pu	I	285	10						
7116.88	Pu	I	285	8						
7141.66	Pu	I	285	7						
7177.14	Pu	I	285	6						
7231.09	Pu	I	285	5						
7258.06	Pu	I	3000	38						
7322.23	Pu	I	285	3						
7325.97	Pu	I	285	3						
7331.81	Pu	I	285	3						
7431.18	Pu	I	285	1						
7447.99	Pu	I	285	1						
7507.8	Pu	I	285	1						
7526.93	Pu	I	285	1						
7547.45	Pu	I	285	1						
7564.5	Pu	I	285	1						
7571.87	Pu	I	285	1						
7572.93	Pu	I	3000	5						
