λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3812.0	Ra	I	10	-	7s.6d	3D2	13993.94	7s.8f	3F°3	40219.45
3814.4219	Ra	II	7500	10	7s	2S1/2	0.0	7p	2P°3/2	26208.8538
3851.9	Ra	II	95	-	5f	2F°5/2	48987.86	8g	2G7/2,9/2	74941.76
3894.55	Ra	II	95	-	5f	2F°7/2	49272.14	8g	2G7/2,9/2	74941.76
3916.74	Ra	I	15	-	7s.6d	3D3	14707.29	7s.8f	3F°4	40231.5
3941.02	Ra	I	15	-	7s.6d	3D2	13993.94	7s.7f	3F°3	39360.9
4010.3	Ra	I	15	-						
4054.07	Ra	I	10	-	7s.6d	3D3	14707.29	7s.7f	3F°4	39366.9
4177.98	Ra	I	40	8	7s.6d	3D2	13993.94	7s.6f	3F°3	37922.2
4194.09	Ra	II	300	74	5f	2F°5/2	48987.86	7g	2G7/2,9/2	72824.21
4195.56	Ra	II	15	4	8p	2P°1/2	50606.29	11d	2D3/2	74434.3
4220.24	Ra	II	10	4	8p	2P°3/2	52392.02	12d	2D5/2	76080.68
4244.72	Ra	II	150	58	5f	2F°7/2	49272.14	7g	2G7/2,9/2	72824.21
4265.12	Ra	I	25	10						
4305.0	Ra	I	40	18	7s.6d	3D3	14707.29	7s.6f	3F°4	37929.56
4340.64	Ra	II	4000	1798	7p	2P°3/2	26208.8538	7d	2D5/2	49240.45
4366.3	Ra	I	15	7						
4426.35	Ra	I	15	7						
4436.27	Ra	II	765	366	7p	2P°3/2	26208.8538	7d	2D3/2	48744.04
4444.47	Ra	I	7	3						
4533.11	Ra	II	1000	570	7p	2P°1/2	21351.3259	8s	2S1/2	43405.05
4641.29	Ra	I	150	84	7s.6d	3D1	13715.779	7s.5f	3F°2	35255.51
4663.52	Ra	II	25	13	8p	2P°1/2	50606.29	10d	2D3/2	72043.33
4672.19	Ra	I	9	5	7s.7p	3P°0	13078.4	7s.9s	3S1	34475.74
4682.2394	Ra	II	3000	1753	7s	2S1/2	0.0	7p	2P°1/2	21351.3259
4699.28	Ra	I	150	90	7s.6d	3D2	13993.94	7s.5f	3F°3	35267.88
4701.97	Ra	I	15	9	7s.6d	3D2	13993.94	7s.5f	3F°2	35255.51
4740.07	Ra	I	15	9						
4803.11	Ra	I	25	15						
4825.92806	Ra	I	3000	2062	7s2	1S0	0.0	7s.7p	1P°1	20715.6142
4837.27	Ra	I	25	16	7s.6d	3D1	13715.779	6d.7p	3P°2	34382.83
4856.07	Ra	I	65	43	7s.6d	3D3	14707.29	7s.5f	3F°4	35294.32
4859.41	Ra	II	390	266	5f	2F°5/2	48987.86	6g	2G7/2,9/2	69560.68
4862.27	Ra	I	15	11	7s.6d	3D3	14707.29	7s.5f	3F°3	35267.88
4882.28	Ra	I	25	16	7s.7p	3P°1	13999.3569	7s.9s	3S1	34475.74
4903.24	Ra	I	40	28	7s.6d	3D2	13993.94	6d.7p	3P°2	34382.83
4927.53	Ra	II	390	283	5f	2F°7/2	49272.14	6g	2G7/2,9/2	69560.68
4971.77	Ra	I	60	44	7s.6d	3D1	13715.779	6d.7p	3P°1	33823.63
4982.03	Ra	I	40	29	7s.6d	3D1	13715.779	6d.7p	3P°0	33782.32
4997.26	Ra	II	20	17	8s	2S1/2	43405.05	9p	2P°3/2	63410.43
5041.56	Ra	I	120	100	7s.6d	3D2	13993.94	6d.7p	3P°1	33823.63
5066.57	Ra	II	50	42	8p	2P°3/2	52392.02	10d	2D5/2	72123.74
5081.03	Ra	I	165	139	7s.6d	3D3	14707.29	6d.7p	3P°2	34382.83
5097.56	Ra	I	825	689						
5205.93	Ra	I	720	647	7s.6d	3D2	13993.94	6d.7p	3D°3	33197.39
5263.96	Ra	I	60	57						
5277.91	Ra	I	20	18	7s.7p	3P°1	13999.3569	7p2?	3P2	32941.2
5283.28	Ra	I	585	542	7s.7p	3P°0	13078.4	7s.7d	3D1	32000.78
5320.29	Ra	I	525	496	7s.6d	3D1	13715.779	6d.7p	3D°2	32506.52
5323.09	Ra	II	3	2	8p	2P°3/2	52392.02	11s	2S1/2	71172.88
5399.8	Ra	I	420	412	7s.6d	3D1	13715.779	6d.7p	3D°1	32229.89
5400.23	Ra	I	840	824	7s.6d	3D2	13993.94	6d.7p	3D°2	32506.52
5406.81	Ra	I	825	814	7s.6d	3D3	14707.29	6d.7p	3D°3	33197.39
5482.13	Ra	I	150	142	7s.6d	3D2	13993.94	6d.7p	3D°1	32229.89
5488.32	Ra	I	35	35	7s.7p	3P°1	13999.3569	7p2?	1D2	32214.76
5497.83	Ra	I	10	11						
5501.98	Ra	I	345	347	7s.7p	3P°0	13078.4	7p2?	3P1	31248.61
5505.5	Ra	I	35	35	7s.6d	3D1	13715.779	7s.8p	3P°2	31874.25
5544.25	Ra	I	20	20						
5553.57	Ra	I	330	334	7s.7p	3P°1	13999.3569	7s.7d	3D1	32000.78
5555.85	Ra	I	660	667	7s.7p	3P°1	13999.3569	7s.7d	3D2	31993.4
5591.15	Ra	I	10	11	7s.6d	3D2	13993.94	7s.8p	3P°2	31874.25
5601.5	Ra	I	45	47	7s.6d	3D1	13715.779	7s.8p	3P°1	31563.4
5616.66	Ra	I	330	335	7s.6d	3D3	14707.29	6d.7p	3D°2	32506.52
5620.47	Ra	I	20	20	7s.7p	3P°2	16688.54	7s.9s	3S1	34475.74
5623.43	Ra	II	20	20	7d	2D3/2	48744.04	7f	2F°5/2	66521.85
5660.81	Ra	I	1500	1392	7s.6d	3D3	14707.29	6d.7p	3F°4	32367.7
5661.73	Ra	II	70	70	8p	2P°1/2	50606.29	9d	2D3/2	68264.07
5690.16	Ra	I	20	22	7s.6d	3D2	13993.94	7s.8p	3P°1	31563.4
5728.83	Ra	II	40	39	7d	2D5/2	49240.45	7f	2F°7/2	66691.18
5755.45	Ra	I	45	40	7s.6d	3D1	13715.779	7s.8p	3P°0	31085.8
5778.28	Ra	I	65	59	7s.6d	1D2	17081.31	6d.7p	3P°2	34382.83
5795.78	Ra	I	65	62	7s.7p	3P°1	13999.3569	7p2?	3P1	31248.61
5811.58	Ra	I	70	64	7s.6d	3D1	13715.779	6d.7p	1D°2	30918.01
5813.63	Ra	II	990	921	7p	2P°3/2	26208.8538	8s	2S1/2	43405.05
5823.49	Ra	I	30	28	7s.6d	3D3	14707.29	7s.8p	3P°2	31874.25
5907.2	Ra	I	25	20	7s.6d	3D2	13993.94	6d.7p	1D°2	30918.01
5957.17	Ra	I	30	24						
5957.67	Ra	I	120	103						
6151.19	Ra	I	210	139	7s.7p	3P°2	16688.54	7p2?	3P2	32941.2
6158.73	Ra	II	10	7	8p	2P°1/2	50606.29	10s	2S1/2	66838.72
6167.03	Ra	I	525	328	7s.6d	3D3	14707.29	6d.7p	1D°2	30918.01
6200.3	Ra	I	8000	4718	7s.6d	3D2	13993.94	6d.7p	3F°3	30117.72
6247.16	Ra	II	420	231	8p	2P°3/2	52392.02	9d	2D5/2	68394.87
