λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.897	Rb	II	20	-	4p5.(2P°1/2).5s	2[1/2]°0	138794.38	4p5.(2P°1/2).5p	2[1/2]1	165089.58
3802.615	Rb	II	9	-	4p5.(2P°3/2).5d	2[7/2]°4	184660.39	4p5.(2P°3/2).7f	2[9/2]5	210950.62
3826.657	Rb	II	15	-	4p5.(2P°3/2).5p	2[3/2]2	158711.854	4p5.(2P°3/2).5d	2[3/2]°2	184836.897
3837.849	Rb	II	2	-	4p5.(2P°3/2).5p	2[3/2]1	158151.666	4p5.(2P°3/2).5d	2[1/2]°1	184200.524
3860.735	Rb	II	5	-	4p5.(2P°3/2).5p	2[1/2]1	154273.98	4p5.(2P°3/2).6s	2[3/2]°1	180168.372
3870.341	Rb	II	5	-	4p5.(2P°3/2).5d	2[7/2]°3	185126.778	4p5.(2P°3/2).7f	2[9/2]4	210956.96
3876.191	Rb	IV	2	-	4s2.4p3.(2P).4d	1P°1	259133.95	4s2.4p3.(2P).5p	1P1	284924.43
3907.289	Rb	II	240	1	4p5.(2P°3/2).5p	2[3/2]1	158151.666	4p5.(2P°3/2).5d	2[1/2]°0	183737.59
3922.196	Rb	II	10	-	4p5.(2P°3/2).5p	2[3/2]2	158711.854	4p5.(2P°3/2).5d	2[1/2]°1	184200.524
3926.436	Rb	II	15	-	4p5.(2P°3/2).5p	2[1/2]1	154273.98	4p5.(2P°3/2).6s	2[3/2]°2	179735.123
3940.508	Rb	II	195	1	4p5.(2P°3/2).5s	2[3/2]°2	133341.607	4p5.(2P°3/2).5p	2[3/2]2	158711.854
3943.369	Rb	IV	10	-	4s2.4p3.(2P).4d	1P°1	259133.95	4s2.4p3.(2P).5p	1D2	284486.52
3978.149	Rb	II	40	-	4p5.(2P°1/2).5s	2[1/2]°0	138794.38	4p5.(2P°1/2).5p	2[3/2]1	163924.55
4008.5	Rb	XXVI	1	-	3s.3p	3P°0	405699.0	3s.3p	3P°1	430639.0
4029.487	Rb	II	15	-	4p5.(2P°3/2).5s	2[3/2]°2	133341.607	4p5.(2P°3/2).5p	2[3/2]1	158151.666
4048.64	Rb	II	1	-	4p5.(2P°1/2).5p	2[3/2]1	163924.55	4p5.(2P°3/2).5d	2[3/2]°1	188617.702
4083.881	Rb	II	15	1	4p5.(2P°1/2).5s	2[1/2]°1	140610.047	4p5.(2P°1/2).5p	2[1/2]1	165089.58
4104.284	Rb	II	20	1	4p5.(2P°1/2).5s	2[1/2]°1	140610.047	4p5.(2P°1/2).5p	2[3/2]2	164968.007
4136.112	Rb	II	20	2	4p5.4d	3P°1	143461.977	4p5.(2P°1/2).5p	2[1/2]0	167632.436
