λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3807.74	Re	I	105	-						
3815.66	Re	I	135	-						
3836.3	Re	I	210	-						
3869.94	Re	I	210	-						
3875.26	Re	I	210	-						
3876.86	Re	I	315	1						
3908.21	Re	I	135	-						
3913.92	Re	I	165	1						
3917.27	Re	I	570	2						
3929.85	Re	I	600	2						
3936.9	Re	I	240	1						
3944.72	Re	I	180	1						
3945.91	Re	I	255	1						
3961.04	Re	I	195	1						
3962.48	Re	I	660	4						
4004.93	Re	I	180	2						
4022.96	Re	I	135	2						
4023.31	Re	I	210	3						
4029.63	Re	I	405	7						
4033.31	Re	I	195	3						
4037.49	Re	I	150	3						
4048.99	Re	I	135	3						
4081.43	Re	I	105	4						
4104.42	Re	I	150	8						
4110.89	Re	I	240	16						
4121.64	Re	I	360	29						
4133.42	Re	I	1500	147						
4136.45	Re	I	1000	129						
4144.36	Re	I	885	102						
4149.96	Re	I	270	36						
4170.4	Re	I	165	30						
4182.9	Re	I	795	170						
4183.06	Re	I	780	164						
4221.08	Re	I	1500	460						
4227.46	Re	I	3500	1184						
4241.39	Re	I	525	201						
4257.6	Re	I	1000	489						
4291.17	Re	I	2000	904						
4304.4	Re	I	135	61						
4332.25	Re	I	780	362						
4357.98	Re	II	360	171						
4358.69	Re	I	2000	914						
4367.58	Re	I	2000	865						
4391.34	Re	I	675	316						
4394.38	Re	I	1000	475						
4406.4	Re	I	1000	564						
4415.82	Re	I	2000	876						
4475.08	Re	I	630	305						
4478.39	Re	I	1500	663						
4507.04	Re	I	780	379						
4513.31	Re	I	7000	3317						
4516.64	Re	I	2000	863						
4522.73	Re	I	2000	962						
4523.88	Re	I	780	381						
4529.95	Re	I	825	405						
4545.17	Re	I	555	281						
4580.68	Re	I	510	261						
4605.73	Re	I	645	338						
4621.38	Re	I	360	195						
4791.42	Re	I	2000	1233						
4889.14	Re	I	10000	7126						
4923.9	Re	I	2500	1836						
5058.56	Re	I	1000	937						
5096.5	Re	I	1000	1000						
5120.32	Re	I	825	702						
5161.65	Re	I	510	446						
5178.89	Re	I	885	782						
5181.74	Re	I	195	170						
5234.31	Re	I	645	583						
5248.86	Re	I	420	384						
5270.95	Re	I	2000	1673						
5275.56	Re	I	4000	3551						
5278.24	Re	I	735	687						
5305.56	Re	I	135	127						
5317.28	Re	I	255	242						
5321.28	Re	I	270	253						
5327.46	Re	I	705	670						
5331.9	Re	I	570	549						
5332.76	Re	I	70	69						
5333.85	Re	I	210	207						
5369.48	Re	I	135	135						
5369.8	Re	I	180	177						
5377.1	Re	I	1000	1019						
5431.9	Re	I	555	551						
5437.03	Re	I	390	390						
5447.92	Re	I	420	413						
5460.64	Re	I	585	585						
5520.05	Re	I	150	144						
5521.1	Re	I	180	179						
5532.68	Re	I	495	492						
5563.24	Re	I	630	637						
5573.47	Re	I	150	144						
5584.72	Re	I	210	209						
5607.21	Re	I	75	77						
5612.27	Re	I	195	197						
5667.88	Re	I	390	391						
5711.43	Re	I	150	149						
5716.95	Re	I	120	112						
5752.93	Re	I	480	457						
5776.83	Re	I	675	631						
5791.6	Re	I	80	73						
5815.92	Re	I	555	510						
5834.31	Re	I	2000	1793						
5919.86	Re	I	45	39						
5943.24	Re	I	870	734						
5950.21	Re	I	35	29						
5969.77	Re	I	405	328						
5989.99	Re	I	70	54						
5995.73	Re	I	465	362						
6114.22	Re	I	450	316						
6145.81	Re	I	405	265						
6146.82	Re	I	405	264						
6203.24	Re	I	225	133						
6217.97	Re	I	435	256						
6229.42	Re	I	570	329						
6243.24	Re	I	585	332						
6260.02	Re	I	75	41						
6260.24	Re	I	150	82						
6271.37	Re	I	100	53						
6278.76	Re	I	150	75						
6286.41	Re	I	180	92						
6303.42	Re	I	165	83						
6307.7	Re	I	2000	910						
6321.9	Re	I	2500	1296						
6350.75	Re	I	1500	750						
6382.94	Re	I	150	67						
6411.47	Re	I	375	151						
6511.47	Re	I	1000	356						
6515.25	Re	I	375	114						
6544.91	Re	I	705	200						
6577.11	Re	I	1500	345						
6592.52	Re	I	1500	336						
6605.19	Re	I	1000	234						
6623.91	Re	I	600	136						
6637.25	Re	I	330	70						
6652.39	Re	I	1000	216						
6683.28	Re	I	75	14						
6711.3	Re	I	45	7						
6751.22	Re	I	210	31						
6761.19	Re	I	40	6						
6813.41	Re	I	2500	315						
6829.9	Re	I	2500	298						
6971.53	Re	I	555	33						
7006.63	Re	I	360	18						
7024.15	Re	I	435	21						
7246.67	Re	I	900	13						
7292.72	Re	I	870	10						
7578.73	Re	I	465	1						
