λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3806.76	Rh	I	720	1	4d8.(3F).5s	a 4F5/2	2598.03	4d8.(3F).5p	z 4D°5/2	28859.64
3809.5	Rh	I	45	-	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3P).5p	z 2P°3/2	38210.96
3812.45	Rh	I	70	-	4d8.(1D).5s	b 2D3/2	14382.19	4d8.(3P).5p	z 2S°1/2	40604.52
3816.47	Rh	I	210	-	4d8.(1D).5s	b 2D3/2	14382.19	4d8.(1D).5p	y 2F°5/2	40576.95
3818.19	Rh	I	720	1	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3P).5p	z 4P°3/2	35404.24
3822.26	Rh	I	1500	2	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 2F°5/2	33946.34
3828.48	Rh	I	1500	2	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3P).5p	z 4P°5/2	35333.85
3833.89	Rh	I	675	1	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 2D°3/2	33867.04
3834.75	Rh	I	70	-	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3P).5p	y 4D°3/2	38038.12
3856.52	Rh	I	600	1	4d8.(3F).5s	a 2F7/2	5690.97	4d8.(3F).5p	z 2G°9/2	31613.78
3872.39	Rh	I	510	1	4d9	a 2D3/2	5657.97	4d8.(3F).5p	z 4F°5/2	31474.5
3877.34	Rh	I	195	-	4d8.(3F).5s	a 2F7/2	5690.97	4d8.(3F).5p	z 4F°5/2	31474.5
3888.34	Rh	I	45	-	4d8.(1D).5s	b 2D5/2	13520.69	4d8.(1D).5p	y 2P°3/2	39231.38
3912.83	Rh	I	15	-	4d9	a 2D5/2	3309.86	4d8.(3F).5p	z 4D°5/2	28859.64
3913.51	Rh	I	25	-	4d8.(3F).5s	a 4F7/2	1529.97	4d8.(3F).5p	z 4D°7/2	27075.26
3922.19	Rh	I	90	-	4d9	a 2D3/2	5657.97	4d8.(3F).5p	z 4D°1/2	31146.68
3934.23	Rh	I	540	2	4d8.(3F).5s	a 2F7/2	5690.97	4d8.(3F).5p	z 4G°7/2	31101.75
3935.84	Rh	I	210	1	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3P).5p	z 2P°1/2	37368.62
3942.72	Rh	I	330	2	4d8.(3P).5s	a 4P3/2	10313.41	4d8.(3P).5p	z 4P°1/2	35669.5
3958.24	Rh	I	30	-	4d8.(3P).5s	a 2P1/2	13974.73	4d8.(1D).5p	y 2P°3/2	39231.38
3958.86	Rh	I	1000	7	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 2G°7/2	33043.91
3964.54	Rh	II	15	-						
3984.4	Rh	I	135	1	4d8.(3P).5s	a 4P3/2	10313.41	4d8.(3P).5p	z 4P°3/2	35404.24
3995.61	Rh	I	75	1	4d8.(3P).5s	a 4P3/2	10313.41	4d8.(3P).5p	z 4P°5/2	35333.85
3996.15	Rh	I	120	1	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3P).5p	y 4D°5/2	36985.25
4023.14	Rh	I	60	1	4d8.(1D).5s	b 2D3/2	14382.19	4d8.(1D).5p	y 2P°3/2	39231.38
4049.04	Rh	I	20	-	4d8.(1D).5s	b 2D5/2	13520.69	4d8.(3P).5p	z 2P°3/2	38210.96
4053.44	Rh	I	35	1	4d8.(3P).5s	a 4P1/2	11006.05	4d8.(3P).5p	z 4P°1/2	35669.5
4056.34	Rh	I	25	1	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 2D°3/2	33867.04
4077.57	Rh	I	15	1	4d8.(1D).5s	b 2D5/2	13520.69	4d8.(3P).5p	y 4D°3/2	38038.12
4082.78	Rh	I	255	10	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 4F°3/2	32277.43
4084.28	Rh	I	5	-	4d8.(3F).5s	a 4F5/2	2598.03	4d8.(3F).5p	z 4D°7/2	27075.26
4087.79	Rh	I	6	-	4d8.(1G).5s	a 2G7/2	16120.72	4d8.(1D).5p	y 2F°5/2	40576.95
4088.5	Rh	I	10	-	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 4G°5/2	32243.32
4097.52	Rh	I	55	3	4d8.(3P).5s	a 4P1/2	11006.05	4d8.(3P).5p	z 4P°3/2	35404.24
4119.68	Rh	I	135	11	4d8.(1G).5s	a 2G9/2	16017.94	4d8.(1D).5p	y 2F°7/2	40284.83
4121.68	Rh	I	210	17	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 2D°5/2	32046.32
4128.87	Rh	I	420	41	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 2F°7/2	32004.01
4135.27	Rh	I	435	49	4d8.(3F).5s	a 2F7/2	5690.97	4d8.(3F).5p	z 4F°7/2	29866.34
4154.37	Rh	I	135	18	4d7.5s2	b 4F9/2	12723.07	4d8.(3P).5p	y 4D°7/2	36787.48
4196.5	Rh	I	465	128	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 2G°7/2	33043.91
4206.62	Rh	I	40	12	4d9	a 2D5/2	3309.86	4d8.(3F).5p	z 4D°7/2	27075.26
4211.14	Rh	I	960	291	4d8.(3F).5s	a 2F7/2	5690.97	4d8.(3F).5p	z 4F°9/2	29430.86
4230.2	Rh	I	30	12	4d8.(3P).5s	a 4P3/2	10313.41	4d8.(3F).5p	z 2F°5/2	33946.34
4244.44	Rh	I	45	17	4d8.(3P).5s	a 4P3/2	10313.41	4d8.(3F).5p	z 2D°3/2	33867.04
4273.43	Rh	I	70	29	4d8.(3P).5s	a 2P1/2	13974.73	4d8.(3P).5p	z 2P°1/2	37368.62
4278.6	Rh	I	60	27	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3P).5p	z 4P°5/2	35333.85
4288.71	Rh	I	870	392	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 4G°7/2	31101.75
4296.77	Rh	I	105	46	4d8.(1D).5s	b 2D5/2	13520.69	4d8.(3P).5p	y 4D°7/2	36787.48
4342.44	Rh	I	90	43	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 4G°5/2	32243.32
4373.04	Rh	I	105	52	4d8.(3P).5s	a 4P1/2	11006.05	4d8.(3F).5p	z 2D°3/2	33867.04
4374.8	Rh	I	2000	885	4d8.(3F).5s	a 2F7/2	5690.97	4d8.(3F).5p	z 4G°9/2	28542.69
4379.92	Rh	I	135	64	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 2D°5/2	32046.32
4492.47	Rh	I	270	129	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 4F°5/2	31474.5
4503.78	Rh	I	405	197	4d7.5s2	b 4F7/2	14787.87	4d8.(3P).5p	y 4D°5/2	36985.25
4528.72	Rh	I	765	379	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 4F°7/2	29866.34
4544.27	Rh	I	150	77	4d7.5s2	b 4F7/2	14787.87	4d8.(3P).5p	y 4D°7/2	36787.48
4548.73	Rh	I	240	118	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3F).5p	z 2F°5/2	33946.34
4551.64	Rh	I	270	138	4d8.(3P).5s	a 4P3/2	10313.41	4d8.(3F).5p	z 4F°3/2	32277.43
4560.89	Rh	I	255	129	4d7.5s2	b 4F5/2	16118.69	4d8.(3P).5p	y 4D°3/2	38038.12
4565.19	Rh	I	195	103	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3F).5p	z 2D°3/2	33867.04
4569.0	Rh	I	930	476	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 4G°7/2	31101.75
4571.31	Rh	I	60	31						
4608.12	Rh	I	315	168	4d8.(3P).5s	a 2P1/2	13974.73	4d8.(3P).5p	z 4P°1/2	35669.5
4619.91	Rh	I	135	73						
4643.18	Rh	I	180	96	4d7.5s2	b 4F3/2	16943.5	4d8.(3P).5p	y 4D°1/2	38474.43
4675.03	Rh	I	330	186	4d8.(3F).5s	a 2F7/2	5690.97	4d8.(3F).5p	z 4D°7/2	27075.26
4721.0	Rh	I	85	51	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 4D°3/2	30397.27
4745.11	Rh	I	270	167	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 4D°5/2	28859.64
4755.58	Rh	I	225	142	4d8.(1D).5s	b 2D3/2	14382.19	4d8.(3P).5p	z 4P°3/2	35404.24
4842.43	Rh	I	540	370	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 4F°7/2	29866.34
4851.63	Rh	I	825	570						
4865.773	Rh	I	150	102	4d7.5s2	b 4F7/2	14787.87	4d8.(3P).5p	z 4P°5/2	35333.85
4963.71	Rh	I	1000	772	4d8.(3P).5s	a 4P1/2	11006.05	4d8.(3F).5p	z 4D°1/2	31146.68
4977.75	Rh	I	270	204	4d8.(3P).5s	a 4P3/2	10313.41	4d8.(3F).5p	z 4D°3/2	30397.27
4979.18	Rh	I	210	163	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3F).5p	z 2D°5/2	32046.32
5085.52	Rh	I	80	68						
5090.63	Rh	I	540	448	4d8.(3P).5s	a 4P5/2	9221.22	4d8.(3F).5p	z 4D°5/2	28859.64
5120.69	Rh	I	195	161	4d8.(1D).5s	b 2D5/2	13520.69	4d8.(3F).5p	z 2G°7/2	33043.91
5130.76	Rh	I	195	167	4d8.(1D).5s	b 2D3/2	14382.19	4d8.(3F).5p	z 2D°3/2	33867.04
5155.54	Rh	I	810	699	4d8.(3P).5s	a 4P1/2	11006.05	4d8.(3F).5p	z 4D°3/2	30397.27
5184.19	Rh	I	1000	986	4d8.(3F).5s	a 2F5/2	7791.23	4d8.(3F).5p	z 4D°7/2	27075.26
5212.73	Rh	I	825	739	4d8.(3P).5s	a 2P3/2	11968.23	4d8.(3F).5p	z 4D°1/2	31146.68
