λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
4307.76	Rn	I	7	3						
4349.6	Rn	I	20	9	6p5.(2P°3/2).7s	2[3/2]°2	54620.35	6p5.(2P°3/2).8p	2[5/2]3	77604.53
4435.05	Rn	I	2	1						
4459.25	Rn	I	3	1						
4508.48	Rn	I	2	1						
4577.72	Rn	I	2	1						
4609.38	Rn	I	2	1						
4721.76	Rn	I	1	1						
6380.45	Rn	I	1	-						
6557.49	Rn	I	4	1						
6606.43	Rn	I	4	1						
6627.23	Rn	I	6	1						
6669.6	Rn	I	3	1						
6704.28	Rn	I	4	1						
6751.81	Rn	I	15	2						
6806.79	Rn	I	5	1						
6836.95	Rn	I	6	1						
6837.57	Rn	I	6	1						
6891.16	Rn	I	10	1						
6998.9	Rn	I	10	1						
7055.42	Rn	I	210	9	6p5.(2P°3/2).7s	2[3/2]°2	54620.35	6p5.(2P°3/2).7p	2[3/2]2	68789.93
7268.11	Rn	I	915	12	6p5.(2P°3/2).7s	2[3/2]°1	55989.03	6p5.(2P°3/2).7p	2[1/2]0	69743.98
7291.0	Rn	I	180	2						
7320.98	Rn	I	35	-						
7419.04	Rn	I	50	-						
7450.0	Rn	I	1000	5	6p5.(2P°3/2).7s	2[3/2]°2	54620.35	6p5.(2P°3/2).7p	2[5/2]3	68039.48
7470.89	Rn	I	15	-						
7483.13	Rn	I	9	-						
7514.13	Rn	I	2	-						
7516.92	Rn	I	2	-						
7523.93	Rn	I	1	-						
7597.55	Rn	I	1	-						
