λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.26	Ru	I	315	-	4d6.5s2	a 5D3	8575.42	4d6.5s.(a 6D).5p	z 5P°2	34881.92
3808.68	Ru	I	390	-	4d7.(a 2G).5s	a 1G4	14700.32	4d7.(a 2G).5p	z 1F°3	40948.65
3812.72	Ru	I	95	-	4d7.(a 2G).5s	a 3G4	12816.69	4d7.(a 2G).5p	z 1G°4	39037.18
3817.27	Ru	I	465	1	4d7.(a 2H).5s	a 3H6	15550.16	4d7.(a 2H).5p	x 3G°5	41739.3
3819.03	Ru	I	390	1	4d7.(a 4F).5s	a 5F2	2713.24	4d7.(a 4F).5p	z 5F°3	28890.47
3822.09	Ru	I	390	1	4d7.(a 2D).5s	a 3D3	16190.61	4d7.(a 2D).5p	x 3F°4	42346.9
3824.93	Ru	I	240	-	4d7.(a 2P).5s	a 3P2	10623.53	4d7.(a 4P).5p	y 3D°3	36760.34
3831.8	Ru	I	465	1	4d7.(a 2G).5s	a 3G5	12207.05	4d7.(a 2G).5p	z 3H°5	38297.09
3835.05	Ru	I	390	1	4d7.(a 2G).5s	a 1G4	14700.32	4d7.(a 2P).5p	x 3D°3	40768.15
3838.07	Ru	I	95	-	4d7.(a 4P).5s	a 5P2	8043.69	4d6.5s.(a 6D).5p	y 5D°1	34091.06
3839.7	Ru	I	390	1	4d7.(a 2G).5s	a 3G5	12207.05	4d7.(a 2G).5p	y 3F°4	38243.38
3846.68	Ru	I	95	-	4d6.5s2	a 5D2	9057.64	4d6.5s.(a 6D).5p	z 5P°1	35046.77
3850.43	Ru	I	390	1	4d6.5s2	a 5D4	7483.07	4d6.5s.(a 6D).5p	y 5D°4	33446.84
3856.46	Ru	I	390	1	4d7.(a 4F).5s	a 5F3	2091.54	4d7.(a 4F).5p	z 5F°4	28014.79
3857.55	Ru	I	390	1	4d7.(a 2G).5s	a 1G4	14700.32	4d7.(a 2G).5p	z 1H°5	40616.22
3860.72	Ru	I	150	-	4d7.(a 2D).5s	a 3D2	15054.07	4d7.(a 2G).5p	z 1F°3	40948.65
3862.69	Ru	I	465	1	4d7.(a 2H).5s	a 3H4	17096.87	4d7.(a 2H).5p	z 3I°5	42978.28
3867.84	Ru	I	465	1	4d7.(a 4F).5s	a 3F4	6545.03	4d7.(a 4F).5p	z 3F°3	32391.95
3873.52	Ru	I	330	1	4d6.5s2	a 5D1	9072.98	4d6.5s.(a 6D).5p	z 5P°2	34881.92
3892.21	Ru	I	330	1	4d7.(a 4P).5s	a 5P2	8043.69	4d6.5s.(a 6D).5p	y 5D°2	33728.66
3909.08	Ru	I	300	1	4d7.(a 2G).5s	a 3G3	13699.07	4d7.(a 2G).5p	z 3H°4	39273.28
3920.92	Ru	I	105	-	4d6.5s2	a 5D3	8575.42	4d6.5s.(a 6D).5p	z 5P°3	34072.41
3923.47	Ru	I	525	2	4d7.(a 2G).5s	a 3G4	12816.69	4d7.(a 2G).5p	z 3H°5	38297.09
3925.92	Ru	I	525	2	4d7.(a 4F).5s	a 5F5	0.0	4d6.5s.(a 6D).5p	z 7D°4	25464.49
3931.76	Ru	I	345	1	4d7.(a 4P).5s	a 5P1	9620.29	4d6.5s.(a 6D).5p	z 5P°1	35046.77
3933.55	Ru	I	960	4	4d7.(a 4F).5s	a 5F3	2091.54	4d7.(a 4F).5p	z 5D°3	27506.59
3945.57	Ru	I	435	2	4d7.(a 2H).5s	a 3H5	16240.13	4d7.(a 2H).5p	z 3I°6	41577.75
3950.21	Ru	I	60	-	4d7.(a 4F).5s	a 3F4	6545.03	4d7.(a 4F).5p	z 3G°3	31852.9
3952.68	Ru	I	120	1	4d7.(a 2D).5s	a 3D3	16190.61	4d7.(a 2D).5p	w 3D°3	41482.66
