λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3802.608	S	II	25	-	3s2.3p2.(3P).4p	4P°3/2	129858.18	3s2.3p2.(3P).4d	4P1/2	156148.48
3809.637	S	II	25	-	3s2.3p2.(3P).4p	4P°1/2	129787.83	3s2.3p2.(3P).4d	4P3/2	156029.54
3811.59	S	IV	1	-	3p3	2D°5/2	185148.0	3p3	2P°1/2	211376.3
3811.74	S	II	25	-	3s2.3p2.(3P).4p	2P°1/2	133268.68	3s2.3p2.(3P).4d	2D3/2	159495.94
3815.037	S	IV	15	-	3s2.5p	2P°3/2	285296.0	3s2.6s	2S1/2	311500.6
3819.863	S	II	15	-	3s2.3p2.(3P).4p	4P°3/2	129858.18	3s2.3p2.(3P).4d	4P3/2	156029.54
3830.925	S	II	10	-	3s2.3p2.(3P).4p	2P°3/2	133399.97	3s2.3p2.(3P).4d	2D3/2	159495.94
3831.383	S	II	10	-	3s2.3p2.(3P).4p	2P°3/2	133399.97	3s2.3p2.(3P).4d	2D5/2	159492.83
3831.819	S	III	15	-	3s2.3p.4s	3P°0	146697.37	3s2.3p.4p	3P1	172787.26
3832.065	S	II	1	-	3s2.3p2.(3P).3d	4D5/2	114231.04	3s2.3p2.(1D).4p	2F°7/2	140319.23
3834.74	S	IV	1	-	3s.3p.(3P°).4p	2P1/2	292569.2	3s2.6p	2P°3/2	318639.2
3837.709	S	III	15	-	3s2.3p.4s	3P°1	146737.55	3s2.3p.4p	3P1	172787.26
3838.281	S	III	15	-	3s2.3p.4s	3P°2	147147.11	3s2.3p.4p	3P2	173193.14
3839.14	S	IV	1	-	3s.3p.(3P°).4p	2P1/2	292569.2	3s2.6p	2P°1/2	318609.3
3839.158	S	II	10	-	3s2.3p2.(3P).3d	4D7/2	114279.33	3s2.3p2.(1D).4p	2F°7/2	140319.23
3840.697	S	II	1	-	3s2.3p2.(3P).3d	4D3/2	114200.54	3s2.3p2.(1D).4p	2F°5/2	140230.1
3842.854	S	II	15	-	3s2.3p2.(3P).4p	2P°1/2	133268.68	3s2.3p2.(3P).4d	2P1/2	159283.66
3845.208	S	II	2	-	3s2.3p2.(3P).3d	4D5/2	114231.04	3s2.3p2.(1D).4p	2F°5/2	140230.1
3850.906	S	II	9	-	3s2.3p2.(3P).4p	4P°3/2	129858.18	3s2.3p2.(3P).4d	4P5/2	155818.71
3852.358	S	II	1	-	3s2.3p2.(3P).3d	4D7/2	114279.33	3s2.3p2.(1D).4p	2F°5/2	140230.1
