λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3850.22	Sb	II	660	1	5s.5p3	3D°3	67887.5	5s2.5p.6p	1D2	93853.2
4033.5367	Sb	I	570	10	5p3	2P°3/2	18464.202	5p2.(3P).6s	4P1/2	43249.337
4133.63	Sb	II	165	16	5s2.5p.5d	3D°3	88259.7	5s2.5p.4f	1G4	112444.7
4140.54	Sb	II	705	81	5s.5p3	3D°2	66502.3	5s2.5p.6p	3P1	90646.5
4195.17	Sb	II	2500	651	5s.5p3	3D°3	67887.5	5s2.5p.6p	3P2	91718.0
4219.07	Sb	II	1500	471	5s.5p3	3D°3	67887.5	5s2.5p.6p	3D3	91583.2
4265.09	Sb	III	795	343						
4314.32	Sb	II	480	223	5s2.5p.5d	3D°3	88259.7	5s2.5p.4f	3G4	111432.0
4344.83	Sb	II	1000	580	5s2.5p.5d	3D°3	88259.7	5s2.5p.4f	3G3	111269.0
4352.16	Sb	III	1500	703						
4411.42	Sb	II	1500	689	5s2.5p.6d	3D°2	104722.7	5s.5p2.(4P).6s	3P1	127385.2
4446.48	Sb	II	2500	1309	5s2.5p.5d	3P°1	91360.1	5s2.5p.7p	3P2	113843.2
4506.92	Sb	II	2000	865	5s2.5p.6s	3P°1	69535.7	5s2.5p.6p	3P2	91718.0
4514.5	Sb	II	1500	725						
4591.89	Sb	III	675	348						
4596.9	Sb	II	2000	1143						
4599.09	Sb	II	1000	638	5s2.5p.5d	1P°1	90323.2	5s2.5p.4f	1D2	112060.0
4604.77	Sb	II	885	460						
4647.316	Sb	II	1500	852						
4675.745	Sb	II	450	261						
4692.91	Sb	III	120	70						
4711.26	Sb	II	3500	1921	5s2.5p.5d	1F°3	91225.0	5s2.5p.4f	1G4	112444.7
4735.44	Sb	II	840	509	5s2.5p.6s	3P°1	69535.7	5s2.5p.6p	3P1	90646.5
4757.81	Sb	I	360	223	5p2.(3P).6s	4P3/2	45945.34	5p2.(3P2).7p	(2,3/2)°3/2	66957.805
4765.36	Sb	II	1500	885						
4766.91	Sb	II	870	550						
4784.03	Sb	II	2500	1453	5s2.5p.6p	3D1	83826.4	5s2.5p.6d	3D°2	104722.7
4802.01	Sb	II	1500	967	5s2.5p.5d	3P°2	91241.3	5s2.5p.4f	1D2	112060.0
4832.82	Sb	II	330	225	5s2.5p.5d	3P°2	91241.3	5s2.5p.4f	3D3	111927.1
4877.24	Sb	II	2000	1434	5s2.5p.5d	3D°1	85094.1	5s2.5p.4f	3F2	105591.1
4947.4	Sb	II	1000	828	5s2.5p.5d	1F°3	91225.0	5s2.5p.4f	3G4	111432.0
5044.56	Sb	II	4000	3186						
5166.32	Sb	II	1500	1469						
5176.55	Sb	II	3000	2594						
5238.94	Sb	II	1500	1404						
5247.71	Sb	III	3	2						
5354.24	Sb	II	1500	1514						
5464.08	Sb	II	1000	1241	5s.5p3	3D°3	67887.5	5s2.5p.6p	3D2	86183.6
5490.2252	Sb	I	35	35	5p2.(3P).6s	4P5/2	48332.424	5p2.(3P2).7p	(2,1/2)°3/2	66541.554
5556.0111	Sb	I	25	26	5p2.(3P).6s	2P1/2	46991.058	5p2.(1D2).6p	(2,1/2)°3/2	64984.586
5568.13	Sb	II	2000	1815	5s2.5p.6s	1P°1	75898.9	5s2.5p.6p	1D2	93853.2
5602.0656	Sb	I	225	226	5p2.(3P).6s	4P3/2	45945.34	5p2.(3P1).7p	(1,3/2)°5/2	63790.947
5631.9365	Sb	I	855	856	5p2.(3P).6s	4P1/2	43249.337	5p2.(3P0).7p	(0,3/2)°3/2	61000.296
5639.75	Sb	II	2000	2144	5s2.5p.6s	3P°2	75274.5	5s2.5p.6p	3S1	93000.9
5690.8	Sb	III	4	4						
5717.3	Sb	III	7	7						
5730.34	Sb	I	510	488	5p2.(3P).6s	2P3/2	49391.133	5p2.(3P2).7p	(2,3/2)°5/2	66837.572
5845.5	Sb	III	1000	908						
5895.09	Sb	II	3500	3053						
6005.21	Sb	II	4500	3567	5s2.5p.6s	3P°1	69535.7	5s2.5p.6p	3D2	86183.6
6053.411	Sb	II	495	373						
6079.797	Sb	II	1500	965	5s2.5p.6s	3P°2	75274.5	5s2.5p.6p	3P2	91718.0
6130.04	Sb	II	5000	3509	5s2.5p.5d	3F°2	76691.8	5s2.5p.6p	3S1	93000.9
6130.043	Sb	II	195	126	5s2.5p.6s	3P°2	75274.5	5s2.5p.6p	3D3	91583.2
6154.945	Sb	II	1500	869	5s2.5p.6p	3D3	91583.2	5s2.5p.7s	3P°2	107825.6
6246.7	Sb	III	20	11						
6287.6	Sb	III	450	228						
6302.764	Sb	II	960	485	5s.5p3	3P°1	77139.4	5s2.5p.6p	3S1	93000.9
6611.3796	Sb	I	300	71	5p2.(3P).6s	2P3/2	49391.133	5p2.(1D2).6p	(2,1/2)°5/2	64512.389
6647.44	Sb	II	3000	624						
6688.01	Sb	II	1500	277						
6806.67	Sb	II	735	86						
