λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.543	Sc	I	10	-	3d.4s.(3D).4p	4D°5/2	16141.0012	3d.4s.(1D).4d	2D5/2	42445.509
3808.533	Sc	I	10	-	3d.4s.(3D).4p	4F°3/2	15672.5595	3d2.(3F).5s	4F3/2	41921.904
3811.729	Sc	I	35	-	3d2.(3F).4s	2F5/2	14926.061	3d2.(3P).4p	2D°3/2	41153.414
3812.293	Sc	I	35	-						
3815.053	Sc	I	10	-	3d.4s.(3D).4p	4F°5/2	15756.5295	3d2.(3F).5s	4F5/2	41960.949
3817.815	Sc	I	35	-						
3819.192	Sc	I	20	-	3d.4s.(1D).4p	2D°5/2	16022.7219	3d.4s.(1D).4d	2F7/2	42198.825
3819.368	Sc	I	20	-	3d.4s.(3D).4p	4P°3/2	18515.665	3d.(2D).4p2.(3P)	2P1/2	44690.637
3822.402	Sc	I	20	-						
3822.489	Sc	I	20	-						
3824.926	Sc	I	10	-						
3825.364	Sc	I	35	-	3d.4s.(3D).4p	4F°7/2	15881.7082	3d2.(3F).5s	4F7/2	42015.557
3826.622	Sc	IV	55	-	3s2.3p5.4d	1P°1	453972.7	3s2.3p5.(2P°3/2).4f	2[5/2]2	480097.9
3827.307	Sc	I	35	-	3d2.(3F).4s	2F7/2	15041.902	3d2.(3P).4p	2D°5/2	41162.506
3833.08	Sc	II	85	-	3p6.3d.4s	3D1	0.0	3p6.3d.4p	1D°2	26081.34
3833.37	Sc	I	35	-	3d.4s.(3D).4p	4F°7/2	15881.7082	3d2.(3F).5s	4F5/2	41960.949
3834.397	Sc	I	35	-						
3836.418	Sc	I	65	-	3d.4s.(3D).4p	4F°9/2	16026.5528	3d2.(3F).5s	4F9/2	42085.132
3836.518	Sc	I	210	-	3d.4s.(3D).4p	4D°5/2	16141.0012	3d.4s.(1D).4d	2F7/2	42198.825
3837.27	Sc	I	55	-	3d.4s.(1D).4p	2D°3/2	16096.8834	3d.4s.(1D).4d	2F5/2	42149.641
3843.049	Sc	II	210	-	3p6.3d.4s	3D2	67.72	3p6.3d.4p	1D°2	26081.34
3844.866	Sc	I	120	-						
3845.409	Sc	I	85	-	3d2.(3P).4s	4P3/2	17255.076	3d.4s.(1D).5p	2D°5/2	43252.557
3846.688	Sc	I	70	-	3d.4s.(3D).4p	4F°9/2	16026.5528	3d2.(3F).5s	4F7/2	42015.557
3848.075	Sc	I	80	-	4s2.4p	2P°1/2	18711.029	3d.(2D).4p2.(3P)	2P1/2	44690.637
3851.415	Sc	II	9	-	3p6.3d.4d	3D1	59875.08	3p6.3d.5f	3P°0	85832.2
3851.814	Sc	I	60	-						
3854.081	Sc	I	95	-	3d.4s.(3D).4p	4D°3/2	16021.7788	3d2.(3F).5s	4F5/2	41960.949
3855.06	Sc	I	20	-						
3857.384	Sc	II	9	-	3p6.3d.4d	1F3	59528.42	3p6.3d.5f	3H°4	85445.35
3858.101	Sc	I	90	-	3d.4s.(3D).4p	4D°1/2	16009.7432	3d2.(3F).5s	4F3/2	41921.904
3859.374	Sc	II	90	-	3p6.3d.4s	3D3	177.76	3p6.3d.4p	1D°2	26081.34
